instances,feature_timeofday,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario156,30,c4,1,2,2,0,0.4,80,40,100,20,40,20,60,0,2.073542502719324,0
scenario157,60,c4,1,0,2,0,0.4,20,100,100,60,40,80,60,0,2.783655640473628,0
scenario158,90,c4,2,0,1,2,0.4,80,20,100,60,20,80,80,0,1.7035475423125686,0
scenario159,90,c4,2,0,1,0,0.1,0,60,100,20,80,60,60,0,2.7939944037100783,0
scenario160,90,c4,1,2,2,0,0.4,80,80,20,0,40,80,80,0,2.5155959347850656,0
scenario161,-30,c4,1,0,2,0,0.4,0,60,40,60,40,20,0,0,9999.0,0
scenario162,-60,c4,2,0,1,2,1.0,20,0,0,0,0,0,80,0,1.5109231441673752,0
scenario163,0,c4,2,0,1,0,0.6,0,20,20,0,20,0,0,0,3.5112153251232887,0
scenario164,30,c4,1,2,2,0,1.0,0,40,0,0,0,0,0,0,9999.0,0
scenario165,-60,c4,1,0,2,0,1.0,0,100,0,0,0,0,0,0,9999.0,0
