instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario183,c2,2,0,0,1,0,80,80,40,-30,80,20,60,0.6,False,2.323,0
scenario184,c1,0,1,1,2,60,80,20,60,-90,40,80,0,0.8,False,2.917,0
scenario185,c2,2,0,0,1,20,0,0,80,90,60,20,80,0.8,True,0.0,1
scenario186,c1,0,1,1,2,80,40,40,80,-90,60,40,60,0.2,False,0.763,0
scenario187,c4,2,0,1,0,0,80,40,80,-60,80,0,60,1.0,False,5.028,0
scenario188,c2,0,1,2,1,0,80,0,100,-30,80,60,40,0.8,False,3.572,0
scenario189,c2,2,0,0,1,0,100,80,0,0,20,60,40,0.6,False,7.843,0
scenario190,c2,0,1,2,1,20,20,0,100,-30,100,0,80,1.0,False,3.418,0
scenario191,c4,2,0,1,2,40,60,80,80,-90,60,40,60,0.8,False,7058.73,0
scenario192,c1,1,2,0,2,100,100,0,80,90,60,20,60,1.0,False,23.736,0
scenario193,c4,2,0,1,2,40,80,100,80,90,40,20,60,0.8,True,0.0,1
scenario194,c2,0,1,2,1,20,0,40,100,30,100,20,40,0.4,False,3.13,0
scenario195,c4,2,0,1,0,20,100,40,100,60,100,80,60,0.4,False,4213.311,0
scenario196,c1,1,2,0,1,20,40,80,80,-90,100,60,60,0.6,False,3.861,0
scenario197,c4,1,2,2,0,60,100,40,60,-90,40,80,0,0.8,False,4.188,0
scenario198,c1,1,2,0,2,100,80,0,80,0,60,20,60,0.8,False,61.27,0
scenario199,c4,2,0,1,0,20,80,100,80,60,100,20,40,0.2,False,7.26,0
scenario200,c1,1,2,0,2,100,100,0,40,90,60,0,40,0.1,False,22.191,0
scenario201,c4,1,2,2,0,20,100,20,100,30,20,100,60,0.2,False,10.608,0
scenario202,c4,1,0,2,0,60,40,40,80,-90,80,20,60,0.4,False,4.045,0
scenario203,c4,2,0,1,0,0,100,20,80,0,100,0,80,0.1,False,6033.974,0
scenario204,c1,1,2,0,2,100,100,20,100,90,60,20,40,1.0,False,21.145,0
scenario205,c4,2,0,1,2,40,80,100,80,90,40,20,60,0.8,False,1.018,0
scenario206,c1,1,2,0,2,100,80,20,40,60,80,0,60,0.2,False,16.466,0
scenario207,c1,1,2,0,2,20,100,40,100,90,60,40,40,1.0,False,85.619,0
scenario208,c2,0,1,2,0,0,100,40,60,-30,80,0,60,0.1,False,1.784,0
scenario209,c1,0,2,1,2,20,80,100,80,90,100,80,40,0.2,False,2.568,0
scenario210,c2,0,1,2,1,60,60,80,60,60,60,0,80,1.0,False,3.659,0
scenario211,c4,2,0,1,0,20,100,80,100,90,20,80,60,0.4,False,4048.724,0
scenario212,c4,1,2,2,0,100,40,0,20,60,60,0,40,0.1,False,4.328,0
scenario213,c2,2,0,0,1,100,100,40,100,90,40,40,40,1.0,True,0.0,1
scenario214,c4,1,2,2,0,0,100,20,80,0,40,20,80,0.1,False,5.131,0
scenario215,c1,1,2,0,2,0,80,40,80,-90,60,0,80,0.6,False,6583.195,0
scenario216,c2,2,1,0,1,0,20,20,40,30,0,100,60,0.1,False,33.244,0
scenario217,c2,2,1,0,1,40,40,80,60,-60,80,100,80,0.8,False,3.475,0
scenario218,c1,0,2,1,2,0,20,0,80,0,80,0,40,0.2,False,3.741,0
scenario219,c2,0,1,2,0,40,80,0,80,-60,20,40,60,1.0,False,564.554,0
scenario220,c2,0,1,2,0,0,20,0,80,0,80,0,60,0.2,True,0.0,1
scenario221,c2,0,1,2,0,40,80,0,80,-30,80,20,20,1.0,False,1.48,0
scenario222,c2,0,1,2,0,60,100,0,20,-30,80,40,40,0.8,False,1.183,0
scenario223,c2,0,1,2,0,0,60,0,80,-30,80,0,80,1.0,False,3.12,0
scenario224,c4,1,2,2,0,40,40,40,100,-30,60,100,100,1.0,False,4.169,0
scenario225,c1,0,2,1,2,0,40,0,80,60,100,20,60,0.4,False,3.277,0
scenario226,c1,0,1,1,2,60,100,20,0,-30,60,20,100,1.0,False,2.973,0
scenario227,c2,0,1,2,0,40,80,20,80,-60,60,40,60,1.0,False,1.838,0
scenario228,c2,0,1,2,0,20,80,0,80,-60,80,0,60,0.8,False,1.661,0
scenario229,c2,0,1,2,0,60,100,0,20,-30,80,40,40,0.8,False,1.625,0
scenario230,c1,0,2,1,2,60,100,0,20,-30,100,40,40,1.0,False,3.135,0
scenario231,c1,0,2,1,2,60,0,0,20,-30,80,40,60,0.6,False,3.282,0
scenario232,c1,0,2,1,2,80,80,0,20,-30,60,20,40,0.2,False,4.637,0
scenario233,c1,0,2,1,2,60,100,20,40,0,80,20,40,0.2,False,3.571,0
scenario234,c4,2,0,1,2,60,80,20,40,-30,60,40,40,0.8,False,7691.315,0
scenario235,c4,2,0,1,2,100,100,0,40,-30,80,40,40,0.2,True,0.0,1
scenario236,c4,2,0,1,0,80,100,0,40,-30,80,40,20,0.8,False,2.678,0
