Visibility,VehicleStability,RoadSurface,PathInteraction,GoalOther,Wetness,GoalEgo,FogDensity,TimeOfDay,WindIntensity,FogDistance,Cloudiness,StartOther,Precipitation,PrecipitationDeposits,StartEgo,RoadFriction,Min_TTC,Collision_Occurred
40,0,60,c2,right,40,left,0,30,100,100,60,left,40,20,right,0.8,0.8837406544640247,False
40,0,60,c4,base,0,right,60,90,60,40,20,right,0,20,base,1.0,1.8683088980289018,False
40,0,80,c1,left,40,right,80,0,0,0,80,right,40,60,left,0.1,0.8340377158166102,False
40,0,80,c2,right,20,left,80,30,40,40,80,left,40,40,right,0.6,0.7718718168632897,False
40,0,80,c4,left,40,base,40,60,60,40,60,base,60,60,right,0.1,0.0,True
40,0,100,c1,left,0,right,40,60,40,80,60,right,20,0,base,1.0,2.181176546002579,False
40,0,100,c2,left,80,base,40,-90,20,20,60,base,80,80,left,0.1,2.9384826629937355,False
40,0,100,c4,left,40,right,40,90,20,20,40,right,40,40,base,0.4,3.103015060463441,False
40,20,0,c1,left,20,right,0,90,40,100,20,right,20,0,base,0.8,2.0792860230561785,False
40,20,0,c2,right,20,left,40,0,20,60,60,base,20,20,right,0.6,1.1284397462163014,False
40,20,0,c4,right,20,left,20,30,80,60,80,left,40,40,right,0.8,0.9204371094157887,False
40,20,20,c1,left,60,base,20,30,100,80,80,base,80,60,right,0.1,2.210912283928293,False
40,20,20,c2,base,0,right,40,90,60,60,40,right,20,40,left,0.8,2.9394325839582325,False
40,20,20,c4,right,40,base,80,-60,0,0,20,base,20,0,right,0.6,1.147680044613558,False
40,20,40,c1,left,20,base,40,-60,0,60,60,base,20,40,right,0.8,3.255590975284692,False
40,20,40,c2,base,0,right,60,-60,40,40,0,right,0,20,base,0.6,1.5887507495948778,False
40,20,40,c4,right,20,right,60,-90,40,40,40,left,60,40,base,0.6,7.424655150347197,False
40,20,60,c1,base,20,right,40,-90,20,60,40,right,20,40,base,0.8,2.2271827699338496,False
40,20,60,c2,right,20,base,0,60,60,100,60,base,40,40,left,0.8,5.067219964097433,False
40,20,60,c4,left,0,base,20,90,100,60,0,right,0,0,left,1.0,1.0740142581173753,False
40,20,80,c1,right,40,left,20,30,60,80,40,base,20,40,right,0.6,1.1621472194548923,False
40,20,80,c2,right,40,left,0,30,100,100,80,left,40,40,right,0.4,0.8765588995390171,False
40,20,80,c4,right,40,right,40,30,80,80,80,left,60,40,base,0.4,4.093917922660948,False
40,20,100,c1,right,40,left,20,-90,60,40,40,left,40,40,right,0.4,0.8403110068412681,False
40,20,100,c2,base,20,right,100,60,40,20,20,right,0,0,left,1.0,1.616184523647649,False
40,20,100,c4,right,20,left,0,-90,20,80,40,left,60,60,base,0.2,1.8276051294877205,False
40,40,0,c1,left,20,left,20,-90,80,80,40,base,40,40,right,0.4,2.625554169273453,False
40,40,0,c2,right,20,right,60,-60,0,0,0,left,20,20,base,0.4,2.559622914640295,False
40,40,0,c4,base,20,right,0,30,60,80,80,right,40,40,left,0.4,3.7973119811919154,False
40,40,20,c1,base,40,right,20,0,80,80,60,left,60,80,base,0.1,3.6855637871521245,False
40,40,20,c2,base,0,left,60,90,0,0,40,right,20,40,base,1.0,1.8612861084826844,False
40,40,20,c4,right,0,right,60,90,20,20,60,base,40,20,left,1.0,3.458796519382938,False
40,40,40,c1,right,20,right,80,90,0,20,60,base,20,0,left,1.0,3.024816760210749,False
40,40,40,c2,right,80,base,0,90,20,100,80,left,80,60,right,0.1,0.8332486563789097,False
40,40,40,c4,right,0,left,60,90,20,40,60,left,40,40,right,0.8,0.7679227263781204,False
40,40,60,c1,right,20,right,20,60,100,80,20,left,40,20,base,0.8,3.8215534863636456,False
40,40,60,c2,right,60,base,60,-90,20,0,60,base,40,20,right,0.2,1.3032358168458855,False
40,40,60,c4,left,0,base,80,-30,0,20,80,base,0,0,right,1.0,1.9069726370810398,False
40,40,80,c1,left,0,left,20,90,20,60,60,right,20,20,base,0.6,6.658248106489565,False
40,40,80,c2,base,0,left,20,30,20,100,60,right,20,0,base,1.0,1.568711951547396,False
40,40,80,c4,right,40,right,20,0,40,60,100,base,40,60,left,0.2,5.614811870573664,False
40,40,100,c1,base,20,left,60,90,40,20,40,left,20,40,right,0.6,1.1622238360430819,False
40,40,100,c2,right,0,left,60,0,40,20,60,left,0,20,base,1.0,3.615972049221299,False
40,40,100,c4,left,20,right,40,90,20,60,40,right,20,0,left,1.0,0.8312456578822831,False
40,60,0,c1,base,40,base,20,30,40,40,40,left,40,20,right,0.4,3.314506065383558,False
40,60,0,c2,left,40,left,40,30,60,80,80,base,40,40,right,0.2,0.0,True
40,60,0,c4,right,0,left,60,-60,40,40,20,left,0,20,right,0.8,0.8242754863600522,False
40,60,20,c1,right,20,left,20,0,40,60,40,left,0,0,base,1.0,3.1122954277395967,False
40,60,20,c2,base,20,base,40,-30,40,60,40,right,40,40,left,0.4,3.3974494449370485,False
40,60,20,c4,right,40,right,40,-90,40,40,60,left,20,20,base,0.2,5.270421193782576,False
40,60,40,c1,base,20,left,80,-60,20,0,0,right,0,0,base,0.8,1.7154773883252654,False
40,60,40,c2,right,0,base,60,-90,60,0,20,base,0,0,left,1.0,4.637229714692292,False
40,60,40,c4,right,0,left,60,-30,0,60,40,left,20,0,base,1.0,1.996073171242364,False
40,60,60,c1,base,20,left,60,-60,20,20,40,left,40,20,base,1.0,2.4438472363714503,False
40,60,60,c2,base,0,right,80,0,0,0,20,right,20,20,base,0.8,0.7896238420406207,False
40,60,60,c4,base,20,base,80,90,20,40,60,left,20,40,right,0.8,4.301221856401727,False
