instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_startego,collision,min_ttc,algo_safety
scenario188,c1,2,100,0.4,40,2,60,20,60,2,80,100,0,0,2.4646266386867057,0
scenario189,c1,1,40,0.4,0,2,0,40,20,2,100,80,0,0,2.3091672895929127,0
scenario190,c1,2,0,0.6,100,2,80,40,100,2,100,20,0,0,2.019067872049637,0
scenario191,c4,2,80,0.6,20,3,20,60,60,0,60,60,1,0,4.865617502731078,0
scenario192,c2,1,0,0.4,0,1,80,100,0,1,20,20,2,0,5.311600459875876,0
scenario193,c4,0,100,0.2,60,3,20,0,80,0,40,0,1,1,0.0,1
scenario194,c2,0,0,1.0,60,1,20,40,80,1,20,20,2,0,3.851092090183315,0
scenario195,c4,0,100,0.6,20,3,40,0,0,0,0,80,1,1,0.0,1
scenario196,c1,2,100,0.8,20,2,100,0,80,2,40,0,0,0,2.993438822220268,0
scenario197,c4,0,80,1.0,100,2,60,80,80,2,20,0,2,0,1.2913696660246636,0
scenario198,c4,0,40,0.4,80,3,40,60,100,0,0,100,1,0,3.384270904139458,0
scenario199,c4,0,100,1.0,0,3,60,40,80,0,100,80,1,0,3.394832843639505,0
scenario200,c2,1,80,0.8,80,3,0,0,0,0,40,0,0,0,1.8436318374726468,0
scenario201,c4,0,20,0.2,40,3,80,80,40,0,20,20,1,0,2.120925730517997,0
scenario202,c4,0,80,0.6,20,3,100,20,40,0,100,100,1,0,2.2184754918660534,0
scenario203,c2,1,20,0.1,80,1,100,100,0,1,80,0,2,0,3.4084555907441816,0
scenario204,c2,1,60,0.4,60,1,100,40,20,1,40,100,2,0,3.3838446883356776,0
scenario205,c2,1,20,0.4,100,1,80,40,80,1,80,80,2,0,5.698518482153879,0
scenario206,c2,0,0,0.2,80,1,80,0,40,1,40,40,2,0,4.240933983900705,0
scenario207,c4,2,80,0.6,20,3,100,100,80,0,60,100,1,0,3.2798379831278472,0
scenario208,c2,1,20,0.6,0,1,40,100,40,1,40,60,2,0,3.420498804633588,0
scenario209,c1,2,20,1.0,80,0,60,80,100,2,20,60,1,0,4.271273056847155,0
scenario210,c4,0,0,0.6,20,3,80,80,40,0,20,80,1,0,3.1736199643709524,0
scenario211,c2,0,40,0.1,100,1,60,20,80,1,0,60,2,0,4.057413666722007,0
scenario212,c2,1,100,0.6,100,1,40,80,0,1,20,20,2,0,2.9546243262888305,0
scenario213,c2,1,60,0.1,20,1,80,80,80,1,100,100,2,0,5.180394977187746,0
scenario214,c4,0,80,0.2,100,3,40,0,20,0,100,40,1,0,3.250496478171628,0
scenario215,c4,2,60,0.1,80,3,0,40,20,0,40,20,1,0,2.841061068580196,0
scenario216,c1,2,100,0.4,80,0,100,60,40,2,100,100,1,0,5.807838134486366,0
scenario217,c1,2,40,0.2,100,2,60,80,80,2,100,100,0,1,0.0,1
scenario218,c4,2,100,0.8,20,3,0,60,20,0,80,100,1,0,3.0750259408363867,0
scenario219,c2,0,80,0.2,0,1,100,0,80,1,60,60,2,0,5.046303819521624,0
scenario220,c2,1,80,0.8,40,1,60,20,100,1,20,80,2,0,4.260948093816109,0
scenario221,c1,1,100,0.4,0,2,20,100,100,2,60,100,0,0,2.7564083139252915,0
scenario222,c2,1,60,1.0,20,1,40,0,60,1,20,80,2,0,3.336106962240443,0
scenario223,c4,2,0,0.1,80,3,60,40,60,0,40,20,1,0,2.7237348738599136,0
scenario224,c1,2,80,0.4,0,2,0,20,80,2,60,100,0,0,2.299688461759907,0
scenario225,c1,2,20,0.8,20,2,20,60,20,2,100,60,0,0,3.583862239817708,0
scenario226,c4,0,0,0.2,60,3,40,80,80,0,60,0,1,0,2.576486419035634,0
scenario227,c4,0,100,0.1,20,3,100,80,20,0,100,0,1,1,0.0,1
scenario228,c2,1,20,0.2,100,1,80,60,80,1,40,0,2,0,5.347451993123468,0
scenario229,c2,1,40,1.0,0,1,80,20,100,1,60,0,2,0,3.102644961797167,0
scenario230,c2,0,0,0.1,0,1,20,40,80,1,40,0,2,0,4.3988459578546415,0
scenario231,c1,1,60,0.2,40,2,20,0,100,2,40,0,0,0,2.198740359696211,0
scenario232,c1,2,20,0.1,80,2,0,80,80,2,0,60,0,0,2.8728907033273443,0
scenario233,c4,0,100,0.6,100,3,100,0,0,0,20,100,1,0,1.5695675331694772,0
scenario234,c1,2,0,0.8,40,2,80,40,80,2,80,0,0,0,3.3641187481529924,0
scenario235,c1,2,100,0.4,60,2,80,80,100,2,40,40,0,0,2.827802044563316,0
scenario236,c2,1,80,0.4,40,1,100,40,60,1,20,0,2,0,3.9853188516909968,0
scenario237,c1,1,80,0.2,40,2,80,60,60,2,100,80,0,0,2.0231741081196866,0
scenario238,c2,1,40,0.2,0,1,40,80,40,1,40,20,2,0,2.905772082519061,0
scenario239,c2,0,40,0.8,80,1,20,0,100,1,40,60,2,0,2.618617412670857,0
scenario240,c1,1,80,0.2,100,2,20,80,60,2,80,40,0,0,3.005651397156845,0
scenario241,c4,0,100,0.6,20,3,20,40,80,0,80,100,1,0,3.416239682149054,0
scenario242,c1,1,0,1.0,0,2,60,60,60,2,100,100,0,0,1.9912836397524944,0
scenario243,c4,0,80,0.6,100,2,100,100,60,0,20,80,2,0,62.12690859250255,0
scenario244,c1,1,20,1.0,0,2,40,40,20,2,80,40,0,0,3.2359135550905616,0
scenario245,c2,1,0,0.4,80,3,100,80,100,1,60,0,0,0,2.927472013785916,0
scenario246,c1,1,20,0.4,0,2,60,20,60,2,0,20,0,0,2.9337816307113656,0
scenario247,c4,0,0,0.8,80,3,100,100,100,0,80,40,1,0,2.5074131100442587,0
scenario248,c2,1,40,0.4,100,1,20,100,100,1,80,100,2,0,3.4256517508587683,0
scenario249,c1,2,60,0.1,80,0,20,0,0,2,40,40,1,0,5.762306904586719,0
scenario250,c4,0,40,0.2,60,2,60,20,0,2,0,80,2,0,0.8407717238026031,0
scenario251,c1,2,0,0.4,40,1,60,20,100,1,80,60,1,0,1.0641184517577718,0
scenario252,c2,1,80,0.2,40,1,80,100,80,1,80,60,2,0,3.534971581448471,0
scenario253,c4,2,20,1.0,40,3,60,40,40,0,80,100,1,1,0.0,1
scenario254,c2,0,40,0.6,100,1,0,0,20,1,80,80,2,0,4.2726797784634725,0
scenario255,c4,0,60,0.8,0,3,60,60,20,0,60,0,1,0,1.8898194796178205,0
scenario256,c1,1,80,0.2,60,2,80,0,40,2,40,60,0,0,2.625238623889689,0
scenario257,c1,1,20,0.6,20,2,40,60,0,2,20,80,0,0,3.6133473721361367,0
scenario258,c4,0,0,0.2,40,3,80,0,0,0,40,60,1,1,0.0,1
scenario259,c2,1,60,0.8,60,3,60,80,0,1,60,80,0,0,6.217740382740876,0
scenario260,c1,1,40,1.0,0,2,100,40,60,2,80,20,0,0,3.0189311880582714,0
scenario261,c4,0,60,0.2,40,3,80,60,20,0,60,0,1,0,3.335501331052071,0
scenario262,c2,1,60,0.4,80,1,100,20,60,1,80,100,2,0,3.746606100528023,0
scenario263,c2,1,80,0.8,60,1,0,60,40,1,80,100,2,0,3.4326384007632056,0
scenario264,c1,2,100,0.6,20,1,0,0,20,1,100,20,1,0,0.7803754715026184,0
scenario265,c2,1,0,0.4,40,3,40,20,100,1,0,60,0,0,2.971539144084405,0
scenario266,c4,0,100,0.6,40,3,20,100,20,0,80,20,1,0,2.7575219439184235,0
scenario267,c2,1,20,0.2,100,1,80,40,20,1,60,100,2,0,5.984024718383711,0
scenario268,c4,0,20,1.0,60,2,40,40,0,0,60,20,2,0,22.83316053354439,0
scenario269,c1,1,0,0.1,80,2,40,20,0,2,60,0,0,0,2.938762220861412,0
scenario270,c4,0,0,1.0,100,3,60,100,100,0,20,60,1,1,0.0,1
scenario271,c2,1,0,1.0,20,1,20,0,80,1,40,60,2,0,2.8756888636310407,0
scenario272,c4,0,0,0.6,20,3,20,40,0,0,60,80,1,0,2.828132311672418,0
scenario273,c1,2,20,0.8,80,0,20,60,60,2,40,40,1,0,6.601704485512752,0
scenario274,c4,0,20,0.2,80,2,0,40,0,2,60,100,2,0,1.2093944405123658,0
scenario275,c2,1,100,1.0,20,1,40,20,60,1,60,0,2,0,3.3868057877569524,0
scenario276,c4,2,80,0.1,40,3,20,60,40,0,0,0,1,1,0.0,1
scenario277,c1,1,80,0.1,100,2,0,20,20,2,20,0,0,0,3.523788692574941,0
scenario278,c1,2,0,0.8,40,2,60,100,100,2,0,60,0,0,3.13293008387059,0
scenario279,c2,1,100,0.1,0,1,20,80,20,1,100,100,2,0,2.5396810575619706,0
scenario280,c1,1,80,0.1,80,2,80,60,40,2,20,40,0,0,2.805333014231057,0
scenario281,c2,0,20,1.0,60,1,60,0,80,1,80,40,2,0,2.4908755914371565,0
scenario282,c1,2,100,0.8,0,2,0,0,60,2,20,0,0,0,3.318419062237964,0
scenario283,c2,1,60,0.4,0,3,60,80,100,1,40,80,0,0,2.9583226746275018,0
scenario284,c1,2,80,0.2,40,2,60,60,20,2,100,40,0,0,2.635398277969381,0
scenario285,c2,0,100,0.6,80,1,40,20,100,1,0,0,2,0,3.6562977300184,0
scenario286,c1,2,40,0.8,60,2,40,0,60,2,100,80,0,0,2.7106200585646785,0
scenario287,c4,0,80,0.1,40,3,80,0,20,0,40,40,1,0,2.4010218569455946,0
scenario288,c4,0,20,0.2,20,3,0,80,20,0,60,100,1,1,0.0,1
scenario289,c4,0,40,0.1,100,3,0,40,60,0,60,40,1,0,4.541240848190059,0
scenario290,c1,2,40,1.0,40,0,0,60,80,2,80,20,1,0,5.639156204739415,0
scenario291,c1,1,0,1.0,0,2,40,20,60,2,40,60,0,0,2.461048732722438,0
scenario292,c1,2,40,0.2,100,2,100,80,0,2,80,40,0,0,3.207601842559033,0
scenario293,c1,1,80,0.8,20,2,0,60,0,2,40,80,0,0,2.573465226971892,0
scenario294,c4,0,60,0.6,20,3,20,20,20,0,20,40,1,1,0.0,1
scenario295,c1,2,60,1.0,40,2,80,60,80,2,20,100,0,0,2.755451217926371,0
scenario296,c4,0,60,0.6,40,2,20,100,60,2,20,20,2,0,1.145499405383599,0
