Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario305,left,80,0,60,40,30,100,40,20,0.4,False,1.083,0
scenario306,left,100,60,20,60,60,100,60,40,0.8,False,1.234,0
scenario307,right,20,0,40,40,-30,100,0,100,0.1,False,0.712,0
scenario308,right,100,100,0,0,-30,60,20,100,0.6,False,0.972,0
scenario309,right,60,80,100,40,0,80,100,60,0.8,False,0.956,0
scenario310,left,20,0,40,20,30,60,60,80,0.8,False,1.196,0
scenario311,right,60,60,100,20,-60,100,0,0,0.8,False,0.943,0
scenario312,right,20,20,100,80,90,0,100,20,0.6,False,0.817,0
scenario313,left,40,100,60,20,-60,100,60,40,0.4,False,1.027,0
scenario314,left,60,0,40,20,30,100,0,80,0.6,False,1.126,0
scenario315,left,20,0,20,100,0,20,40,40,0.1,False,1.108,0
scenario316,right,40,40,60,40,-90,20,40,100,0.1,False,0.897,0
scenario317,right,0,20,20,100,-90,100,100,40,1.0,False,0.927,0
scenario318,left,60,40,100,80,-30,60,80,80,0.1,False,1.212,0
scenario319,left,100,80,20,100,90,0,20,20,0.6,False,1.191,0
scenario320,right,0,20,80,20,30,80,60,80,0.8,False,0.716,0
scenario321,left,80,60,80,0,60,20,60,100,0.4,False,1.146,0
scenario322,left,0,80,100,40,-30,40,20,60,0.4,False,1.126,0
scenario323,right,0,100,80,100,30,100,80,40,0.8,False,0.995,0
scenario324,right,80,40,100,80,30,100,100,60,1.0,False,0.882,0
scenario325,right,100,60,60,100,60,60,0,80,0.6,False,0.741,0
scenario326,right,80,100,80,100,90,40,20,60,1.0,False,0.842,0
scenario327,left,40,20,0,40,0,60,100,60,0.4,False,1.071,0
scenario328,left,20,60,60,100,-90,40,60,80,0.8,False,1.058,0
scenario329,right,80,60,0,100,-90,80,0,60,0.1,False,0.706,0
scenario330,left,60,40,0,20,60,0,20,0,0.6,False,1.237,0
scenario331,right,60,0,100,60,60,0,60,40,1.0,False,1.055,0
scenario332,left,60,0,40,80,90,20,80,40,0.1,False,1.188,0
scenario333,right,20,20,20,60,-60,100,40,0,0.1,False,0.984,0
scenario334,right,0,60,0,20,-60,60,80,0,0.2,False,0.811,0
scenario335,left,20,80,0,20,30,40,80,80,0.1,False,1.2,0
scenario336,left,40,100,0,60,-30,80,100,0,0.8,False,1.127,0
scenario337,right,40,80,20,100,-30,40,80,20,0.2,False,0.778,0
scenario338,left,100,40,40,80,0,80,40,80,0.2,False,1.123,0
scenario339,left,20,0,20,80,60,80,40,100,0.2,False,1.188,0
scenario340,right,0,100,80,40,0,40,60,40,0.1,False,0.967,0
scenario341,right,40,20,100,40,60,20,60,20,0.8,False,0.882,0
scenario342,left,20,60,20,80,-30,80,0,60,0.6,False,1.102,0
scenario343,right,40,40,40,60,60,0,60,0,0.2,False,0.939,0
scenario344,left,60,20,100,100,0,40,100,100,0.2,False,1.101,0
scenario345,left,20,60,60,40,60,20,40,100,0.4,False,1.15,0
scenario346,left,80,60,100,0,90,60,40,40,0.4,False,1.208,0
scenario347,right,60,0,100,80,30,80,40,40,0.4,False,0.792,0
scenario348,right,100,20,80,20,60,0,0,20,1.0,False,0.753,0
scenario349,right,20,20,20,60,30,20,40,40,0.8,False,0.816,0
scenario350,left,20,100,80,40,-90,100,20,40,0.6,False,1.095,0
scenario351,right,100,20,0,60,-90,60,20,20,0.4,False,0.702,0
scenario352,right,20,80,60,0,30,80,0,80,0.1,False,0.812,0
scenario353,left,60,80,60,0,0,0,100,60,1.0,False,1.052,0
scenario354,right,0,60,80,40,90,80,80,100,0.2,False,0.806,0
scenario355,left,0,80,20,20,60,40,40,0,1.0,False,1.208,0
scenario356,left,100,0,0,80,-90,20,20,0,0.4,False,1.059,0
scenario357,right,0,40,80,60,0,20,0,100,0.1,False,0.805,0
scenario358,left,80,60,100,100,60,80,40,60,1.0,False,1.19,0
scenario359,right,100,40,80,80,90,40,80,0,0.1,False,0.819,0
scenario360,right,40,40,20,100,90,20,80,100,0.6,False,0.939,0
scenario361,left,80,20,40,60,0,20,100,100,0.4,False,1.115,0
scenario362,left,40,60,0,100,60,0,60,0,0.4,False,1.124,0
scenario363,left,100,100,40,0,90,100,100,20,0.2,False,1.106,0
scenario364,right,20,0,40,80,-30,0,80,40,0.6,False,0.67,0
scenario365,right,0,100,100,40,60,40,80,20,0.2,False,0.863,0
scenario366,left,80,0,80,60,90,0,60,100,0.2,False,1.155,0
scenario367,right,100,40,40,20,90,80,0,60,0.6,False,0.778,0
scenario368,right,40,60,60,60,-60,20,0,60,0.4,False,0.781,0
scenario369,left,0,60,0,0,-60,80,0,80,0.4,False,1.204,0
scenario370,left,60,100,100,40,-90,40,60,0,0.6,False,1.204,0
scenario371,left,80,80,40,100,30,0,20,60,0.4,False,1.136,0
scenario372,left,80,0,20,0,-60,80,0,100,0.4,False,1.062,0
scenario373,right,40,20,80,80,-60,60,100,80,0.2,False,0.832,0
scenario374,right,20,40,40,80,90,60,80,80,0.1,False,0.817,0
scenario375,left,40,0,40,60,60,20,100,20,1.0,False,1.093,0
scenario376,left,0,0,60,20,-90,100,0,100,0.4,False,1.228,0
scenario377,right,60,20,20,0,-30,0,40,60,0.2,False,0.94,0
scenario378,right,40,60,0,0,-30,60,20,80,0.2,False,0.74,0
scenario379,right,80,40,80,60,-90,100,80,100,0.2,False,0.738,0
scenario380,left,20,40,20,0,0,40,20,0,1.0,False,1.115,0
scenario381,left,20,60,0,40,60,80,0,60,1.0,False,1.184,0
