Row,timeofday,startego,goalego,startother,goalother,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
scenario307,-90,1,2,2,0,0.1,20,80,20,40,20,60,60
scenario308,-90,1,2,0,1,0.6,60,20,100,40,0,40,20
scenario309,-90,0,1,2,1,0.8,40,20,80,60,60,0,80
scenario310,60,0,1,1,2,0.6,0,20,40,100,40,60,100
scenario311,30,2,0,0,1,0.4,0,20,100,40,20,0,80
scenario312,90,1,0,2,0,0.6,60,0,100,100,40,100,0
scenario313,90,1,2,0,2,0.4,100,20,40,0,100,100,40
scenario314,0,0,2,1,2,0.1,20,60,40,40,60,100,40
scenario315,-30,1,2,0,1,0.6,20,60,100,80,40,40,60
scenario316,-30,0,1,1,2,0.6,80,100,40,100,100,0,20
scenario317,90,1,2,0,1,0.6,100,20,0,0,60,20,100
scenario318,-30,0,1,1,2,0.4,0,80,60,80,60,40,20
scenario319,0,1,2,2,0,0.6,20,0,60,40,40,80,20
scenario320,-90,2,1,0,1,1,0,20,20,20,100,100,100
scenario321,-90,0,2,1,2,0.1,40,40,60,0,20,40,80
scenario322,30,2,0,1,0,0.6,100,0,80,60,100,80,100
scenario323,90,1,2,0,2,0.1,0,0,20,20,40,20,40
scenario324,0,1,2,0,2,1,100,60,60,20,80,100,60
scenario325,-30,0,2,1,2,0.2,100,20,80,0,20,60,100
scenario326,30,1,0,2,0,0.2,20,100,100,20,80,60,40
scenario327,30,2,0,1,0,0.2,80,0,40,0,60,80,0
scenario328,-90,0,1,2,1,0.2,0,100,80,80,0,60,100
scenario329,-90,1,2,0,2,0.8,60,40,80,100,40,80,0
scenario330,90,1,2,0,2,0.8,40,80,0,100,100,40,40
scenario331,-60,2,0,0,1,1,60,80,20,80,40,20,80
scenario332,30,2,0,1,0,1,0,20,0,20,60,20,80
scenario333,-90,2,1,0,1,1,20,0,80,100,20,80,80
scenario334,60,1,2,0,2,1,40,20,0,40,80,100,100
scenario335,60,0,1,2,1,0.8,100,20,60,20,0,60,40
scenario336,60,1,2,0,1,0.8,80,40,100,80,80,60,60
scenario337,-90,1,2,0,2,0.2,40,0,0,0,60,20,40
scenario338,-30,1,2,0,2,0.4,80,80,20,80,0,0,40
scenario339,90,2,0,1,2,0.6,100,100,80,40,100,20,80
scenario340,-30,1,2,2,0,0.1,20,40,20,100,40,20,60
scenario341,-60,1,2,0,1,0.2,0,100,40,80,20,40,60
scenario342,0,0,2,1,2,1,0,80,0,60,20,40,0
scenario343,90,2,0,1,0,0.1,0,100,40,100,0,80,100
