instances,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario123,20,40,0,0,0,0.8,0,100,20,0,80,c4,0.05912,2,0,1,2,0,0.767567971420914,0
scenario124,20,40,0,0,0,0.8,0,100,20,0,100,c1,0.05824,1,2,0,2,0,1123.499743081681,0
scenario125,20,60,0,0,100,0.4,0,100,20,0,100,c2,0.00132,2,0,0,1,0,3.552312649598737,0
scenario126,20,40,0,0,0,0.8,0,100,20,0,100,c4,0.06057,1,0,2,0,0,9999.0,0
scenario127,20,80,0,0,100,0.4,0,100,20,20,0,c1,0.0014,0,2,1,2,0,9999.0,0
scenario128,20,40,0,0,0,0.8,0,100,20,20,0,c2,0.06063,0,1,2,1,0,4.9327678046569705,0
scenario129,20,40,0,0,0,0.8,0,100,20,20,0,c4,0.05829,1,2,2,0,0,9999.0,0
scenario130,20,40,0,0,0,0.8,0,100,20,20,20,c1,0.05981,0,1,1,2,0,9999.0,0
scenario131,20,40,0,0,0,0.8,0,100,20,20,20,c2,0.05953,2,1,0,1,0,9999.0,0
scenario132,20,40,0,0,0,0.8,0,100,20,20,20,c4,0.0601,2,0,1,0,0,2.3433037557355822,0
scenario133,20,40,0,0,0,0.8,0,100,20,20,40,c1,0.05917,1,2,0,1,0,3905.076821846605,0
scenario134,20,40,0,0,0,0.8,0,100,20,20,40,c2,0.06044,0,1,2,0,0,4.1081728932132,0
scenario135,20,40,0,0,0,0.8,0,100,20,20,40,c4,0.0594,2,0,1,2,1,0.0,1
scenario136,20,40,0,0,0,0.8,0,100,20,20,60,c1,0.06079,1,2,0,2,0,1788.514339133622,0
scenario137,20,40,0,0,0,0.8,0,100,20,20,60,c2,0.05947,2,0,0,1,0,2.5770326689327665,0
scenario138,20,40,0,0,0,0.8,0,100,20,20,60,c4,0.05944,1,0,2,0,0,9999.0,0
scenario139,20,40,0,0,0,0.8,0,100,20,20,80,c1,0.06128,0,2,1,2,0,9999.0,0
scenario140,20,40,0,0,0,0.8,0,100,20,20,80,c2,0.05891,0,1,2,1,0,3.38652635450417,0
scenario141,20,40,0,0,0,0.8,0,100,20,20,80,c4,0.05893,1,2,2,0,0,9999.0,0
scenario142,20,40,0,0,0,0.8,0,100,20,20,100,c1,0.05967,0,1,1,2,0,9999.0,0
scenario143,20,40,0,0,0,0.8,0,100,20,20,100,c2,0.05954,2,1,0,1,0,3.0695369589331136,0
scenario144,20,40,0,0,0,0.8,0,100,20,20,100,c4,0.0594,2,0,1,0,0,2.7517029382212943,0
scenario145,20,40,0,0,0,0.8,0,100,20,40,0,c1,0.05965,1,2,0,1,0,5070.952180339781,0
scenario146,20,40,0,0,0,0.8,0,100,20,40,0,c2,0.05954,0,1,2,0,0,4.004715997265159,0
scenario147,20,40,0,0,0,0.8,0,100,20,40,0,c4,0.05969,2,0,1,2,1,0.0,1
scenario148,20,40,0,0,0,0.8,0,100,20,40,20,c1,0.05921,1,2,0,2,0,2338.9502044839887,0
scenario149,20,40,0,0,0,0.8,0,100,20,40,20,c2,0.05971,2,0,0,1,1,0.0,1
scenario150,20,40,0,0,0,0.8,0,100,20,40,20,c4,0.05956,1,0,2,0,0,9999.0,0
scenario151,20,40,0,0,0,0.8,0,100,20,40,40,c1,0.05932,0,2,1,2,0,3.739375681923713,0
scenario152,20,40,0,0,0,0.8,0,100,20,40,40,c2,0.05965,0,1,2,1,0,4.2602926110950525,0
scenario153,60,40,0,40,40,0.8,0,100,20,40,40,c4,0.00122,1,2,2,0,0,9999.0,0
scenario154,20,40,0,0,0,0.8,0,100,20,40,60,c1,0.05945,0,1,1,2,0,9999.0,0
scenario155,20,40,0,0,0,0.8,0,100,20,40,60,c2,0.05858,2,1,0,1,0,9999.0,0
scenario156,20,40,0,0,0,0.8,0,100,20,40,60,c4,0.06011,2,0,1,0,0,3.112891070452695,0
scenario157,20,100,0,0,100,0.4,0,100,20,40,80,c1,0.00126,1,2,0,1,0,3.896949601898257,0
scenario158,20,40,0,0,0,0.8,0,100,20,40,80,c2,0.05983,0,1,2,0,0,3.384653559930831,0
scenario159,20,40,0,0,0,0.8,0,100,20,40,80,c4,0.05871,2,0,1,2,1,0.0,1
scenario160,20,40,0,0,0,0.8,0,100,20,40,100,c1,0.06008,1,2,0,2,0,4745.098772211391,0
scenario161,40,40,0,60,40,0.6,0,100,20,40,100,c2,0.0013,2,0,0,1,0,9999.0,0
scenario162,20,40,0,0,0,0.8,0,100,20,40,100,c4,0.0597,1,0,2,0,0,9999.0,0
scenario163,20,40,0,0,0,0.8,0,100,20,60,0,c1,0.06041,0,2,1,2,0,9999.0,0
scenario164,20,40,0,0,0,0.8,0,100,20,60,0,c2,0.05981,0,1,2,1,0,3.990545617720313,0
scenario165,20,40,0,0,0,0.8,0,100,20,60,0,c4,0.05934,1,2,2,0,0,8891.123252566327,0
scenario166,20,40,0,0,0,0.8,0,100,20,60,20,c1,0.05923,0,1,1,2,0,9999.0,0
scenario167,20,40,0,0,0,0.8,0,100,20,60,20,c2,0.05922,2,1,0,1,0,3.4438454916102006,0
scenario168,20,40,0,0,0,0.8,0,100,20,60,20,c4,0.05937,2,0,1,0,0,2.985196010550617,0
scenario169,20,40,0,0,0,0.8,0,100,20,60,40,c1,0.06032,1,2,0,1,0,1.1633285639317417,0
scenario170,20,100,20,80,40,0.6,0,100,20,60,40,c2,0.00125,0,1,2,0,0,3.43374593922912,0
scenario171,20,40,0,0,0,0.8,0,100,20,60,40,c4,0.06009,2,0,1,2,1,0.0,1
scenario172,20,40,0,0,0,0.8,0,100,20,60,60,c1,0.05962,1,2,0,2,0,2499.126539299797,0
scenario173,20,40,0,0,0,0.8,0,100,20,60,60,c2,0.05922,2,0,0,1,0,3.330342087387076,0
scenario174,20,40,0,0,0,0.8,0,100,20,60,60,c4,0.05887,1,0,2,0,0,9999.0,0
scenario175,20,40,0,0,0,0.8,0,100,20,60,80,c1,0.05879,0,2,1,2,0,4.34125114183613,0
scenario176,20,40,0,0,0,0.8,0,100,20,60,80,c2,0.05859,0,1,2,1,0,3.807228403856604,0
scenario177,20,40,0,0,0,0.8,0,100,20,60,80,c4,0.05872,1,2,2,0,0,9999.0,0
scenario178,20,40,0,0,0,0.8,0,100,20,60,100,c1,0.05928,0,1,1,2,0,9999.0,0
scenario179,20,40,0,0,0,0.8,0,100,20,60,100,c2,0.05999,2,1,0,1,0,3.4040042703124165,0
scenario180,20,40,0,0,0,0.8,0,100,20,60,100,c4,0.05859,2,0,1,0,0,2.07570167499076,0
scenario181,20,40,0,0,0,0.8,0,100,20,80,0,c1,0.05834,1,2,0,1,0,3702.598548766528,0
scenario182,20,40,0,0,0,0.8,0,100,20,80,0,c2,0.06137,0,1,2,0,0,2.481568121045671,0
scenario183,20,40,0,0,0,0.8,0,100,20,80,0,c4,0.05974,2,0,1,2,1,0.0,1
scenario184,20,40,0,0,0,0.8,0,100,20,80,20,c1,0.05971,1,2,0,2,0,3651.721938509216,0
scenario185,20,40,0,0,0,0.8,0,100,20,80,20,c2,0.06004,2,0,0,1,0,2.741331716801253,0
scenario186,20,40,0,0,0,0.8,0,100,20,80,20,c4,0.05966,1,0,2,0,0,9999.0,0
scenario187,20,40,0,0,0,0.8,0,100,20,80,40,c1,0.05883,0,2,1,2,0,9999.0,0
scenario188,20,40,0,0,0,0.8,0,100,20,80,40,c2,0.06106,0,1,2,1,0,3.224496545401737,0
scenario189,20,40,0,0,0,0.8,0,100,20,80,40,c4,0.05906,1,2,2,0,0,9999.0,0
scenario190,20,40,0,0,0,0.8,0,100,20,80,60,c1,0.05955,0,1,1,2,0,9999.0,0
scenario191,20,40,0,0,0,0.8,0,100,20,80,60,c2,0.06123,2,1,0,1,0,2.9819168659954385,0
scenario192,20,40,0,0,0,0.8,0,100,20,80,60,c4,0.06039,2,0,1,0,0,3.25268005720156,0
scenario193,20,40,0,0,0,0.8,0,100,20,80,80,c1,0.06047,1,2,0,1,0,707.9122233486258,0
scenario194,20,40,0,0,0,0.8,0,100,20,80,80,c2,0.05906,0,1,2,0,0,4.243328745390138,0
scenario195,20,40,0,0,0,0.8,0,100,20,80,80,c4,0.05817,2,0,1,2,0,1.0150404420070067,0
scenario196,20,40,0,0,0,0.8,0,100,20,80,100,c1,0.06103,1,2,0,2,0,979.40992861404,0
scenario197,20,40,0,0,0,0.8,0,100,20,80,100,c2,0.0579,2,0,0,1,0,3.417984368997601,0
scenario198,20,40,0,0,0,0.8,0,100,20,80,100,c4,0.06027,1,0,2,0,0,9999.0,0
scenario199,20,40,0,0,0,0.8,0,100,20,100,0,c1,0.05948,0,2,1,2,0,4.633669985129057,0
scenario200,20,40,0,0,0,0.8,0,100,20,100,0,c2,0.0603,0,1,2,1,0,4.27286716154976,0
scenario201,20,40,0,0,0,0.8,0,100,20,100,0,c4,0.05993,1,2,2,0,0,9999.0,0
scenario202,20,40,0,20,40,0.8,80,20,20,100,20,c1,0.00124,0,1,1,2,0,4.441427806193954,0
scenario203,20,40,0,0,0,0.8,0,100,20,100,20,c2,0.06053,2,1,0,1,0,9999.0,0
scenario204,20,40,0,0,0,0.8,0,100,20,100,20,c4,0.05999,2,0,1,0,1,0.0,1
scenario205,20,40,0,0,0,0.8,0,100,20,100,40,c1,0.05866,1,2,0,1,0,7265.108787666679,0
scenario206,20,40,0,0,0,0.8,0,100,20,100,40,c2,0.05948,0,1,2,0,0,2.44779001042793,0
scenario207,20,40,0,0,0,0.8,0,100,20,100,40,c4,0.05934,2,0,1,2,1,0.0,1
scenario208,20,40,0,0,0,0.8,0,100,20,100,60,c1,0.05896,1,2,0,2,0,6366.0699001974845,0
scenario209,20,40,0,0,0,0.8,0,100,20,100,60,c2,0.05892,2,0,0,1,0,3.144469500807132,0
scenario210,20,20,0,0,80,0.4,80,20,20,100,60,c4,0.0012,1,0,2,0,0,1.769450952338514,0
scenario211,20,40,0,0,0,0.8,0,100,20,100,80,c1,0.05906,0,2,1,2,0,4.384216058221617,0
