PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,TimeOfDay,StartEgo,Min_TTC,Collision_Occurred
c1,right,100,0.6,100,base,20,100,100,right,40,80,0,left,8.302088225509353,False
c4,right,20,0.1,100,right,0,80,0,base,100,20,-60,left,3.9670566757782115,False
c2,left,100,0.4,60,right,0,60,20,base,40,20,-60,base,1.648915342846358,False
c4,base,0,0.4,0,right,20,0,40,base,80,20,-90,left,2.19798801617547,False
c4,base,80,0.2,80,left,80,100,60,right,0,100,30,right,1.0234675223900684,False
c2,left,100,0.8,80,right,40,0,0,left,100,0,-90,base,4.6822889198496105,False
c4,base,40,1.0,80,left,40,20,80,right,20,0,90,right,1.0392159895258681,False
c2,base,80,0.8,80,base_left_lane,20,60,80,left,80,100,0,right,2.631110193050965,False
c2,left,40,0.4,100,right,40,0,80,base,40,20,30,base,1.8310643391916621,False
c4,base,0,1.0,40,left,80,60,60,base,100,20,-90,right,2.446593142065964,False
c4,base,0,0.2,80,left,100,20,20,base,60,40,-30,right,9.821407053368258,False
c4,right,40,0.1,60,right,100,40,100,base,0,40,30,left,4.4445207849906465,False
c1,left,20,0.4,100,left,100,20,40,right,100,80,-30,base,1.7158651225319574,False
c1,right,100,1.0,40,base,100,60,80,right,60,80,30,left,3.0067148045530105,False
c4,base,100,0.1,100,left,100,0,60,base,20,60,60,right,3.232291473899451,False
c4,base,40,0.4,80,left,80,80,100,right,80,0,60,right,1.0122084645016827,False
c4,right,20,0.6,0,right,0,40,20,base,80,0,0,left,5.954495197255422,False
c1,right,100,0.2,100,base_left_lane,60,0,100,left,20,20,-60,left,1.0812120952884452,False
c4,base,80,0.1,60,left,80,40,80,right,0,40,0,right,0.9437848765384411,False
c1,right,40,0.8,60,left,0,80,0,right,0,100,-90,base,3.0046941300714605,False
c4,base,80,0.4,40,right,100,100,100,base,60,20,0,left,2.619118973851876,False
