instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,feature_direction,visibility,roadsurface,vehiclestability,probability,collision,min_ttc,run_duration,algo_safety
scenario111,0,60,80,0,100,0,0.6,0,100,0,60,0,40,1e-05,0,1.148510112679237,22.6091570854187,0
scenario112,90,20,20,40,100,40,0.6,0,100,1,60,0,60,1e-05,0,0.7506219214294454,26.4006621837616,0
scenario113,60,20,100,0,100,40,0.4,80,20,0,60,0,80,1e-05,0,1.1683728038371737,21.80687046051025,0
scenario114,-90,60,80,0,0,100,0.2,40,60,1,60,0,100,1e-05,0,0.9136232763011506,26.65826416015625,0
scenario115,-90,60,40,40,80,100,0.1,100,0,1,60,20,0,1e-05,0,0.8321184292716051,26.8200204372406,0
scenario116,0,80,80,0,60,40,0.6,0,100,1,60,20,20,1e-05,0,0.9690551232227572,27.049829959869385,0
scenario117,-90,60,40,20,40,40,0.6,100,0,1,60,20,40,1e-05,0,0.8889440229210052,27.066548109054565,0
scenario118,90,40,60,0,0,100,0.2,80,20,1,60,20,60,1e-05,0,0.976381089484722,25.93469405174256,0
scenario119,30,80,100,0,0,0,0.8,80,20,1,60,20,80,1e-05,0,0.8525851693559148,26.357051849365234,0
scenario120,60,60,20,20,0,100,0.2,40,60,0,60,20,100,1e-05,0,1.1911953756761338,22.022989511489868,0
scenario121,90,20,60,0,0,60,0.1,0,100,1,60,40,0,1e-05,0,0.8495550225159283,26.204450607299805,0
scenario122,30,60,60,0,40,0,0.8,0,100,0,60,40,20,1e-05,0,1.0674617383560312,21.94495439529419,0
scenario123,-60,40,80,20,100,40,0.6,100,0,1,60,40,40,1e-05,0,0.7792537381597947,26.98883056640625,0
scenario124,0,20,100,0,0,80,0.4,40,60,0,60,40,60,1e-05,0,1.143539527281937,22.657166242599487,0
scenario125,-90,80,40,20,60,40,0.6,20,80,0,60,40,80,1e-05,0,1.1729948188150658,22.998883962631226,0
scenario126,-90,60,20,0,0,80,0.4,40,60,0,60,40,100,1e-05,0,1.0135586907460554,22.335303783416748,0
scenario127,0,40,100,20,60,40,0.6,40,60,1,60,60,0,1e-05,0,0.9564256456947604,27.27904200553894,0
scenario128,-30,40,60,60,0,0,0.8,0,100,0,60,60,20,1e-05,0,1.031608106610418,22.353555917739868,0
scenario129,30,20,20,40,100,40,0.6,40,60,1,60,60,40,1e-05,0,0.8160370802427144,26.456335067749023,0
scenario130,60,20,20,0,60,40,0.6,40,60,0,60,60,60,1e-05,0,1.1760757452026671,21.80122947692871,0
scenario131,90,60,80,60,100,40,0.6,20,80,0,60,60,80,1e-05,0,1.1871295587601522,21.812312364578247,0
scenario132,-90,40,80,0,0,0,0.8,40,60,1,60,60,100,1e-05,0,0.8914901862589948,29.515141010284424,0
scenario133,-30,20,40,0,20,60,0.8,80,20,0,60,80,0,1e-05,0,1.1813636580693512,22.36731719970703,0
scenario134,0,20,40,0,0,60,0.1,0,100,0,60,80,20,1e-05,0,1.1523947661719545,22.48241496086121,0
scenario135,-90,40,20,40,60,100,0.6,40,60,0,60,80,40,1e-05,0,1.0624588293046535,22.199822902679443,0
scenario136,90,40,80,20,100,100,0.6,40,60,0,60,80,60,1e-05,0,1.1961250460326345,21.81952667236328,0
scenario137,0,20,60,0,100,40,0.6,80,20,0,60,80,80,1e-05,0,1.1525201098814402,22.610207080841064,0
scenario138,30,20,100,0,80,60,0.6,0,100,0,60,80,100,1e-05,0,1.1222715805260115,21.9032461643219,0
scenario139,-90,80,100,0,0,100,0.1,0,100,0,60,100,0,1e-05,0,3.06270865312599,66.43429756164551,0
scenario140,30,20,80,60,40,60,0.6,20,80,0,60,100,20,1e-05,0,1.106585172043678,21.86687684059143,0
scenario141,-90,60,40,20,100,40,0.6,40,60,1,60,100,40,1e-05,0,0.7583324639853638,26.570757150650024,0
scenario142,30,40,100,40,100,0,0.6,20,80,1,60,100,60,1e-05,0,0.8087271631064529,26.32385969161988,0
scenario143,-90,40,20,100,0,0,0.8,80,20,1,60,100,80,1e-05,0,0.7698402099411158,26.90252113342285,0
scenario144,-30,20,60,0,40,100,0.4,0,100,1,60,100,100,1e-05,0,0.9089587301350208,26.965902090072632,0
