Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario191,c4,base,40,1.0,60,left,0,60,40,base,0,60,-30,right,0,2.6930050655387863,0
scenario192,c1,right,40,1.0,100,left,80,80,60,right,60,40,0,base,0,1.8986023582464555,0
scenario193,c2,left,60,1.0,80,right,80,60,100,left,60,100,-90,base,0,4.261687359257812,0
scenario194,c1,right,0,1.0,100,left,40,80,40,right,100,40,30,base,0,3.231314220539508,0
scenario195,c2,left,20,0.2,0,base_left_lane,20,40,40,left,80,80,-60,right,0,3.019547653826871,0
scenario196,c2,left,80,0.4,0,base_left_lane,80,60,80,left,20,60,0,right,0,0.8746446759076454,0
scenario197,c1,right,0,0.8,80,left,40,80,100,right,80,0,60,base,0,1.9403016571679612,0
scenario198,c1,right,20,0.2,0,base_left_lane,100,40,20,left,80,80,90,left,0,1.1649937725836612,0
scenario199,c2,base,0,0.6,100,base_left_lane,40,60,60,left,80,60,-60,right,0,2.503620267488204,0
scenario200,c2,left,80,0.6,60,base_left_lane,40,40,60,left,60,20,30,right,0,1.3633485643863898,0
scenario201,c4,base,100,0.6,60,right,100,0,80,base,20,40,-60,left,0,1.6838712208554083,0
scenario202,c1,right,0,0.4,0,base_left_lane,20,20,20,left,40,100,30,left,0,0.7968279280998561,0
scenario203,c2,left,60,0.6,20,base_left_lane,60,60,80,left,80,20,30,right,0,3.2773828468948576,0
scenario204,c1,right,20,0.8,100,left,40,0,80,right,60,100,-90,base,0,1.9805987700712584,0
scenario205,c4,base,100,0.1,0,right,80,100,80,base,100,80,-60,left,0,2.081692632234036,0
scenario206,c4,base,60,0.2,80,left,0,20,60,right,80,20,-30,right,0,1.8495656281296515,0
scenario207,c2,left,100,0.4,80,right,60,100,60,left,0,0,-30,base,0,4.471006082189378,0
scenario208,c4,base,60,1.0,60,right,0,0,40,base,80,0,-90,left,0,1.7026873421423427,0
scenario209,c4,right,60,1.0,60,right,60,20,60,base,0,0,60,left,0,1.6368558396712387,0
scenario210,c4,base,0,0.1,20,right,40,0,0,base,40,20,0,left,0,9999.0,0
scenario211,c4,right,100,1.0,60,right,20,60,20,base,60,80,30,left,1,9999.0,1
scenario212,c1,right,20,0.2,80,base,60,0,40,right,60,40,-90,left,1,3.938359228885685,1
scenario213,c4,base,40,0.1,40,right,60,20,80,base,20,40,-90,left,0,3.214555561530532,0
scenario214,c1,right,20,0.6,40,base_left_lane,100,20,80,left,80,40,-90,left,0,0.8157365094122363,0
scenario215,c2,left,40,0.2,20,base_left_lane,20,20,80,left,100,100,-60,right,0,3.055325067435594,0
scenario216,c2,base,80,0.1,0,base_left_lane,60,100,60,left,60,0,-90,right,0,2.349026265332561,0
scenario217,c2,left,40,0.2,60,base_left_lane,60,100,80,left,100,40,0,right,0,3.7297735139005086,0
scenario218,c4,base,80,0.2,80,right,60,20,80,base,20,0,60,left,0,1.8348039287265645,0
