Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario161,c1,left,20,0.8,100,left,20,60,60,right,100,60,-30,base,0,1.793555436964206,0
scenario162,c4,base,20,0.4,20,left,0,80,40,right,0,40,30,right,0,1.9773430716539449,0
scenario163,c2,base,100,0.4,0,base_left_lane,0,20,80,left,0,40,30,right,0,2.5190856433256514,0
scenario164,c1,left,40,0.1,0,left,40,40,20,right,60,80,-30,base,0,1.8495565416141488,0
scenario165,c2,left,40,1.0,40,right,0,0,100,left,60,20,-60,base,0,4.191450262986011,0
scenario166,c1,right,80,1.0,40,base,80,80,40,right,80,0,60,left,0,1.7193926369382984,0
scenario167,c1,right,40,0.8,40,base_left_lane,100,80,80,left,60,20,60,left,0,0.9682157979024092,0
scenario168,c4,base,60,0.4,60,right,100,20,40,base,60,0,30,left,0,3.0271725981298503,0
scenario169,c1,right,100,1.0,40,base_left_lane,40,20,100,left,20,100,90,left,0,0.6913343202921345,0
scenario170,c4,base,20,0.4,0,left,100,80,60,base,80,80,-30,right,0,2.570044885188256,0
scenario171,c4,right,100,0.2,100,right,40,20,60,base,100,20,0,left,0,1.1257584319720204,0
scenario172,c4,base,60,0.4,100,left,100,20,80,right,0,20,0,right,0,1.4544248342588082,0
scenario173,c4,base,20,1.0,0,right,20,40,100,base,100,40,-90,left,0,2.52998702381154,0
scenario174,c1,right,40,1.0,20,left,60,80,60,right,0,20,-90,base,0,3.099920439356384,0
scenario175,c1,left,60,0.1,0,left,20,0,80,right,80,0,30,base,0,2.153291900556064,0
scenario176,c1,right,0,0.6,60,left,80,100,60,right,20,40,-90,base,0,2.8862407331102657,0
scenario177,c4,base,100,0.8,100,left,60,40,40,base,60,80,60,right,1,1.503405366316285,1
scenario178,c2,left,20,0.8,20,base_left_lane,40,0,100,left,100,60,30,right,0,3.252951998568331,0
scenario179,c4,right,80,0.1,40,right,80,20,100,base,40,40,-30,left,1,9999.0,1
scenario180,c2,base,40,1.0,20,base_left_lane,40,20,20,left,20,100,60,right,0,2.4824704242226963,0
scenario181,c2,base,80,0.2,0,base_left_lane,40,60,60,left,60,80,60,right,0,2.5423278194561107,0
scenario182,c2,left,20,0.6,0,right,60,80,100,left,0,40,-90,base,0,4.581159801730021,0
scenario183,c4,base,0,1.0,60,right,60,80,80,base,20,60,-30,left,0,2.4984209841541385,0
scenario184,c2,left,20,1.0,0,right,80,60,60,left,20,60,60,base,0,4.168143768207857,0
scenario185,c1,left,60,0.1,60,left,60,80,0,right,0,40,-90,base,0,2.996055756827344,0
scenario186,c1,right,0,0.8,20,left,0,20,40,right,40,60,60,base,0,1.8866366426260543,0
scenario187,c1,right,100,0.6,100,base,20,100,100,right,40,80,0,left,0,1.977381627018884,0
scenario188,c4,right,20,0.1,100,right,0,80,0,base,100,20,-60,left,0,9999.0,0
scenario189,c2,left,100,0.4,60,right,0,60,20,base,40,20,-60,base,0,3.7344489717003375,0
scenario190,c4,base,0,0.4,0,right,20,0,40,base,80,20,-90,left,0,3.1204158686797085,0
scenario191,c4,base,80,0.2,80,left,80,100,60,right,0,100,30,right,0,1.7139148115160807,0
scenario192,c2,left,100,0.8,80,right,40,0,0,left,100,0,-90,base,0,4.609441413080902,0
scenario193,c4,base,40,1.0,80,left,40,20,80,right,20,0,90,right,0,1.4921348353575852,0
scenario194,c2,base,80,0.8,80,base_left_lane,20,60,80,left,80,100,0,right,0,2.715771797415333,0
scenario195,c2,left,40,0.4,100,right,40,0,80,base,40,20,30,base,0,4.352717622652468,0
scenario196,c4,base,0,1.0,40,left,80,60,60,base,100,20,-90,right,0,2.9455722798629718,0
scenario197,c4,base,0,0.2,80,left,100,20,20,base,60,40,-30,right,0,1.5660299653260144,0
scenario198,c4,right,40,0.1,60,right,100,40,100,base,0,40,30,left,1,9999.0,1
scenario199,c1,left,20,0.4,100,left,100,20,40,right,100,80,-30,base,0,2.9994815223350297,0
scenario200,c1,right,100,1.0,40,base,100,60,80,right,60,80,30,left,0,2.312955800783046,0
scenario201,c4,base,100,0.1,100,left,100,0,60,base,20,60,60,right,0,3.12731988849521,0
scenario202,c4,base,40,0.4,80,left,80,80,100,right,80,0,60,right,0,2.7103395173374536,0
scenario203,c4,right,20,0.6,0,right,0,40,20,base,80,0,0,left,1,9999.0,1
scenario204,c1,right,100,0.2,100,base_left_lane,60,0,100,left,20,20,-60,left,0,0.8722018707821206,0
scenario205,c4,base,80,0.1,60,left,80,40,80,right,0,40,0,right,0,1.435814711762341,0
scenario206,c1,right,40,0.8,60,left,0,80,0,right,0,100,-90,base,0,3.0786770491938165,0
scenario207,c4,base,80,0.4,40,right,100,100,100,base,60,20,0,left,0,2.9798867911531315,0
scenario208,c2,left,0,0.6,100,right,20,0,80,base,80,60,-60,base,0,3.673038385295953,0
scenario209,c2,left,20,1.0,40,right,0,40,40,base,20,0,90,base,0,4.696266739253047,0
scenario210,c2,base,80,0.1,20,base_left_lane,60,80,20,left,0,80,0,right,0,3.262082128364457,0
scenario211,c2,left,80,0.4,80,right,60,40,100,base,80,60,-60,base,0,4.551660921810324,0
scenario212,c2,left,80,0.1,20,base_left_lane,60,60,100,left,60,0,0,right,0,2.708537914180643,0
scenario213,c4,base,20,0.4,80,right,100,60,40,base,60,20,90,left,0,2.586362309936173,0
scenario214,c4,base,40,0.6,40,left,0,0,100,right,100,100,90,right,0,1.587644045791272,0
scenario215,c4,right,20,0.4,40,right,20,20,0,base,0,20,60,left,0,9999.0,0
scenario216,c1,right,40,0.2,20,left,60,100,20,right,40,0,30,base,0,3.320572740845356,0
scenario217,c1,left,100,0.6,100,left,0,40,40,right,20,40,-30,base,0,1.8339882819920288,0
scenario218,c4,base,60,0.8,60,right,80,40,40,base,80,40,-90,left,0,3.300480654929232,0
scenario219,c1,left,100,0.6,80,left,0,20,20,right,0,0,-30,base,0,1.6303664434953815,0
scenario220,c1,right,60,0.6,100,base_left_lane,20,80,40,left,0,100,-60,left,0,0.8561852300972029,0
scenario221,c1,right,80,0.1,80,left,60,60,40,right,100,0,-90,base,0,1.955470878714302,0
scenario222,c4,base,60,0.4,20,left,40,0,60,right,80,0,-60,right,0,1.4460789808409062,0
scenario223,c2,left,100,0.2,60,right,80,100,80,base,60,0,30,base,0,3.404318969834998,0
scenario224,c1,right,80,0.8,0,base,100,0,40,right,0,40,0,left,0,1.7078116735230398,0
scenario225,c4,base,0,0.2,40,left,20,80,80,base,80,100,60,right,0,2.971857355869249,0
scenario226,c1,right,20,0.1,0,base,100,20,20,right,100,20,90,left,0,1.8610896750192365,0
scenario227,c2,left,100,0.6,40,right,0,80,80,left,40,80,-60,base,0,3.5040421104958823,0
scenario228,c4,base,40,0.1,0,left,20,40,40,base,100,100,60,right,0,2.6351946429486275,0
scenario229,c1,right,20,0.2,100,left,100,80,60,right,60,80,-30,base,0,3.599917031744389,0
scenario230,c4,right,100,0.2,100,right,0,60,100,base,20,60,90,left,0,1.4460398579407592,0
scenario231,c1,right,40,1.0,100,base,0,20,100,right,60,40,-30,left,0,1.9166129405614831,0
scenario232,c1,right,100,0.8,60,base_left_lane,60,80,60,left,20,20,90,left,0,0.8256862609489911,0
scenario233,c2,base,40,1.0,60,base_left_lane,40,0,20,left,0,80,30,right,0,9999.0,0
scenario234,c4,base,20,1.0,0,right,80,20,80,base,0,40,-90,left,0,2.7093892244703714,0
scenario235,c2,left,60,1.0,60,right,20,60,100,base,20,20,0,base,0,3.815417207160168,0
scenario236,c1,right,0,1.0,60,base_left_lane,40,40,100,left,60,100,30,left,0,0.8402992750248627,0
scenario237,c2,base,0,0.1,0,base_left_lane,0,100,80,left,60,40,60,right,0,1.970879016393667,0
scenario238,c2,left,40,0.6,80,right,60,60,80,left,40,0,30,base,0,3.8565720413887705,0
scenario239,c4,base,60,0.1,20,left,0,20,20,right,0,0,-60,right,0,1.7233323685016249,0
scenario240,c4,base,60,0.8,40,left,80,20,80,right,20,60,30,right,0,1.4586727130258927,0
scenario241,c2,left,40,0.2,20,right,80,80,60,left,60,20,60,base,0,4.195852461531259,0
scenario242,c4,right,60,0.8,100,right,80,20,80,base,80,80,90,left,1,9999.0,1
scenario243,c2,base,80,0.6,20,base_left_lane,20,40,40,left,20,80,30,right,0,2.9189456203380013,0
scenario244,c2,left,80,1.0,0,base_left_lane,40,20,40,left,0,40,-30,right,0,2.5755118852166983,0
scenario245,c4,base,60,0.8,40,right,0,100,0,base,100,0,-90,left,0,9999.0,0
scenario246,c1,right,60,0.6,40,left,80,0,60,right,0,100,-90,base,0,3.139297989720485,0
scenario247,c4,base,80,0.2,0,left,20,100,40,base,40,20,-90,right,0,2.369010988373354,0
scenario248,c2,left,40,0.8,0,right,20,60,0,left,40,80,60,base,0,4.438020259386127,0
scenario249,c2,left,100,0.2,40,right,80,80,100,left,80,80,30,base,0,4.468494532545367,0
scenario250,c4,base,60,1.0,40,left,40,0,40,right,80,0,60,right,0,2.8736404833439884,0
scenario251,c4,base,40,0.2,80,left,40,20,60,right,80,60,-30,right,0,1.2815915784895835,0
scenario252,c1,right,80,0.8,20,left,20,40,80,right,0,60,90,base,0,3.062622178041544,0
scenario253,c4,base,100,0.6,60,left,60,40,60,right,20,60,60,right,0,1.764329471155131,0
scenario254,c2,left,20,1.0,60,right,100,60,20,base,40,100,90,base,0,4.339726766381743,0
scenario255,c1,left,100,0.8,40,left,0,60,100,right,0,0,90,base,1,9999.0,1
scenario256,c2,base,100,0.4,100,base_left_lane,100,80,0,left,0,80,-60,right,0,2.427036489328393,0
scenario257,c1,right,100,1.0,0,left,80,60,20,right,40,100,-30,base,0,3.685199304869863,0
scenario258,c2,base,100,0.2,20,base_left_lane,0,80,80,left,20,20,-30,right,0,2.987675055636046,0
scenario259,c1,left,0,1.0,60,left,40,20,80,right,0,60,30,base,0,2.5609866667182355,0
scenario260,c2,base,20,0.4,60,base_left_lane,80,0,100,left,20,0,60,right,0,2.8002363299116437,0
scenario261,c4,right,20,0.4,0,right,20,40,40,base,60,40,30,left,0,1.9065678435383857,0
scenario262,c1,right,40,0.2,60,base,80,100,20,right,100,60,90,left,1,1.942002514199957,1
scenario263,c4,base,40,0.2,60,left,100,40,80,base,40,80,-90,right,0,2.121631234324962,0
scenario264,c4,right,40,0.4,80,right,20,100,0,base,20,60,30,left,0,9999.0,0
scenario265,c2,left,80,0.6,20,base_left_lane,60,0,20,left,20,0,60,right,0,1.804839416806968,0
scenario266,c1,right,0,0.8,80,base,60,0,0,right,80,20,-90,left,0,9999.0,0
scenario267,c1,right,40,0.1,20,base_left_lane,40,80,0,left,80,100,30,left,0,9999.0,0
scenario268,c2,left,60,0.6,100,right,80,60,60,base,60,80,-90,base,0,4.212138589869758,0
scenario269,c4,base,20,1.0,80,right,0,80,20,base,40,100,0,left,0,3.2464102037624563,0
scenario270,c4,base,80,0.6,20,right,40,100,80,base,80,0,0,left,0,3.3688282494899457,0
