Instances,feature_TimeOfDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario71,-90,20,100,40,100,40,0.6,100,0,0,60,100,c2,1e-05,base,left,right,left,0,4.20978768077687,0
scenario72,-30,60,80,20,0,80,0.2,40,60,0,60,100,c4,1e-05,left,base,right,base,0,2.8579579360356417,0
scenario73,-90,40,60,40,60,40,0.6,0,100,0,80,0,c1,1e-05,base,left,left,right,0,2.756450590249956,0
scenario74,30,60,100,0,80,60,0.6,0,100,0,80,0,c2,1e-05,base,left,right,base,0,4.106602947646808,0
scenario75,90,40,100,80,100,60,0.6,100,0,0,80,0,c4,1e-05,right,base,left,base,0,4.0241173864537245,0
scenario76,-60,80,100,0,40,40,0.8,0,100,0,80,20,c1,1e-05,base,right,left,right,0,2.4262864555345254,0
scenario77,60,20,60,20,40,60,0.8,100,100,0,80,20,c2,1e-05,right,left,base,left,0,0.7949047090249679,0
scenario78,0,20,60,40,60,0,0.6,40,60,0,80,20,c4,1e-05,left,right,right,base,0,2.366150581137026,0
scenario79,30,60,40,0,40,40,0.8,20,80,0,80,40,c1,1e-05,left,right,base,right,0,2.786214013731652,0
scenario80,90,20,20,100,0,0,0.8,0,100,0,80,40,c2,1e-05,right,base,base,left,0,0.8035694654074731,0
scenario81,-60,20,100,20,0,0,0.6,40,60,0,80,40,c4,1e-05,right,base,left,right,0,1.9186274618480892,0
scenario82,0,40,20,20,100,60,0.6,0,100,0,80,60,c1,1e-05,left,right,base,left,0,2057.355683491115,0
scenario83,30,20,20,60,0,0,0.8,0,100,0,80,60,c2,1e-05,base,left,right,left,0,3.672958807620151,0
scenario84,-30,60,40,100,0,0,0.8,0,100,0,80,60,c4,1e-05,left,base,right,base,0,9999.0,0
scenario85,-90,60,40,0,0,60,0.8,0,100,0,80,80,c1,1e-05,base,left,left,right,0,3.0912742696529403,0
scenario86,-90,80,80,0,100,40,0.4,0,100,0,80,80,c2,1e-05,base,left,right,base,0,3.069723595384168,0
scenario87,60,60,80,40,0,80,0.2,40,60,0,80,80,c4,1e-05,right,base,left,base,0,2.2861242589164465,0
scenario88,-30,60,20,20,80,40,0.6,40,60,0,80,100,c1,1e-05,base,right,left,right,0,2.7824842392614286,0
scenario89,60,40,20,80,0,0,0.8,100,0,0,80,100,c2,1e-05,right,left,base,left,1,0.6345472572119532,1
scenario90,-90,20,100,0,0,60,0.4,80,20,0,80,100,c4,1e-05,left,right,right,base,0,2.251327948894995,0
scenario91,90,60,100,60,40,40,0.8,40,60,0,100,0,c1,1e-05,left,right,base,right,0,3.124387925518904,0
scenario92,-60,20,80,60,40,40,0.8,40,60,0,100,0,c2,1e-05,right,base,base,left,1,9999.0,1
scenario93,0,0,60,0,0,0,0.8,80,20,0,100,0,c4,1e-05,right,base,left,right,0,1.716803506348905,0
scenario94,-60,40,20,60,0,80,0.4,100,0,0,100,20,c1,1e-05,left,right,base,left,0,1.8062231959860529,0
scenario95,90,60,60,0,100,40,0.4,0,100,0,100,20,c2,1e-05,base,left,right,left,0,3.9720307813440927,0
scenario96,30,80,20,20,0,80,0.2,40,60,0,100,20,c4,1e-05,left,base,right,base,0,1.7970274831812498,0
scenario97,0,20,100,60,100,60,0.6,100,0,0,100,40,c1,1e-05,base,left,left,right,0,1.0704638646700786,0
scenario98,-60,0,80,0,20,0,0.8,0,100,0,100,40,c2,1e-05,base,left,right,base,0,3.1372063257627696,0
scenario99,-90,0,20,0,0,100,0.2,0,100,0,100,40,c4,1e-05,right,base,left,base,0,3.0278843528903674,0
scenario100,90,20,80,40,0,0,0.8,40,60,0,100,60,c1,1e-05,base,right,left,right,0,2.735961629441672,0
