Instances,feature_TimeOfDay,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario117,-30,c4,right,base,left,right,0.6,80,20,20,20,80,40,20,0,2.45743522991797,0
scenario118,-60,c4,right,base,left,base,0.4,0,100,0,60,100,40,100,0,1.1045552621487125,0
scenario119,60,c4,right,base,left,right,0.6,40,80,40,40,100,80,0,0,2.439967554332869,0
scenario120,-90,c2,base,left,right,base,0.6,0,80,100,80,80,0,60,0,3.3446329409442783,0
scenario121,30,c4,left,base,right,base,0.2,20,0,20,0,100,100,40,0,3.0404176619494314,0
scenario122,0,c2,base,left,right,left,0.8,20,40,0,80,80,0,40,0,3.865741752396213,0
scenario123,-90,c4,left,right,right,base,0.8,20,0,60,0,0,80,0,1,9999.0,1
scenario124,0,c1,base,left,left,right,0.1,60,80,60,100,60,20,40,0,2.837313811890631,0
scenario125,0,c1,left,right,base,right,0.6,80,20,80,100,0,80,40,0,2.51471081463578,0
scenario126,-30,c1,base,right,left,right,0.2,60,80,100,60,100,100,40,0,2.825640192033301,0
scenario127,90,c4,left,base,right,base,0.6,80,40,0,0,20,80,60,0,2.423459270131809,0
scenario128,90,c1,left,right,base,left,0.2,0,0,20,60,40,60,60,0,2743.6139091243995,0
scenario129,30,c2,base,left,right,left,0.8,0,40,80,80,60,60,100,0,4.094594554625561,0
scenario130,-60,c1,left,right,base,left,0.2,100,20,100,40,100,20,40,0,0.9341084250193588,0
scenario131,60,c4,right,base,left,base,0.6,60,40,60,60,0,80,100,1,2.59425846243375,1
scenario132,0,c4,right,base,left,right,1.0,100,80,20,0,100,20,0,0,2.777433755880889,0
scenario133,-30,c4,right,base,left,base,0.8,0,100,20,80,40,40,80,0,2.9534026139387457,0
scenario134,90,c4,right,base,left,base,0.4,40,80,60,40,0,100,60,0,2.726835579951705,0
scenario135,60,c4,left,right,right,base,1.0,80,60,40,0,60,0,100,0,3.2070122806255155,0
scenario136,0,c1,left,right,base,left,0.1,60,20,60,80,40,0,0,1,9999.0,1
scenario137,-60,c4,left,base,right,base,0.6,0,40,40,20,100,60,40,0,9999.0,0
scenario138,0,c1,left,right,base,right,0.6,60,80,0,20,80,40,80,0,1.3196348141685383,0
scenario139,30,c2,base,left,right,left,0.8,60,20,0,40,0,80,100,0,3.868364818592495,0
scenario140,30,c4,right,base,left,base,0.1,60,100,80,20,60,100,60,0,2.545613106723122,0
scenario141,30,c4,right,base,left,base,0.4,80,20,80,0,0,60,20,0,4.075889194505933,0
scenario142,-90,c2,right,left,base,left,0.1,100,60,80,0,80,80,60,0,1.2764460020056814,0
scenario143,-30,c4,left,base,right,base,0.1,60,60,80,100,40,0,100,0,1.7751098991057483,0
scenario144,30,c4,left,right,right,base,0.1,60,40,40,40,100,0,20,1,2.534066978491998,1
scenario145,0,c4,left,right,right,base,0.4,100,40,100,100,60,0,80,1,9999.0,1
scenario146,90,c4,right,base,left,right,0.2,0,100,40,100,40,0,40,0,2.333041749367117,0
scenario147,90,c1,left,right,base,left,0.1,40,100,20,100,20,80,0,0,2.943170207483208,0
scenario148,90,c1,left,right,base,right,0.8,60,100,0,80,0,40,20,0,0.7018350985253956,0
scenario149,90,c4,right,base,left,base,0.4,60,20,20,40,20,60,40,0,2.969649471837971,0
scenario150,60,c1,left,right,base,left,0.4,40,0,0,100,100,20,80,0,3.260843070175006,0
scenario151,-90,c4,right,base,left,right,0.4,100,0,0,40,20,40,60,0,2.5620888881379487,0
scenario152,-30,c4,left,base,right,base,0.6,40,40,80,40,80,60,80,0,2.582491202903302,0
scenario153,-90,c2,right,left,base,left,0.4,20,60,100,40,40,80,100,1,0.9894943994768456,1
scenario154,60,c1,base,right,left,right,0.4,80,60,20,60,20,0,60,0,3.0084615429406942,0
