Rootdir,Boundary_area,prunedBoundaryArea,Footprint_area,COV_boundary,COV_prunnedBoundary,Footprint_density,Good_footprint_area
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_pict_3way_run3/,17.2530870331849,17.2530870331849,1.73486490161265,10.0553883387696,10.0553883387696,223.648538649513,1.473
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_random_run1/,26.6878909542178,26.6878909542178,2.02800762084975,7.59898046769126,7.59898046769126,254.436913695517,1.821
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_random_run2/,27.7058583077681,27.7058583077681,4.04664707901886,14.6057452328928,14.6057452328928,142.340062958901,3.726
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_random_run3/,27.4119335647168,27.4119335647168,2.01836168168973,7.36307665756079,7.36307665756079,236.330289227779,2.505
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_sitcov_run1/,26.5516813329518,26.5516813329518,8.53708481590828,32.1527089334015,32.1527089334015,73.6785464316696,7.847
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_sitcov_run2/,28.2806441503435,28.2806441503435,8.61482923694067,30.4619272147521,30.4619272147521,72.6653985566762,6.626
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_1_sitcov_run3/,27.4248909773743,27.4248909773743,8.98905555938159,32.7769965131224,32.7769965131224,69.7514878908074,7.556
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_avfuzzer_run1/,116.21508110176,116.21508110176,56.7081627220673,48.7958724327806,48.7958724327806,11.2329507679874,56.19
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_avfuzzer_run2/,76.7612693204163,76.7612693204163,37.4111523714068,48.7370163399012,48.7370163399012,17.2408482261287,36.573
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_avfuzzer_run3/,103.629137776152,103.629137776152,46.468159947217,44.8408246410313,44.8408246410313,13.7728715905036,41.471
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_bayscen_run1/,70.2410722818856,69.9088818377004,46.5798794362625,66.3143057516718,66.6294156218972,13.8042435442507,45.085
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_bayscen_run2/,52.490001015061,52.0776876541829,32.8501018817865,62.5835420966381,63.0790331934947,19.3302292420612,34.439
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_bayscen_run3/,53.6939299524511,53.498264629471,33.876999108658,63.0927911938237,63.3235476763407,18.8328369332143,31.83
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_bayscen_common_run1/,4.90991833288465,4.90991833288465,0,0,0,0,0
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_bayscen_common_run2/,4.92923554997567,4.92923554997567,0,0,0,0,0
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_bayscen_common_run3/,4.82952640157363,4.82952640157363,0,0,0,0,0
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_ctbc_run1/,67.4251119108936,67.4251119108936,26.4906832345381,39.289046000468,39.289046000468,6.0776084397133,25.792
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_ctbc_run2/,63.8208423035857,63.8208423035857,25.3719667299729,39.7549856977481,39.7549856977481,6.30617254479472,24.083
