instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario146,c1,0,2,1,2,40,0,0,40,40,80,60,0.1,False,4.161,0
scenario147,c2,0,1,2,0,20,60,0,40,40,20,0,0.6,False,3.821,0
scenario148,c4,1,0,2,0,100,60,100,80,60,60,80,0.8,True,0.0,1
scenario149,c1,0,1,1,2,0,60,100,80,80,100,80,1.0,False,5.296,0
scenario150,c2,0,1,2,0,20,100,60,20,40,40,100,0.6,False,3.989,0
scenario151,c4,1,2,2,0,20,60,0,40,40,60,40,0.1,False,2.011,0
scenario152,c4,2,0,1,2,0,60,100,60,80,100,80,1.0,True,0.0,1
scenario153,c4,2,0,1,2,0,60,100,100,40,100,60,1.0,False,0.834,0
scenario154,c4,2,0,1,2,100,60,100,80,60,20,20,1.0,True,0.0,1
scenario155,c2,0,1,2,0,100,0,20,80,0,60,60,0.8,False,3.795,0
scenario156,c1,1,2,0,1,20,60,0,80,60,100,80,1.0,False,5.599,0
scenario157,c4,2,0,1,2,0,60,100,100,40,100,60,1.0,True,0.0,1
scenario158,c2,0,1,2,1,20,60,40,100,100,100,60,1.0,False,5.068,0
scenario159,c4,2,0,1,2,20,0,80,20,20,100,80,1.0,True,0.0,1
scenario160,c4,2,0,1,2,20,60,80,100,40,100,20,0.8,True,0.0,1
scenario161,c4,1,0,2,0,20,80,100,100,40,100,60,0.8,False,9999.0,0
scenario162,c1,0,1,1,2,80,60,100,80,60,100,60,1.0,False,5.22,0
scenario163,c1,0,1,1,2,0,80,100,80,20,100,80,1.0,False,8.467,0
scenario164,c4,2,0,1,0,0,80,80,100,80,100,40,1.0,False,2.709,0
scenario165,c4,2,0,1,2,0,60,100,100,40,100,60,1.0,True,0.0,1
scenario166,c1,0,1,1,2,0,0,100,100,60,100,60,0.2,False,9999.0,0
scenario167,c4,1,0,2,0,0,80,0,80,60,100,60,1.0,False,1.926,0
scenario168,c4,2,0,1,0,0,40,100,100,40,100,40,1.0,False,1.913,0
scenario169,c4,2,0,1,2,0,60,100,100,40,100,60,1.0,False,0.834,0
scenario170,c2,0,1,2,0,0,0,100,80,20,100,60,0.8,False,2.719,0
scenario171,c2,0,1,2,1,20,60,60,40,100,80,60,1.0,False,5.15,0
scenario172,c2,2,1,0,1,0,80,0,60,0,100,40,0.8,False,4.04,0
scenario173,c1,0,1,1,2,0,40,100,100,20,80,40,1.0,False,4.576,0
scenario174,c4,1,0,2,0,0,40,40,100,40,100,20,0.8,False,9999.0,0
scenario175,c1,0,1,1,2,0,0,100,80,60,100,60,0.2,False,6409.017,0
scenario176,c1,0,1,1,2,0,80,20,80,80,100,60,0.6,False,6810.917,0
scenario177,c4,2,0,1,0,20,0,80,0,0,80,40,1.0,False,3.172,0
scenario178,c4,1,0,2,0,100,80,0,60,80,100,40,1.0,False,2.274,0
scenario179,c4,2,0,1,0,20,100,60,100,60,40,20,1.0,False,3.284,0
scenario180,c4,2,0,1,0,100,80,100,20,60,80,40,0.8,False,2.661,0
scenario181,c4,2,0,1,2,0,60,100,100,40,100,60,1.0,True,0.0,1
scenario182,c2,0,1,2,0,60,0,100,60,60,60,60,1.0,False,2.573,0
scenario183,c4,2,0,1,2,0,20,100,80,0,80,60,1.0,True,0.0,1
scenario184,c2,0,1,2,0,0,20,100,80,40,100,80,0.8,True,0.0,1
scenario185,c1,1,2,0,1,0,60,20,100,80,100,60,0.4,False,5.329,0
scenario186,c1,0,2,1,2,20,0,100,0,0,20,40,1.0,False,9999.0,0
scenario187,c4,1,0,2,0,100,80,0,60,80,100,60,1.0,False,1.726,0
scenario188,c2,2,1,0,1,0,60,80,60,100,100,40,1.0,False,9999.0,0
scenario189,c4,1,0,2,0,0,40,40,100,40,80,60,0.6,True,0.0,1
scenario190,c2,0,1,2,1,0,100,100,100,40,100,80,0.8,False,4.629,0
scenario191,c2,0,1,2,0,0,80,0,60,100,80,100,1.0,False,4.034,0
scenario192,c4,1,0,2,0,20,100,60,100,40,20,20,0.4,False,2.02,0
