instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario277,1,20,20,80,40,-90,20,100,40,0.8,False,0.836,0
scenario278,0,40,80,60,80,-90,0,40,100,0.2,False,0.996,0
scenario279,1,100,60,80,0,-30,0,100,60,0.6,False,0.861,0
scenario280,0,80,80,20,0,-60,0,20,80,0.2,False,1.09,0
scenario281,0,0,40,40,80,90,0,0,0,1.0,False,1.154,0
scenario282,0,40,0,80,100,30,60,80,20,1.0,False,1.214,0
scenario283,1,0,40,0,100,-60,0,40,0,0.6,False,0.694,0
scenario284,1,80,80,40,0,-90,0,60,20,0.8,False,0.821,0
scenario285,0,20,20,100,80,0,100,60,20,0.1,False,1.024,0
scenario286,1,100,60,80,80,30,0,60,0,0.4,False,0.821,0
scenario287,1,60,20,40,100,0,80,40,60,0.8,False,0.842,0
scenario288,0,40,80,20,100,-30,20,60,100,1.0,False,1.072,0
scenario289,0,40,0,80,20,-90,40,60,20,0.8,False,1.207,0
scenario290,0,20,20,60,60,90,60,100,0,0.1,False,1.187,0
scenario291,0,100,80,40,100,30,40,100,80,0.1,False,1.071,0
scenario292,0,40,0,80,0,0,20,0,40,0.1,False,1.101,0
scenario293,1,40,100,20,0,-90,80,80,40,0.1,False,0.879,0
scenario294,1,80,80,20,60,-90,80,20,40,0.6,False,0.924,0
scenario295,1,40,20,100,0,60,80,40,60,0.8,False,0.802,0
scenario296,0,100,60,20,80,60,40,60,80,0.4,False,1.209,0
scenario297,1,60,40,0,20,-30,20,20,80,0.8,False,1.038,0
scenario298,1,80,60,0,40,-60,20,40,80,0.4,False,0.746,0
scenario299,1,40,40,20,40,-90,0,20,80,0.1,False,0.833,0
scenario300,1,60,100,0,80,0,60,40,100,0.1,False,1.036,0
scenario301,0,100,100,20,60,-30,100,40,20,1.0,False,1.118,0
scenario302,0,80,80,40,80,-90,100,100,60,0.4,False,1.085,0
scenario303,0,60,0,0,60,90,80,80,0,0.6,False,1.137,0
scenario304,1,80,20,60,40,90,80,80,0,0.6,False,0.85,0
scenario305,1,100,60,40,100,-30,40,40,60,0.8,False,0.793,0
scenario306,1,100,40,0,100,90,60,60,60,0.4,False,0.912,0
scenario307,0,80,40,20,60,30,60,80,20,0.1,False,1.243,0
scenario308,1,40,80,20,40,-60,60,0,0,0.1,False,0.739,0
scenario309,1,80,60,40,80,90,40,80,80,0.6,False,0.806,0
scenario310,1,60,60,40,0,30,100,40,60,0.1,False,0.976,0
scenario311,0,80,20,0,60,-30,80,60,100,0.8,False,1.134,0
scenario312,0,20,60,60,60,0,80,80,40,1.0,False,1.071,0
scenario313,0,20,40,40,40,-90,40,80,20,0.1,False,1.121,0
scenario314,1,100,40,80,60,60,20,80,40,0.8,False,0.798,0
scenario315,0,80,20,60,20,-90,100,80,80,0.1,False,1.092,0
scenario316,1,80,100,100,100,-90,100,60,0,0.1,False,0.756,0
scenario317,1,100,100,80,0,-30,60,0,80,0.1,False,0.794,0
scenario318,0,20,20,60,80,30,40,100,80,0.8,False,1.034,0
scenario319,0,80,20,60,80,-90,20,20,80,0.8,False,1.016,0
scenario320,0,0,0,0,20,30,60,60,80,0.6,False,1.193,0
scenario321,0,100,0,100,80,-30,20,100,20,0.4,False,1.071,0
scenario322,1,20,0,40,100,-90,80,0,40,0.2,False,0.807,0
scenario323,1,80,60,0,0,-60,60,80,0,0.6,False,0.858,0
scenario324,0,80,20,20,20,-90,20,80,20,0.4,False,0.865,0
scenario325,0,60,40,60,80,-30,60,0,20,1.0,False,1.134,0
scenario326,1,100,100,80,20,0,40,60,100,0.6,False,0.907,0
scenario327,0,20,0,20,20,-30,60,20,0,0.4,False,1.152,0
scenario328,1,80,40,0,40,30,60,40,60,1.0,False,0.937,0
scenario329,0,0,60,40,80,-60,60,20,60,0.4,False,2.532,0
scenario330,1,20,60,0,40,60,0,40,20,0.2,False,0.747,0
scenario331,0,0,20,40,80,90,20,80,60,0.6,False,1.054,0
scenario332,0,20,40,40,20,60,60,60,100,0.8,False,1.231,0
scenario333,0,40,60,80,20,-60,60,100,20,1.0,False,0.635,0
scenario334,1,80,60,80,40,30,20,60,80,0.8,False,0.727,0
scenario335,0,20,0,100,80,-90,80,40,100,0.6,False,1.117,0
scenario336,0,100,100,80,20,-30,0,60,100,0.1,False,0.984,0
scenario337,0,20,40,20,100,-90,0,80,40,0.8,False,1.095,0
scenario338,1,20,0,100,40,-90,20,40,20,1.0,False,0.877,0
scenario339,1,40,40,60,60,90,100,100,20,0.4,False,0.853,0
scenario340,0,0,40,100,100,60,40,60,0,1.0,False,1.183,0
scenario341,1,20,60,40,100,-90,20,40,0,0.4,False,0.751,0
scenario342,0,100,100,0,60,-90,80,20,60,0.2,False,1.083,0
scenario343,1,20,60,100,0,30,40,100,100,0.2,False,0.81,0
scenario344,0,80,60,100,80,-30,60,100,100,0.8,False,1.175,0
scenario345,1,0,0,100,40,-90,80,80,100,0.1,False,0.863,0
scenario346,0,100,0,0,40,-60,40,100,0,0.6,False,1.053,0
scenario347,1,100,80,20,40,30,0,40,60,0.6,False,0.77,0
scenario348,1,100,80,100,100,90,100,100,60,0.8,False,0.93,0
scenario349,0,100,100,20,60,60,80,20,60,0.2,False,1.218,0
scenario350,0,100,80,40,20,30,20,100,20,0.8,False,1.028,0
scenario351,1,20,0,20,40,-30,60,0,20,1.0,False,0.68,0
scenario352,1,20,20,100,100,0,100,60,20,1.0,False,0.888,0
scenario353,0,0,80,100,60,-60,100,40,100,0.4,False,1.126,0
scenario354,0,100,20,80,80,-60,40,100,0,0.8,False,1.129,0
scenario355,1,20,100,100,20,30,60,60,20,0.1,False,0.824,0
scenario356,1,0,40,60,20,-90,0,40,40,0.2,False,0.855,0
scenario357,0,100,40,60,0,-60,40,60,60,0.8,False,1.018,0
scenario358,1,40,20,80,0,-90,0,60,60,0.1,False,0.889,0
scenario359,1,100,80,40,0,60,60,60,60,0.2,False,0.768,0
scenario360,1,0,40,0,100,-30,100,80,100,1.0,False,0.884,0
scenario361,1,100,20,0,20,60,0,0,60,0.2,False,0.899,0
scenario362,1,40,20,100,80,90,100,20,0,1.0,False,0.797,0
scenario363,1,100,80,40,60,-60,100,40,40,0.2,False,0.837,0
scenario364,1,20,80,40,40,-60,0,0,0,0.8,False,0.863,0
scenario365,1,0,20,60,60,0,100,20,40,0.8,False,0.93,0
scenario366,0,20,100,20,20,-60,60,100,60,0.1,False,1.074,0
scenario367,0,60,60,20,20,60,40,0,0,0.8,False,1.247,0
scenario368,1,20,40,0,100,-90,80,100,60,0.4,False,9999.0,0
scenario369,0,60,0,100,20,60,20,60,40,0.1,False,1.218,0
scenario370,1,80,100,40,80,-60,60,0,80,0.4,False,0.766,0
scenario371,1,60,80,100,20,0,80,80,0,0.1,False,0.983,0
scenario372,1,80,100,40,80,30,60,40,60,1.0,False,0.831,0
scenario373,0,40,40,80,100,-90,20,20,100,1.0,False,1.129,0
scenario374,1,100,0,20,100,30,40,80,80,0.6,False,0.865,0
scenario375,1,80,20,80,60,0,40,0,20,0.2,False,0.94,0
scenario376,0,80,100,0,20,90,40,100,0,0.2,False,1.098,0
scenario377,1,100,60,20,80,0,20,80,80,1.0,False,0.743,0
scenario378,0,100,80,80,80,-90,60,100,0,0.6,False,0.938,0
scenario379,0,80,80,80,100,90,0,100,100,0.8,False,1.081,0
scenario380,0,60,100,60,80,-60,20,80,60,0.1,False,2.522,0
scenario381,0,40,80,0,60,-60,0,40,0,0.1,False,1.078,0
scenario382,0,60,40,0,100,-60,60,0,80,0.2,False,1.163,0
scenario383,0,100,40,20,40,60,40,100,100,0.1,False,1.236,0
