instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_timeofday,feature_startego,collision,min_ttc,algo_safety
scenario132,c1,2,60,1.0,0,1,0,80,60,1,0,60,-30,1,0,1.0234027888733812,0
scenario133,c4,0,40,0.2,40,2,60,100,100,2,40,80,60,2,1,0.0,1
scenario134,c4,2,40,0.2,20,3,80,100,80,0,80,40,60,1,0,5.009933741196155,0
scenario135,c4,0,40,0.8,100,2,80,40,80,2,60,80,90,2,0,0.8959862192954582,0
scenario136,c1,1,0,0.2,60,2,60,0,60,2,100,100,-90,0,0,2.866477760366116,0
scenario137,c2,0,40,0.6,40,1,60,0,80,1,80,100,-60,2,0,2.697169797268365,0
scenario138,c4,2,0,0.1,20,3,40,80,80,0,0,80,90,1,0,3.85881286245202,0
scenario139,c4,2,80,0.8,40,3,40,40,0,0,0,80,0,1,0,4.153825645329081,0
scenario140,c1,2,60,0.2,80,2,100,100,0,2,20,100,-30,0,0,2.918530935818127,0
scenario141,c1,2,100,0.2,80,0,20,20,60,2,100,60,0,1,0,3.3559453200043907,0
scenario142,c1,1,20,0.2,60,2,40,100,60,2,20,20,30,0,0,2.5224271484603675,0
scenario143,c1,2,0,0.1,80,2,20,100,80,2,100,0,-60,0,0,3.380198272081859,0
scenario144,c4,0,100,0.8,40,2,80,100,0,2,20,100,90,2,0,0.9595393131823934,0
scenario145,c2,0,100,1.0,60,1,20,0,100,1,0,60,30,2,0,2.392443095385842,0
scenario146,c2,1,80,0.4,20,3,60,20,20,0,0,20,-90,0,0,1.6648800770978016,0
scenario147,c2,1,20,0.1,40,1,100,100,40,1,0,100,-90,2,0,1.6032000825466288,0
scenario148,c4,0,40,0.8,60,3,60,40,0,0,100,40,60,1,0,2.2672898571389584,0
scenario149,c2,1,40,0.1,40,3,40,40,100,0,80,100,90,0,1,0.0,1
scenario150,c1,2,60,0.2,20,1,80,80,100,1,80,0,60,1,1,0.0,1
scenario151,c1,2,20,1.0,0,2,0,80,80,2,20,20,-90,0,1,0.0,1
scenario152,c2,0,20,0.6,100,1,60,0,60,1,100,0,60,2,0,2.7641925214038787,0
scenario153,c4,2,60,0.6,60,3,100,40,60,0,40,100,-30,1,0,3.401333373784704,0
