PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,TimeOfDay,StartEgo,Min_TTC,Collision_Occurred
c2,base,60,0.2,0,base_left_lane,40,60,80,left,60,80,60,right,3.522540300850895,False
c2,base,60,0.1,100,base_left_lane,40,40,0,left,60,80,90,right,3.1080489626771883,False
c4,base,40,0.6,40,left,80,40,40,right,80,20,30,right,1.2381466113094783,False
c2,left,80,0.4,20,base_left_lane,60,20,20,left,80,80,0,right,3.296455504024523,False
c1,right,80,0.8,20,left,40,60,80,right,0,40,30,base,4.493538957787069,False
c4,base,40,0.8,60,left,60,60,100,base,20,60,0,right,1.9186097461599974,False
c4,base,40,0.6,20,left,60,80,0,right,0,100,-90,right,0.9243240198639955,False
c1,right,100,0.1,80,base_left_lane,20,40,60,left,60,80,90,left,0.9885204686202309,False
c2,base,60,0.2,60,base_left_lane,40,40,40,left,0,100,90,right,2.5717130079235906,False
c2,left,100,1.0,20,base_left_lane,20,0,60,left,80,80,-30,right,4.604119565136659,False
c2,left,80,0.1,40,base_left_lane,20,100,40,left,40,80,0,right,2.950621942859978,False
c4,base,40,0.2,20,right,100,0,100,base,80,60,-30,left,2.583082189610121,False
c4,base,20,0.8,0,left,0,100,20,base,80,100,90,right,2.580771006559134,False
c2,base,20,0.8,0,base_left_lane,40,80,60,left,60,20,60,right,3.3124162772291736,False
c1,right,80,0.8,60,left,0,60,60,right,20,60,60,base,2.935159561329367,False
c2,left,0,0.6,100,base_left_lane,60,40,100,left,100,40,-60,right,6.914359808923845,False
c1,right,0,0.8,40,left,80,0,80,right,0,20,-30,base,3.478677780129129,False
c1,right,60,1.0,40,left,60,80,60,right,40,80,30,base,3.8651686149478017,False
c4,right,60,1.0,60,right,60,20,100,base,100,40,-30,left,3.4313449737020933,False
c1,left,60,0.8,40,left,60,40,20,right,100,80,60,base,3.053698066305733,False
c4,base,0,0.8,40,right,80,0,100,base,80,40,60,left,2.919622067326801,False
c2,left,60,0.4,20,base_left_lane,60,80,0,left,0,60,30,right,4.816329838658002,False
c4,right,40,0.6,100,right,60,0,20,base,80,40,-90,left,4.757468842071099,False
c1,right,40,0.4,100,base_left_lane,100,60,20,left,40,40,0,left,1.2104060498347626,False
c2,left,80,0.8,20,right,0,80,20,base,60,20,-90,base,1.8269391819701437,False
c4,base,100,0.6,80,right,0,60,40,base,60,20,30,left,2.9631828490406686,False
c2,base,80,0.6,80,base_left_lane,40,0,0,left,60,0,60,right,4.036675610970565,False
c1,right,20,0.6,40,base,60,0,20,right,0,60,90,left,3.6247364669750284,False
c1,right,40,0.6,100,left,60,0,100,right,40,20,-60,base,0.0,True
c1,right,80,0.1,40,left,0,60,0,right,20,40,60,base,2.72756587359565,False
c1,right,60,0.8,100,left,20,60,60,right,80,20,90,base,3.784158365312336,False
c4,base,20,0.6,60,left,0,80,100,base,60,60,0,right,2.2052944757684614,False
c4,base,60,0.8,0,right,80,100,60,base,20,0,-90,left,3.457693517804363,False
c4,base,0,0.6,60,left,20,40,60,base,0,20,30,right,2.5935646581093508,False
c1,left,40,0.2,80,left,60,100,80,right,60,20,60,base,3.4027203014409273,False
c2,base,100,0.2,0,base_left_lane,80,100,0,left,80,40,0,right,3.763080792944534,False
c1,right,0,0.2,20,left,80,0,40,right,80,100,90,base,2.619407658811075,False
c1,right,0,1.0,60,left,20,20,20,right,40,20,30,base,2.6255559223352525,False
c1,right,100,0.2,100,left,80,100,60,right,100,100,0,base,3.727172297518393,False
c4,base,0,1.0,80,right,100,0,60,base,100,60,-60,left,2.032326764638187,False
c4,base,40,1.0,60,left,0,60,40,base,0,60,-30,right,2.7819001775030805,False
c1,right,40,1.0,100,left,80,80,60,right,60,40,0,base,3.879193146251971,False
c2,left,60,1.0,80,right,80,60,100,left,60,100,-90,base,2.9309586412042425,False
c1,right,0,1.0,100,left,40,80,40,right,100,40,30,base,2.5906262375845794,False
c2,left,20,0.2,0,base_left_lane,20,40,40,left,80,80,-60,right,3.4774454737557616,False
c2,left,80,0.4,0,base_left_lane,80,60,80,left,20,60,0,right,3.667384333219084,False
c1,right,0,0.8,80,left,40,80,100,right,80,0,60,base,2.059188237292064,False
c1,right,20,0.2,0,base_left_lane,100,40,20,left,80,80,90,left,0.9909306401559715,False
c2,base,0,0.6,100,base_left_lane,40,60,60,left,80,60,-60,right,3.665207860426742,False
c2,left,80,0.6,60,base_left_lane,40,40,60,left,60,20,30,right,2.432605302242201,False
c4,base,100,0.6,60,right,100,0,80,base,20,40,-60,left,2.1726505306526454,False
c1,right,0,0.4,0,base_left_lane,20,20,20,left,40,100,30,left,1.0114238104218576,False
c2,left,60,0.6,20,base_left_lane,60,60,80,left,80,20,30,right,2.221328263476877,False
c1,right,20,0.8,100,left,40,0,80,right,60,100,-90,base,2.0979787059198265,False
c4,base,100,0.1,0,right,80,100,80,base,100,80,-60,left,2.5680749163801333,False
c4,base,60,0.2,80,left,0,20,60,right,80,20,-30,right,1.0665643468584705,False
c2,left,100,0.4,80,right,60,100,60,left,0,0,-30,base,3.090493336842531,False
c4,base,60,1.0,60,right,0,0,40,base,80,0,-90,left,2.6313377980218196,False
c4,right,60,1.0,60,right,60,20,60,base,0,0,60,left,3.920286224064128,False
c4,base,0,0.1,20,right,40,0,0,base,40,20,0,left,2.266353064220762,False
c4,right,100,1.0,60,right,20,60,20,base,60,80,30,left,4.047759016265182,False
c1,right,20,0.2,80,base,60,0,40,right,60,40,-90,left,3.3944513986394242,False
c4,base,40,0.1,40,right,60,20,80,base,20,40,-90,left,2.669523119900587,False
c1,right,20,0.6,40,base_left_lane,100,20,80,left,80,40,-90,left,0.0,True
c2,left,40,0.2,20,base_left_lane,20,20,80,left,100,100,-60,right,5.454169895150471,False
c2,base,80,0.1,0,base_left_lane,60,100,60,left,60,0,-90,right,3.3218297736693745,False
c2,left,40,0.2,60,base_left_lane,60,100,80,left,100,40,0,right,2.5572509748922507,False
c4,base,80,0.2,80,right,60,20,80,base,20,0,60,left,2.6890270805915217,False
c2,left,60,0.4,0,base_left_lane,60,0,0,left,40,20,-60,right,4.829036037376322,False
c4,base,60,0.8,100,right,20,0,100,base,40,100,-30,left,3.1115528288206704,False
c2,left,100,0.1,0,right,40,0,0,base,60,80,-30,base,1.57197175909085,False
c2,left,60,1.0,100,base_left_lane,0,20,40,left,0,0,30,right,3.9991819818316103,False
c4,right,100,0.8,60,right,0,40,0,base,40,0,0,left,7.073626414834041,False
c4,base,0,0.6,100,left,80,80,0,base,0,0,-90,right,3981.2213773074272,False
c1,left,0,0.1,0,left,80,60,80,right,60,40,30,base,3.193077473024075,False
c4,base,80,0.4,40,right,60,100,60,base,0,0,60,left,1.898284748133593,False
c2,left,100,1.0,20,right,40,80,60,left,20,40,0,base,3.235974367559232,False
c4,base,80,0.4,20,right,20,20,20,base,60,20,-30,left,3.6703493014014943,False
c4,base,60,1.0,20,left,0,40,40,base,20,60,0,right,2.824903338880155,False
c4,base,40,0.4,0,left,0,40,80,right,0,100,90,right,1.2543300600366407,False
c2,left,60,0.1,40,base_left_lane,60,100,0,left,20,20,-60,right,2.944228468671991,False
c4,right,80,0.2,40,right,100,60,100,base,0,0,60,left,4.47222838793439,False
c2,left,60,0.4,0,right,0,20,100,left,100,20,30,base,1.9303299058947179,False
c1,right,60,0.1,60,left,100,0,60,right,60,20,-60,base,3.7553834966393524,False
c4,base,100,0.2,100,right,100,40,20,base,40,20,90,left,2.774614222630101,False
c2,left,20,1.0,0,base_left_lane,80,20,40,left,0,60,60,right,2.703377042308783,False
c2,left,40,0.4,100,right,0,40,60,base,20,60,90,base,1.6640451224276933,False
c1,right,100,1.0,0,left,60,100,100,right,40,40,-30,base,4.9148199406991875,False
c1,left,20,0.2,100,left,100,80,100,right,80,60,0,base,2.2501296928586867,False
c2,base,40,0.2,80,base_left_lane,40,80,40,left,40,40,0,right,3.6912377402055623,False
c1,right,100,1.0,0,left,20,80,20,right,20,60,-30,base,3.218760429391602,False
c2,left,0,1.0,60,right,60,0,20,base,100,100,-60,base,1341.8733702555076,False
c2,left,100,1.0,100,base_left_lane,100,40,80,left,20,100,-30,right,1.842332769585989,False
c2,base,80,0.4,100,base_left_lane,20,100,80,left,60,80,-90,right,4.543576644325365,False
c2,left,100,0.6,20,base_left_lane,20,40,0,left,20,20,30,right,3.877811390789587,False
c1,right,0,0.6,20,left,100,60,0,right,40,40,30,base,0.0,True
c2,left,0,0.4,40,right,100,80,80,base,80,0,0,base,1.5608739927245767,False
c2,left,40,0.2,60,base_left_lane,20,20,0,left,100,80,90,right,6.697535490218945,False
c4,base,20,0.2,80,left,100,40,60,right,60,20,-30,right,1.018396228481151,False
c2,left,0,0.1,60,base_left_lane,60,100,60,left,40,0,-30,right,3.4518006288142176,False
c2,base,60,0.4,60,base_left_lane,20,100,80,left,40,40,0,right,2.3364722088301586,False
c1,right,40,0.8,20,left,0,20,20,right,0,40,90,base,0.0,True
c4,right,0,0.6,60,right,20,0,60,base,40,80,-30,left,4.326512600910164,False
c4,base,20,1.0,20,right,40,20,100,base,0,0,30,left,2.6033196690880356,False
c1,right,40,1.0,0,base_left_lane,0,60,20,left,40,100,-30,left,1.071532738256036,False
c1,right,0,0.8,20,left,80,80,80,right,0,80,-90,base,4.238881782576501,False
c4,base,40,1.0,0,right,40,20,40,base,80,0,-90,left,2.2425432764783455,False
