PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,StartEgo,Min_TTC,Collision_Occurred
c2,left,40,0.2,80,base_left_lane,0,80,0,left,40,0,right,5.5211892644478,False
c4,base,20,0.6,40,left,0,100,0,right,60,20,right,1.1196697519912016,False
c1,right,80,0.6,100,left,80,0,0,right,60,0,base,3.1974642230713415,False
c2,left,0,0.6,100,right,100,100,20,base,0,20,base,1.6908732042537453,False
c4,base,80,0.2,60,right,60,40,60,base,80,80,left,3.4943746560078472,False
c2,left,100,0.4,80,right,20,40,40,base,80,100,base,1.72299729865719,False
c2,left,100,0.8,20,base_left_lane,20,20,0,left,20,0,right,5.21783078958888,False
c2,left,60,0.2,40,base_left_lane,100,0,0,left,40,80,right,4.313761847567182,False
c4,base,0,0.8,20,left,100,20,20,right,60,0,right,0.9089576678180127,False
c2,left,60,0.6,100,base_left_lane,80,100,0,left,20,0,right,5.428534034317964,False
c4,right,80,0.1,60,right,0,40,0,base,40,20,left,1.9407095549363107,False
c2,base,80,0.8,60,base_left_lane,100,100,40,left,80,100,right,4.0091029925968105,False
c1,right,20,0.2,0,left,100,0,40,right,60,100,base,0.0,True
c1,right,80,0.4,40,base,100,0,60,right,40,0,left,5.214812952619046,False
c1,left,20,0.6,0,left,100,40,60,right,40,0,base,2.444505429103505,False
c4,base,0,0.6,60,right,100,100,80,base,20,60,left,1.7452186711337945,False
c1,right,40,0.2,0,left,80,0,40,right,80,100,base,2.5831544394689825,False
c2,base,20,0.1,80,base_left_lane,60,40,100,left,20,0,right,3.5013470931340147,False
c2,left,80,0.6,20,right,40,100,100,base,0,60,base,1.9353329456146515,False
c2,base,60,0.6,100,base_left_lane,20,100,80,left,80,60,right,4.483726129581642,False
c1,left,60,0.1,40,left,20,40,20,right,0,20,base,2.505092931839482,False
c4,base,60,0.1,60,right,60,60,0,base,40,60,left,3.351505892677035,False
c2,left,0,0.4,100,base_left_lane,100,80,100,left,40,40,right,4.571049162371931,False
c1,right,100,0.6,40,left,20,40,40,right,100,40,base,3.549176752258512,False
c2,base,20,0.8,60,base_left_lane,0,100,60,left,100,40,right,3.5917428672131377,False
c4,base,100,0.8,40,right,100,20,40,base,0,60,left,0.0,True
c2,base,60,0.4,0,base_left_lane,100,80,20,left,80,60,right,3.3643636355488002,False
c4,base,100,1.0,20,right,60,80,20,base,60,60,left,2.82610054607318,False
c4,base,100,0.6,80,left,40,20,100,right,60,0,right,1.2021136573886249,False
c4,base,80,0.1,100,left,20,0,40,base,100,80,right,19.609872798452354,False
c1,right,40,0.4,60,base_left_lane,0,80,40,left,40,100,left,0.7687837198323324,False
c1,right,100,0.4,40,left,60,20,60,right,80,100,base,2.4646266386867057,False
c1,left,40,0.4,0,left,0,40,20,right,100,80,base,2.3091672895929127,False
c1,right,0,0.6,100,left,80,40,100,right,100,20,base,2.019067872049637,False
c4,right,80,0.6,20,right,20,60,60,base,60,60,left,4.865617502731078,False
c2,left,0,0.4,0,base_left_lane,80,100,0,left,20,20,right,5.3116004598758755,False
c4,base,100,0.2,60,right,20,0,80,base,40,0,left,0.0,True
c2,base,0,1.0,60,base_left_lane,20,40,80,left,20,20,right,3.8510920901833154,False
c4,base,100,0.6,20,right,40,0,0,base,0,80,left,0.0,True
c1,right,100,0.8,20,left,100,0,80,right,40,0,base,2.9934388222202677,False
c4,base,80,1.0,100,left,60,80,80,right,20,0,right,1.2913696660246636,False
c4,base,40,0.4,80,right,40,60,100,base,0,100,left,3.384270904139458,False
c4,base,100,1.0,0,right,60,40,80,base,100,80,left,3.3948328436395054,False
c2,left,80,0.8,80,right,0,0,0,base,40,0,base,1.8436318374726468,False
c4,base,20,0.2,40,right,80,80,40,base,20,20,left,2.120925730517997,False
c4,base,80,0.6,20,right,100,20,40,base,100,100,left,2.2184754918660534,False
c2,left,20,0.1,80,base_left_lane,100,100,0,left,80,0,right,3.4084555907441816,False
c2,left,60,0.4,60,base_left_lane,100,40,20,left,40,100,right,3.3838446883356776,False
c2,left,20,0.4,100,base_left_lane,80,40,80,left,80,80,right,5.698518482153879,False
c2,base,0,0.2,80,base_left_lane,80,0,40,left,40,40,right,4.240933983900705,False
c4,right,80,0.6,20,right,100,100,80,base,60,100,left,3.2798379831278472,False
c2,left,20,0.6,0,base_left_lane,40,100,40,left,40,60,right,3.420498804633588,False
c1,right,20,1.0,80,base,60,80,100,right,20,60,left,4.271273056847155,False
c4,base,0,0.6,20,right,80,80,40,base,20,80,left,3.1736199643709524,False
c2,base,40,0.1,100,base_left_lane,60,20,80,left,0,60,right,4.057413666722007,False
c2,left,100,0.6,100,base_left_lane,40,80,0,left,20,20,right,2.9546243262888305,False
c2,left,60,0.1,20,base_left_lane,80,80,80,left,100,100,right,5.180394977187746,False
c4,base,80,0.2,100,right,40,0,20,base,100,40,left,3.250496478171628,False
c4,right,60,0.1,80,right,0,40,20,base,40,20,left,2.8410610685801956,False
c1,right,100,0.4,80,base,100,60,40,right,100,100,left,5.807838134486366,False
c1,right,40,0.2,100,left,60,80,80,right,100,100,base,0.0,True
c4,right,100,0.8,20,right,0,60,20,base,80,100,left,3.0750259408363867,False
c2,base,80,0.2,0,base_left_lane,100,0,80,left,60,60,right,5.046303819521624,False
c2,left,80,0.8,40,base_left_lane,60,20,100,left,20,80,right,4.260948093816109,False
c1,left,100,0.4,0,left,20,100,100,right,60,100,base,2.7564083139252915,False
c2,left,60,1.0,20,base_left_lane,40,0,60,left,20,80,right,3.336106962240443,False
c4,right,0,0.1,80,right,60,40,60,base,40,20,left,2.7237348738599136,False
