Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario199,c1,base,right,left,right,100,100,60,40,0,0,20,100,0.6,False,2.957,0
scenario200,c2,base,left,right,left,80,100,0,60,60,0,20,40,1.0,False,26.512,0
scenario201,c4,right,base,left,base,80,80,20,40,90,0,20,60,1.0,False,4003.412,0
scenario202,c4,left,right,right,base,80,100,20,80,-30,40,0,40,1.0,False,3.39,0
scenario203,c4,right,base,left,base,100,80,20,100,90,60,40,60,0.8,False,3872.575,0
scenario204,c1,base,right,left,right,20,80,80,80,90,60,20,60,1.0,False,2.377,0
scenario205,c4,right,base,left,right,100,100,80,40,0,0,20,0,0.8,False,5749.077,0
scenario206,c2,base,left,right,base,0,20,0,100,-30,80,0,60,1.0,False,1.814,0
scenario207,c1,base,right,left,right,60,60,0,0,30,80,60,60,1.0,False,3.51,0
scenario208,c4,left,base,right,base,40,80,100,40,-60,40,20,20,0.4,False,3.775,0
scenario209,c2,right,left,base,left,80,100,20,20,-90,80,0,80,0.1,True,0.0,1
scenario210,c4,right,base,left,base,60,80,0,100,-90,60,0,60,0.8,False,4191.25,0
scenario211,c4,left,right,right,base,60,60,0,100,-60,60,40,80,0.1,False,3.753,0
scenario212,c1,left,right,base,right,20,20,0,0,90,80,20,0,0.4,False,25.964,0
scenario213,c2,base,left,right,base,40,20,0,20,-60,60,20,20,0.4,False,2.047,0
scenario214,c1,base,right,left,right,80,60,20,60,-30,80,100,80,0.8,True,0.0,1
scenario215,c1,base,left,left,right,100,60,40,0,90,100,60,80,1.0,False,2.883,0
scenario216,c1,base,right,left,right,60,60,0,0,-90,60,20,0,0.4,False,0.729,0
scenario217,c2,right,left,base,left,20,80,80,60,0,80,80,60,1.0,False,5.633,0
scenario218,c1,base,right,left,right,60,60,0,0,-90,60,20,0,0.4,False,2.651,0
scenario219,c2,right,base,base,left,60,40,0,0,-60,60,40,0,0.6,False,2.687,0
scenario220,c2,base,left,right,left,80,60,0,20,-90,60,40,0,0.6,False,3.05,0
