Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario153,c4,right,60,0.6,60,right,100,40,60,base,40,100,-30,left,0,3.3654175313666808,0
scenario154,c4,base,40,0.2,20,right,20,80,20,base,100,40,-30,left,0,2.6068497082380784,0
scenario155,c4,base,60,0.6,60,left,80,0,40,base,20,60,90,right,0,2.806502760917152,0
scenario156,c2,left,0,0.4,0,right,20,60,0,left,20,0,-30,base,0,2.8765754109529285,0
scenario157,c4,right,80,0.2,80,right,60,100,20,base,80,100,0,left,0,4.8414177218806245,0
scenario158,c4,base,80,0.1,40,left,0,60,0,base,80,0,-60,right,0,3160.2331277424864,0
scenario159,c4,right,40,0.6,80,right,60,100,20,base,40,0,60,left,0,4.433638826748491,0
scenario160,c2,base,60,0.6,80,base_left_lane,100,20,100,left,20,40,30,right,0,3.810735762390673,0
scenario161,c1,left,20,0.8,100,left,20,60,60,right,100,60,-30,base,0,3.011610196161488,0
scenario162,c4,base,20,0.4,20,left,0,80,40,right,0,40,30,right,1,0.0,1
scenario163,c2,base,100,0.4,0,base_left_lane,0,20,80,left,0,40,30,right,0,2.658395103121902,0
scenario164,c1,left,40,0.1,0,left,40,40,20,right,60,80,-30,base,0,2.8412427276641385,0
scenario165,c2,left,40,1.0,40,right,0,0,100,left,60,20,-60,base,0,2.442177730998257,0
scenario166,c1,right,80,1.0,40,base,80,80,40,right,80,0,60,left,0,3.4192836028343105,0
scenario167,c1,right,40,0.8,40,base_left_lane,100,80,80,left,60,20,60,left,0,1.0456607310177295,0
scenario168,c4,base,60,0.4,60,right,100,20,40,base,60,0,30,left,0,2.2622436911713675,0
scenario169,c1,right,100,1.0,40,base_left_lane,40,20,100,left,20,100,90,left,0,1.0734109816347992,0
scenario170,c4,base,20,0.4,0,left,100,80,60,base,80,80,-30,right,0,2.823491716494633,0
scenario171,c4,right,100,0.2,100,right,40,20,60,base,100,20,0,left,0,3.9514214506977634,0
scenario172,c4,base,60,0.4,100,left,100,20,80,right,0,20,0,right,0,0.9300322914478504,0
scenario173,c4,base,20,1.0,0,right,20,40,100,base,100,40,-90,left,0,1.7665403464057232,0
scenario174,c1,right,40,1.0,20,left,60,80,60,right,0,20,-90,base,0,3.984180695288931,0
scenario175,c1,left,60,0.1,0,left,20,0,80,right,80,0,30,base,0,2.442415191027004,0
scenario176,c1,right,0,0.6,60,left,80,100,60,right,20,40,-90,base,0,2.711699490104309,0
scenario177,c4,base,100,0.8,100,left,60,40,40,base,60,80,60,right,0,3960.09998661252,0
scenario178,c2,left,20,0.8,20,base_left_lane,40,0,100,left,100,60,30,right,0,2.8489487938014912,0
scenario179,c4,right,80,0.1,40,right,80,20,100,base,40,40,-30,left,0,4.808805095509737,0
scenario180,c2,base,40,1.0,20,base_left_lane,40,20,20,left,20,100,60,right,0,2.733439347366642,0
scenario181,c2,base,80,0.2,0,base_left_lane,40,60,60,left,60,80,60,right,0,2.880532783720991,0
scenario182,c2,left,20,0.6,0,right,60,80,100,left,0,40,-90,base,0,3.041668956775379,0
scenario183,c4,base,0,1.0,60,right,60,80,80,base,20,60,-30,left,0,2.929898101980263,0
scenario184,c2,left,20,1.0,0,right,80,60,60,left,20,60,60,base,0,3.562077346115489,0
scenario185,c1,left,60,0.1,60,left,60,80,0,right,0,40,-90,base,0,1.99057147676528,0
scenario186,c1,right,0,0.8,20,left,0,20,40,right,40,60,60,base,1,0.0,1
scenario187,c1,right,100,0.6,100,base,20,100,100,right,40,80,0,left,0,3.63652694087804,0
scenario188,c4,right,20,0.1,100,right,0,80,0,base,100,20,-60,left,0,4.501479870660741,0
scenario189,c2,left,100,0.4,60,right,0,60,20,base,40,20,-60,base,0,1.746438620559412,0
scenario190,c4,base,0,0.4,0,right,20,0,40,base,80,20,-90,left,0,2.803043241031474,0
scenario191,c4,base,80,0.2,80,left,80,100,60,right,0,100,30,right,0,2365.3851055589225,0
scenario192,c2,left,100,0.8,80,right,40,0,0,left,100,0,-90,base,0,2.8629883292543035,0
scenario193,c4,base,40,1.0,80,left,40,20,80,right,20,0,90,right,0,1.00116859015,0
scenario194,c2,base,80,0.8,80,base_left_lane,20,60,80,left,80,100,0,right,0,2.7489325859419083,0
scenario195,c2,left,40,0.4,100,right,40,0,80,base,40,20,30,base,0,1.7460621021826837,0
scenario196,c4,base,0,1.0,40,left,80,60,60,base,100,20,-90,right,0,2.9493223465086493,0
scenario197,c4,base,0,0.2,80,left,100,20,20,base,60,40,-30,right,0,2.825501924541268,0
scenario198,c4,right,40,0.1,60,right,100,40,100,base,0,40,30,left,0,4.281820778174673,0
scenario199,c1,left,20,0.4,100,left,100,20,40,right,100,80,-30,base,0,3.4975946708230743,0
scenario200,c1,right,100,1.0,40,base,100,60,80,right,60,80,30,left,0,3.540144736769516,0
scenario201,c4,base,100,0.1,100,left,100,0,60,base,20,60,60,right,0,2.077620173506879,0
scenario202,c4,base,40,0.4,80,left,80,80,100,right,80,0,60,right,0,1.0696804320563331,0
scenario203,c4,right,20,0.6,0,right,0,40,20,base,80,0,0,left,0,4.043279099255264,0
scenario204,c1,right,100,0.2,100,base_left_lane,60,0,100,left,20,20,-60,left,0,1.0412233503278123,0
scenario205,c4,base,80,0.1,60,left,80,40,80,right,0,40,0,right,0,0.9762846382017024,0
scenario206,c1,right,40,0.8,60,left,0,80,0,right,0,100,-90,base,0,3.3585579476094662,0
scenario207,c4,base,80,0.4,40,right,100,100,100,base,60,20,0,left,0,2.6309974748141376,0
scenario208,c2,left,0,0.6,100,right,20,0,80,base,80,60,-60,base,0,1.652300583770331,0
scenario209,c2,left,20,1.0,40,right,0,40,40,base,20,0,90,base,0,1.6485594460624815,0
scenario210,c2,base,80,0.1,20,base_left_lane,60,80,20,left,0,80,0,right,0,3.4461461554036896,0
scenario211,c2,left,80,0.4,80,right,60,40,100,base,80,60,-60,base,0,1.6963810794541492,0
scenario212,c2,left,80,0.1,20,base_left_lane,60,60,100,left,60,0,0,right,0,4.406627125269987,0
scenario213,c4,base,20,0.4,80,right,100,60,40,base,60,20,90,left,0,2.929106397011415,0
scenario214,c4,base,40,0.6,40,left,0,0,100,right,100,100,90,right,0,1.3187346466185337,0
scenario215,c4,right,20,0.4,40,right,20,20,0,base,0,20,60,left,0,4.1706512191972624,0
scenario216,c1,right,40,0.2,20,left,60,100,20,right,40,0,30,base,0,1.8226596146731435,0
scenario217,c1,left,100,0.6,100,left,0,40,40,right,20,40,-30,base,0,2.298678506998648,0
scenario218,c4,base,60,0.8,60,right,80,40,40,base,80,40,-90,left,0,3.057617499605612,0
scenario219,c1,left,100,0.6,80,left,0,20,20,right,0,0,-30,base,0,1.9250338048839608,0
scenario220,c1,right,60,0.6,100,base_left_lane,20,80,40,left,0,100,-60,left,0,1.0994552988945867,0
scenario221,c1,right,80,0.1,80,left,60,60,40,right,100,0,-90,base,0,2.440259257274789,0
scenario222,c4,base,60,0.4,20,left,40,0,60,right,80,0,-60,right,0,1.0060419888277865,0
scenario223,c2,left,100,0.2,60,right,80,100,80,base,60,0,30,base,0,1.58252366784495,0
scenario224,c1,right,80,0.8,0,base,100,0,40,right,0,40,0,left,0,3.311122377148053,0
scenario225,c4,base,0,0.2,40,left,20,80,80,base,80,100,60,right,0,2.49775867614762,0
scenario226,c1,right,20,0.1,0,base,100,20,20,right,100,20,90,left,0,3.5617184821743364,0
scenario227,c2,left,100,0.6,40,right,0,80,80,left,40,80,-60,base,0,3.166967235938333,0
scenario228,c4,base,40,0.1,0,left,20,40,40,base,100,100,60,right,0,1.8847131040429144,0
scenario229,c1,right,20,0.2,100,left,100,80,60,right,60,80,-30,base,0,1.7119261710809583,0
scenario230,c4,right,100,0.2,100,right,0,60,100,base,20,60,90,left,0,4.6816547100484085,0
scenario231,c1,right,40,1.0,100,base,0,20,100,right,60,40,-30,left,0,9.284159452429728,0
scenario232,c1,right,100,0.8,60,base_left_lane,60,80,60,left,20,20,90,left,0,1.0380023667425753,0
scenario233,c2,base,40,1.0,60,base_left_lane,40,0,20,left,0,80,30,right,0,3.3813464027315323,0
scenario234,c4,base,20,1.0,0,right,80,20,80,base,0,40,-90,left,0,2.0410567657522822,0
scenario235,c2,left,60,1.0,60,right,20,60,100,base,20,20,0,base,0,1.864187695923586,0
scenario236,c1,right,0,1.0,60,base_left_lane,40,40,100,left,60,100,30,left,0,1.045642386477205,0
scenario237,c2,base,0,0.1,0,base_left_lane,0,100,80,left,60,40,60,right,0,4.3845834275024345,0
scenario238,c2,left,40,0.6,80,right,60,60,80,left,40,0,30,base,0,2.8343856657698208,0
scenario239,c4,base,60,0.1,20,left,0,20,20,right,0,0,-60,right,0,1.03172606071262,0
