instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_startego,collision,min_ttc,algo_safety
scenario209,c1,2,20,1.0,80,0,60,80,100,2,20,60,1,0,3.4895313952974067,0
scenario210,c4,0,0,0.6,20,3,80,80,40,0,20,80,1,1,0.0,1
scenario211,c2,0,40,0.1,100,1,60,20,80,1,0,60,2,0,9999.0,0
scenario212,c2,1,100,0.6,100,1,40,80,0,1,20,20,2,0,9999.0,0
scenario213,c2,1,60,0.1,20,1,80,80,80,1,100,100,2,0,2.486291504245744,0
scenario214,c4,0,80,0.2,100,3,40,0,20,0,100,40,1,0,9999.0,0
scenario215,c4,2,60,0.1,80,3,0,40,20,0,40,20,1,0,9999.0,0
scenario216,c1,2,100,0.4,80,0,100,60,40,2,100,100,1,0,3.5955691041283417,0
scenario217,c1,2,40,0.2,100,2,60,80,80,2,100,100,0,0,9999.0,0
scenario218,c4,2,100,0.8,20,3,0,60,20,0,80,100,1,1,0.0,1
scenario219,c2,0,80,0.2,0,1,100,0,80,1,60,60,2,0,2.3835579984363795,0
scenario220,c2,1,80,0.8,40,1,60,20,100,1,20,80,2,0,2.7653889868018013,0
scenario221,c1,1,100,0.4,0,2,20,100,100,2,60,100,0,0,2.76079526315899,0
scenario222,c2,1,60,1.0,20,1,40,0,60,1,20,80,2,0,2.9681744154962724,0
scenario223,c4,2,0,0.1,80,3,60,40,60,0,40,20,1,1,0.0,1
scenario224,c1,2,80,0.4,0,2,0,20,80,2,60,100,0,0,3.711057979106596,0
scenario225,c1,2,20,0.8,20,2,20,60,20,2,100,60,0,0,4.347820787768256,0
scenario226,c4,0,0,0.2,60,3,40,80,80,0,60,0,1,1,0.0,1
scenario227,c4,0,100,0.1,20,3,100,80,20,0,100,0,1,0,1.741904677720048,0
scenario228,c2,1,20,0.2,100,1,80,60,80,1,40,0,2,0,6.240984217971242,0
scenario229,c2,1,40,1.0,0,1,80,20,100,1,60,0,2,0,2.3330211960002925,0
scenario230,c2,0,0,0.1,0,1,20,40,80,1,40,0,2,0,2.327855953675045,0
scenario231,c1,1,60,0.2,40,2,20,0,100,2,40,0,0,0,4.297877628600237,0
scenario232,c1,2,20,0.1,80,2,0,80,80,2,0,60,0,0,3.908551794176865,0
scenario233,c4,0,100,0.6,100,3,100,0,0,0,20,100,1,0,9999.0,0
scenario234,c1,2,0,0.8,40,2,80,40,80,2,80,0,0,0,4.607555800082655,0
scenario235,c1,2,100,0.4,60,2,80,80,100,2,40,40,0,0,5.101388629806997,0
scenario236,c2,1,80,0.4,40,1,100,40,60,1,20,0,2,0,2.877538334770344,0
scenario237,c1,1,80,0.2,40,2,80,60,60,2,100,80,0,0,4.616514769523932,0
scenario238,c2,1,40,0.2,0,1,40,80,40,1,40,20,2,0,3.3000567777295915,0
scenario239,c2,0,40,0.8,80,1,20,0,100,1,40,60,2,0,3.7256546087813134,0
scenario240,c1,1,80,0.2,100,2,20,80,60,2,80,40,0,0,9999.0,0
scenario241,c4,0,100,0.6,20,3,20,40,80,0,80,100,1,1,0.0,1
scenario242,c1,1,0,1.0,0,2,60,60,60,2,100,100,0,0,4.191275128579519,0
scenario243,c4,0,80,0.6,100,2,100,100,60,0,20,80,2,0,2.43462056183312,0
scenario244,c1,1,20,1.0,0,2,40,40,20,2,80,40,0,0,4.831555659438807,0
scenario245,c2,1,0,0.4,80,3,100,80,100,1,60,0,0,0,4.412433007265698,0
scenario246,c1,1,20,0.4,0,2,60,20,60,2,0,20,0,0,4.541893701757526,0
scenario247,c4,0,0,0.8,80,3,100,100,100,0,80,40,1,1,0.0,1
