Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_StartEgo,collision,min_ttc,algo_safety
scenario217,c4,base,20,0.2,80,right,0,20,0,base,80,0,left,0,9999.0,0
scenario218,c2,base,20,0.1,100,base_left_lane,80,20,60,left,80,60,right,0,9999.0,0
scenario219,c4,base,40,1.0,0,left,60,0,20,right,100,60,right,0,1.0249516856260414,0
scenario220,c2,left,40,0.1,20,right,0,80,0,left,80,20,base,0,4.679143603186099,0
scenario221,c4,base,60,0.2,0,left,40,60,20,base,20,100,right,0,2.631958730689231,0
scenario222,c1,right,100,0.8,0,base_left_lane,60,0,60,left,100,100,left,1,0.0,1
scenario223,c1,left,20,0.2,40,left,100,40,0,right,60,80,base,0,4.872064815308775,0
scenario224,c1,right,100,1.0,80,base,0,40,100,right,80,20,left,0,3.882584517943093,0
scenario225,c1,right,100,1.0,20,base,80,100,80,right,20,80,left,0,3.128819449168643,0
scenario226,c2,left,100,0.4,80,right,80,0,100,left,20,20,base,1,0.0,1
scenario227,c2,left,80,0.8,60,right,40,20,40,base,0,0,base,0,2.9476189376613227,0
scenario228,c4,right,80,0.4,20,right,100,0,0,base,80,0,left,0,9999.0,0
scenario229,c4,base,0,0.1,100,left,0,0,40,right,80,20,right,1,0.0,1
scenario230,c1,right,80,0.8,100,base,40,40,100,right,100,60,left,0,3.566709925639648,0
scenario231,c1,left,60,0.2,20,left,20,60,0,right,40,60,base,0,8.149447130378821,0
scenario232,c1,left,20,0.6,0,left,60,0,80,right,80,100,base,0,4.494931619512251,0
scenario233,c2,left,40,1.0,60,right,0,40,40,base,60,100,base,0,4.0633236544332165,0
scenario234,c4,base,40,0.4,80,right,60,100,60,base,20,80,left,1,0.0,1
scenario235,c1,left,0,0.2,40,left,0,80,20,right,0,40,base,0,4.42563422018395,0
scenario236,c2,base,80,0.1,0,base_left_lane,20,100,40,left,80,100,right,0,2.843985946198403,0
scenario237,c4,base,60,0.4,60,left,100,80,80,right,40,0,right,1,0.0,1
scenario238,c1,right,80,0.8,20,left,20,0,20,right,40,60,base,0,3.850342679281609,0
scenario239,c1,right,0,1.0,80,base_left_lane,100,100,80,left,60,0,left,1,0.0,1
scenario240,c4,base,100,0.6,60,left,20,80,40,base,60,40,right,0,2.9867919799472524,0
scenario241,c4,base,100,0.6,40,left,40,100,100,base,40,20,right,0,2.127783387365474,0
scenario242,c4,base,80,0.1,100,left,0,100,40,base,0,80,right,0,2.8235010446211555,0
scenario243,c1,right,0,0.6,100,base_left_lane,100,60,20,left,80,60,left,0,2794.658163723233,0
scenario244,c2,left,100,0.1,80,right,20,0,40,left,60,80,base,0,9.76856689594292,0
scenario245,c2,left,40,0.8,0,base_left_lane,20,80,100,left,60,80,right,0,2.2615855353863425,0
scenario246,c4,base,40,1.0,40,right,20,100,80,base,40,0,left,1,0.0,1
scenario247,c1,right,20,0.1,20,left,0,80,0,right,100,100,base,0,4.225109393098852,0
scenario248,c2,base,0,0.4,0,base_left_lane,60,80,60,left,60,0,right,0,2.733759500435896,0
