Instances,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario148,60,100,40,100,60,0.6,100,0,20,40,20,c1,1e-05,left,right,base,left,0,2.348517027677907,0
scenario149,60,60,0,0,80,0.4,100,0,20,40,20,c2,1e-05,right,left,base,left,1,0.0,1
scenario150,60,40,20,20,0,0.8,20,80,20,40,20,c4,1e-05,right,base,left,base,0,1.950548458473218,0
scenario151,20,60,0,40,80,0.8,0,100,20,40,40,c1,1e-05,base,right,left,right,0,4.575136897008496,0
scenario152,40,20,100,20,40,0.8,80,20,20,40,40,c2,1e-05,right,base,base,left,0,2.1543541392468386,0
scenario153,20,20,0,0,60,0.1,100,0,20,40,40,c4,1e-05,left,base,right,base,1,0.0,1
scenario154,60,40,60,100,0,0.6,40,60,20,40,60,c1,1e-05,left,right,base,right,0,2.8963339481843424,0
scenario155,80,100,20,40,40,0.8,0,100,20,40,60,c2,1e-05,base,left,right,base,0,4.141906392786549,0
scenario156,40,100,80,0,60,0.2,40,20,20,40,60,c4,1e-05,left,right,right,base,1,0.0,1
scenario157,40,40,20,0,40,0.8,60,40,20,40,80,c1,1e-05,base,left,left,right,0,4.559481185748958,0
scenario158,60,100,20,100,0,0.6,100,0,20,40,80,c2,1e-05,base,left,right,left,1,0.0,1
scenario159,40,20,100,20,40,0.8,20,80,20,40,80,c4,1e-05,right,base,left,right,0,0.977391784159396,0
scenario160,20,100,60,0,0,0.8,100,0,20,40,100,c1,1e-05,left,right,base,left,1,0.0,1
scenario161,40,100,0,100,40,0.6,40,60,20,40,100,c2,1e-05,right,left,base,left,0,9999.0,0
scenario162,0,60,0,20,60,0.8,40,60,20,40,100,c4,1e-05,right,base,left,base,0,1.7929988928375704,0
scenario163,60,20,0,100,40,0.4,40,60,20,60,0,c1,1e-05,base,right,left,right,0,4.779818746337739,0
scenario164,20,100,0,80,0,0.6,0,100,20,60,0,c2,1e-05,right,base,base,left,0,9999.0,0
scenario165,20,40,60,100,60,0.6,40,60,20,60,0,c4,1e-05,left,base,right,base,1,0.0,1
scenario166,20,100,40,100,40,0.4,40,60,20,60,20,c1,1e-05,left,right,base,right,0,6.2752159196686925,0
scenario167,40,20,0,80,60,0.6,0,100,20,60,20,c2,1e-05,base,left,right,base,0,3.0976003070826885,0
scenario168,20,100,40,0,0,0.8,100,100,20,60,20,c4,1e-05,left,right,right,base,1,0.0,1
scenario169,60,100,60,0,0,0.8,20,80,20,60,40,c1,1e-05,base,left,left,right,0,9999.0,0
scenario170,60,100,60,0,40,0.8,100,0,20,60,40,c2,1e-05,base,left,right,left,1,0.0,1
scenario171,20,20,0,20,40,0.8,80,80,20,60,40,c4,1e-05,right,base,left,right,1,0.0,1
scenario172,60,20,20,60,0,0.8,40,60,20,60,60,c1,1e-05,left,right,base,left,0,5.633151118107944,0
scenario173,80,40,40,60,40,0.6,100,0,20,60,60,c2,1e-05,right,left,base,left,0,3.06633009541621,0
scenario174,0,100,0,0,100,0.6,80,20,20,60,60,c4,1e-05,right,base,left,base,0,2.9580278289782047,0
scenario175,80,100,0,0,0,0.8,100,0,20,60,80,c1,1e-05,base,right,left,right,0,2.633881493506128,0
scenario176,20,40,20,100,80,0.6,60,40,20,60,80,c2,1e-05,right,base,base,left,0,3.029593707591863,0
scenario177,20,60,40,80,100,0.6,20,80,20,60,80,c4,1e-05,left,base,right,base,1,0.0,1
scenario178,60,20,0,0,100,0.8,80,20,20,60,100,c1,1e-05,left,right,base,right,0,2.9583393982047137,0
scenario179,60,60,20,100,60,0.6,60,40,20,60,100,c2,1e-05,base,left,right,base,0,3.93186972276293,0
scenario180,60,100,80,80,40,0.6,100,0,20,60,100,c4,1e-05,left,right,right,base,1,0.0,1
scenario181,20,60,20,100,40,0.6,100,100,20,80,0,c1,1e-05,base,left,left,right,0,4519.350406824016,0
scenario182,60,40,100,0,0,0.8,100,0,20,80,0,c2,1e-05,base,left,right,left,1,0.0,1
