Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario292,c4,right,base,left,right,0,40,60,40,60,60,100,0.6,False,0.788,0
scenario293,c4,left,right,right,base,20,0,80,100,60,100,80,0.2,True,0.0,1
scenario294,c4,left,right,right,base,20,100,0,40,40,0,0,1.0,False,1.868,0
scenario295,c2,base,left,right,base,20,0,60,80,60,60,60,0.6,False,4.173,0
scenario296,c1,base,left,left,right,0,100,40,60,100,100,60,1.0,False,9999.0,0
scenario297,c2,base,left,right,base,0,100,0,100,40,60,100,1.0,False,4.012,0
scenario298,c4,left,base,right,base,0,40,60,60,40,40,100,0.4,True,0.0,1
scenario299,c2,base,left,right,left,20,80,40,100,40,60,80,0.6,False,5.262,0
scenario300,c1,left,right,base,right,0,100,100,60,20,40,80,0.8,False,2.84,0
scenario301,c4,right,base,left,base,0,100,20,80,40,60,0,0.8,False,3.043,0
scenario302,c1,left,right,base,right,0,60,100,20,40,20,100,0.8,False,3.516,0
scenario303,c4,left,right,right,base,0,60,40,0,100,80,60,0.2,True,0.0,1
scenario304,c4,right,base,left,base,0,60,100,40,40,0,100,0.8,False,2.61,0
scenario305,c2,base,left,right,base,40,20,60,20,100,80,80,0.4,False,4.057,0
scenario306,c4,left,base,right,base,0,40,60,60,40,40,100,0.4,True,0.0,1
scenario307,c4,right,base,left,base,20,100,20,80,20,80,60,0.6,False,2.745,0
scenario308,c1,base,right,left,right,0,20,100,0,20,20,0,0.8,False,5.054,0
scenario309,c4,right,base,left,base,40,100,40,100,60,80,80,0.8,False,3.475,0
scenario310,c2,base,left,right,base,20,0,100,40,100,80,80,0.4,False,3.977,0
scenario311,c2,right,left,base,left,40,100,40,60,40,0,0,1.0,False,4.09,0
scenario312,c1,left,right,base,right,0,80,0,100,60,60,100,0.2,False,3.228,0
scenario313,c1,base,left,left,right,0,80,80,0,80,100,40,1.0,False,5.166,0
scenario314,c1,base,right,left,right,0,20,60,0,60,60,40,0.4,False,5.175,0
scenario315,c4,right,base,left,base,0,40,100,20,40,0,100,0.2,False,2.973,0
scenario316,c4,left,right,right,base,0,100,40,40,40,0,0,1.0,False,1.551,0
scenario317,c4,right,base,left,right,0,60,0,20,40,20,100,0.6,True,0.0,1
scenario318,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,False,0.799,0
scenario319,c4,right,base,left,base,60,0,20,80,100,20,20,0.8,False,1.944,0
