Row,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,startego,goalego,startother,goalother
scenario45,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,1.17630343737262,-1.26632415443123
scenario46,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,0.0900207170586099,1.17630343737262
scenario47,0,0,0,0,0,0,0,0,1.17630343737262,0.0900207170586094,-1.26632415443123,0.0900207170586099
scenario48,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.0900207170586099,-1.26632415443123
scenario49,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,-1.26632415443123,0.0900207170586099
scenario50,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,1.17630343737262,-1.26632415443123
scenario51,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.0900207170586099,1.17630343737262
scenario52,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,-1.26632415443123,1.17630343737262
scenario53,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,-1.26632415443123,0.0900207170586099
scenario54,0,0,0,0,0,0,0,0,0.0900207170586099,-1.26632415443124,1.17630343737262,-1.26632415443123
scenario55,0,0,0,0,0,0,0,0,-1.26632415443124,1.17630343737262,0.0900207170586099,1.17630343737262
scenario56,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,1.17630343737262,0.0900207170586099
scenario57,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,1.17630343737262,-1.26632415443123
scenario58,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,0.0900207170586099,1.17630343737262
scenario59,0,0,0,0,0,0,0,0,1.17630343737262,0.0900207170586094,-1.26632415443123,0.0900207170586099
scenario60,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.0900207170586099,-1.26632415443123
scenario61,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,-1.26632415443123,0.0900207170586099
scenario62,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,1.17630343737262,-1.26632415443123
scenario63,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.0900207170586099,1.17630343737262
scenario64,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,-1.26632415443123,1.17630343737262
scenario65,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,-1.26632415443123,0.0900207170586099
scenario66,0,0,0,0,0,0,0,0,0.0900207170586099,-1.26632415443124,1.17630343737262,-1.26632415443123
scenario67,0,0,0,0,0,0,0,0,-1.26632415443124,1.17630343737262,0.0900207170586099,1.17630343737262
