Instances,feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
scenario154,-30,60,100,0,0,20,0.8,80,20,left,80,20,60,1e-05,0,1.355331854707401,82.08569145202637,0
scenario155,90,60,40,0,0,80,0.4,0,0,left,80,20,80,1e-05,0,1.9525508804685228,81.43853044509888,0
scenario156,-30,60,40,40,100,40,0.6,40,60,left,80,20,100,1e-05,0,1.4446560791107708,81.60859227180481,0
scenario157,30,0,100,0,60,40,0.6,80,20,right,80,40,0,1e-05,0,1.0998966544631736,170.5333263874054,0
scenario158,60,60,100,80,100,40,0.6,40,60,right,80,40,20,1e-05,0,0.8263547037886915,110.70490431785583,0
scenario159,-60,80,100,40,60,0,0.6,40,60,right,80,40,40,1e-05,0,0.8503065371216694,163.05112147331238,0
scenario160,60,20,80,40,0,0,0.4,0,100,left,80,40,60,1e-05,0,1.345713611038034,79.99986839294434,0
scenario161,-90,20,100,40,80,40,0.6,60,40,right,80,40,80,1e-05,0,0.9450854869944252,113.48598861694336,0
scenario162,-90,20,60,20,60,40,0.6,20,20,left,80,40,100,1e-05,0,1.4608765947066666,81.29783415794373,0
scenario163,90,80,80,0,40,40,0.8,0,100,right,80,60,0,1e-05,0,1.2444046908420463,114.93622970581056,0
scenario164,-90,20,100,40,0,80,0.4,100,0,left,80,60,20,1e-05,0,0.8312287166106433,100.07980489730836,0
scenario165,-30,60,20,100,0,80,0.4,60,40,right,80,60,40,1e-05,0,0.950502991436176,100.84289622306824,0
scenario166,-90,40,80,20,100,40,0.2,0,100,left,80,60,60,1e-05,0,1.4335498767343586,82.80770587921143,0
scenario167,90,20,20,20,0,60,0.6,100,0,right,80,60,80,1e-05,0,2.1646781157521207,112.56845116615295,0
scenario168,-60,20,40,60,80,40,0.6,0,100,right,80,60,100,1e-05,0,1.1209994987011591,174.30367302894592,0
scenario169,0,60,80,0,60,0,0.6,40,60,left,80,80,0,1e-05,0,1.4211992946518122,80.74045968055725,0
scenario170,0,60,80,80,0,0,0.8,100,0,left,80,80,20,1e-05,0,1.3349790452395431,83.84029173851013,0
scenario171,90,80,100,0,0,80,0.4,40,60,right,80,80,40,1e-05,0,1.7645709410951544,159.07523202896118,0
scenario172,0,60,60,40,0,0,0.8,40,60,right,80,80,60,1e-05,0,0.77411672578601,108.47733616828918,0
scenario173,-90,20,20,20,0,100,0.4,40,60,right,80,80,80,1e-05,0,0.7437095193403067,165.32276678085327,0
scenario174,-30,0,20,0,0,80,0.4,40,60,left,80,80,100,1e-05,0,1.4231378283576572,83.38380217552185,0
scenario175,-60,80,60,0,20,40,0.8,0,100,right,80,100,0,1e-05,0,0.7600021715687514,164.19637489318848,0
scenario176,-90,60,60,40,100,40,0.6,100,0,left,80,100,20,1e-05,0,0.7869411162778006,99.45412969589232,0
scenario177,30,60,40,0,40,40,0.6,80,20,left,80,100,40,1e-05,0,1.3209426541525342,80.81590437889099,0
scenario178,-30,40,80,20,40,60,0.8,0,100,left,80,100,60,1e-05,0,1.3886081184110148,82.12283515930176,0
scenario179,90,40,40,0,100,100,0.1,80,20,right,80,100,80,1e-05,0,1.8688679783426343,166.2778282165527,0
scenario180,90,60,80,40,0,0,0.8,100,0,left,80,100,100,1e-05,0,1.4253417270775,82.10005474090576,0
scenario181,0,0,80,0,100,40,0.6,0,100,right,100,0,0,1e-05,0,1.3233450535673594,168.30279970169067,0
scenario182,30,60,80,60,0,0,0.8,0,100,right,100,0,20,1e-05,0,1.0266013746313254,171.16539573669434,0
scenario183,30,80,100,40,0,80,0.4,40,60,right,100,0,40,1e-05,0,1.6980002394937128,107.50598216056824,0
scenario184,0,60,20,40,20,40,0.8,100,0,right,100,0,60,1e-05,0,2.1335081259268067,115.07526326179504,0
scenario185,60,60,20,0,0,0,0.4,80,20,left,100,0,80,1e-05,0,1.3473320573860592,81.21010398864746,0
scenario186,30,60,40,40,0,100,0.4,100,0,left,100,0,100,1e-05,0,1.342717902343743,81.20724511146545,0
scenario187,-30,20,20,20,100,0,0.6,40,60,right,100,20,0,1e-05,0,1.1097290186484985,176.47607326507568,0
scenario188,60,60,100,60,100,60,0.6,100,0,right,100,20,20,1e-05,0,0.8225501172062579,112.8074734210968,0
scenario189,-60,40,40,100,100,40,0.6,80,20,left,100,20,40,1e-05,0,2.1867174021802502,186.7846627235413,0
scenario190,-60,40,40,100,0,100,0.6,20,80,left,100,20,60,1e-05,0,1.444377875944136,83.89074039459229,0
scenario191,-60,60,20,0,100,60,0.6,0,100,left,100,20,80,1e-05,0,1.396333658804192,81.26591205596924,0
scenario192,60,20,20,0,100,40,0.4,0,100,left,100,20,100,1e-05,0,1.345973307435754,79.84022331237793,0
scenario193,90,20,40,0,60,0,0.6,0,100,right,100,40,0,1e-05,0,1.4646981352810649,169.3058671951294,0
scenario194,90,20,40,40,0,0,0.8,0,100,right,100,40,20,1e-05,0,1.8021585413032857,167.4742534160614,0
scenario195,-60,0,100,0,20,40,0.8,80,20,left,100,40,40,1e-05,0,1.417101435054143,83.10261964797974,0
scenario196,30,40,20,60,100,40,0.6,100,0,left,100,40,60,1e-05,0,1.3042865962723609,80.56690216064453,0
scenario197,90,40,80,20,40,40,0.6,40,60,left,100,40,80,1e-05,0,1.4134898191901952,78.78005599975586,0
scenario198,90,40,60,20,40,0,0.6,40,60,right,100,40,100,1e-05,0,1.6024591924220968,168.1827552318573,0
scenario199,30,40,60,60,100,40,0.6,0,100,left,100,60,0,1e-05,0,0.9225609118949052,85.79997277259827,0
scenario200,30,60,20,0,100,60,0.6,0,100,right,100,60,20,1e-05,0,1.2330283903586632,151.97164011001587,0
scenario201,-90,20,40,20,80,40,0.6,100,100,left,100,60,40,1e-05,0,1.437936897504631,82.43788599967957,0
scenario202,30,20,100,0,0,100,0.1,80,20,right,100,60,60,1e-05,0,2.077731492713132,118.71040153503418,0
scenario203,-90,60,40,0,0,80,0.8,80,20,right,100,60,80,1e-05,0,0.8242770384863521,92.67149066925047,0
scenario204,30,60,80,0,0,40,0.8,0,100,right,100,60,100,1e-05,0,2.028899712219059,160.98202085494995,0
scenario205,-90,40,100,0,100,0,0.6,100,0,left,100,80,0,1e-05,0,1.3839399470774307,83.2066080570221,0
scenario206,60,60,60,100,0,0,0.8,40,60,left,100,80,20,1e-05,0,1.3926987252633631,79.16858696937561,0
scenario207,-60,0,20,0,60,40,0.6,0,100,left,100,80,40,1e-05,0,1.4944534489943493,83.46249055862427,0
scenario208,-60,40,100,80,0,80,0.4,40,60,left,100,80,60,1e-05,0,1.3924899148497292,82.8940167427063,0
scenario209,0,20,100,0,0,80,0.1,0,100,right,100,80,80,1e-05,0,0.7238472525397281,163.1535360813141,0
scenario210,0,20,20,0,60,0,0.6,0,100,left,100,80,100,1e-05,0,1.3877732649733154,82.50135612487793,0
scenario211,-30,0,60,0,60,40,0.6,80,20,right,100,100,0,1e-05,0,0.8557466454556437,99.82010841369627,0
scenario212,0,80,20,0,0,0,0.0,0,100,right,100,100,20,1e-05,0,1.478584246907455,164.58088994026184,0
scenario213,-30,40,20,60,0,80,0.4,100,0,left,100,100,40,1e-05,0,0.8338642447695481,101.86010551452635,0
scenario214,-90,80,100,0,0,0,0.8,80,20,left,100,100,60,1e-05,0,1.3697205579534468,82.06856560707092,0
scenario215,30,40,40,80,40,40,0.8,40,60,right,100,100,80,1e-05,0,0.7900524356956127,92.92209839820862,0
scenario216,-60,60,20,20,100,0,0.6,100,0,right,100,100,100,1e-05,0,2.6677097238398604,171.82177090644836,0
