Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeofDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,collision,min_ttc,algo_safety
scenario168,left,0,100,20,80,30,60,80,20,0.4,0,1.1140463714879254,0
scenario169,left,0,100,20,80,30,0,0,20,0.4,0,1.5198699176205093,0
scenario170,left,0,40,20,80,30,40,40,20,0.4,0,1.4409076833188426,0
scenario171,left,0,100,60,80,30,60,0,20,0.4,0,1.1132971207150846,0
scenario172,left,0,80,20,80,-30,40,0,20,0.4,0,0.8959165948578399,0
scenario173,left,60,100,20,40,30,40,0,20,0.4,0,1.3383965684887416,0
scenario174,left,0,60,20,80,30,40,0,20,0.2,0,1.3682906448339318,0
scenario175,left,0,100,20,80,30,40,40,20,1.0,0,1.441899722196552,0
scenario176,left,0,0,20,20,30,40,0,20,0.4,0,1.4312295396594716,0
scenario177,left,0,100,20,20,60,40,0,20,0.4,0,1.3523803087180826,0
scenario178,left,0,100,40,20,30,40,0,20,0.4,0,1.0037918393766825,0
scenario179,left,0,20,20,80,30,40,40,20,0.4,0,1.4470705287537036,0
scenario180,left,0,100,20,40,30,40,0,20,0.6,0,1.412769491684171,0
scenario181,left,0,60,20,80,30,40,0,60,0.4,0,1.5070967823638135,0
scenario182,left,0,40,20,80,30,60,0,20,0.4,0,1.3460111686545175,0
scenario183,left,0,100,20,80,30,60,0,20,1.0,0,1.2883978812420342,0
scenario184,left,0,20,20,80,30,60,0,20,0.4,0,1.371988598489012,0
scenario185,left,0,60,20,80,30,40,80,20,0.4,0,1.4362284295822376,0
scenario186,left,0,100,100,80,30,40,40,20,0.4,0,1.188494684709984,0
scenario187,left,20,100,20,80,30,40,0,20,0.8,0,1.3468555200629475,0
scenario188,left,0,0,0,80,30,40,0,20,0.4,0,1.4446146997028804,0
scenario189,left,0,100,0,0,30,40,0,20,0.4,0,1.414024101216103,0
scenario190,left,0,100,0,80,30,40,0,20,0.0,0,1.439569306289362,0
scenario191,left,0,100,0,80,60,40,0,20,0.4,0,1.3333050830511344,0
scenario192,left,0,100,0,80,90,40,0,20,0.4,0,1.423935782398624,0
scenario193,right,0,100,20,80,30,40,0,20,0.2,0,0.8502208709565808,0
scenario194,left,0,80,20,80,30,80,0,20,0.4,0,1.3394156676906708,0
scenario195,left,0,100,20,80,30,40,0,60,0.2,0,1.4780641725890389,0
scenario196,left,0,60,60,80,30,40,0,20,0.4,0,1.096432436118351,0
scenario197,left,0,80,20,80,30,40,0,80,0.4,0,1.0357682269842363,0
scenario198,left,20,100,20,80,30,40,100,20,0.4,0,1.3489235146291358,0
scenario199,left,0,100,80,80,0,40,0,20,0.4,0,1.3369551765248608,0
scenario200,left,0,100,100,80,30,60,0,20,0.4,0,1.022580333615957,0
scenario201,left,20,100,20,80,30,0,0,20,0.4,0,1.3718994544736356,0
scenario202,left,0,100,20,80,30,40,80,20,0.2,0,1.4070294612435723,0
scenario203,left,80,80,20,80,30,40,0,20,0.4,0,1.3403212441192904,0
scenario204,left,0,100,80,80,-30,40,0,20,0.4,0,0.933635231699116,0
