Instances,feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
scenario124,0,right,0.1,40,100,0,60,20,40,0,0,1.952617208744334,163.1867904663086,0
scenario125,30,right,0.4,80,80,20,20,100,100,100,0,1.6897461407907497,97.021897315979,0
scenario126,-60,left,0.8,40,100,60,80,80,60,60,0,1.512671587422949,76.93877410888672,0
scenario127,-60,left,0.4,60,60,80,20,0,20,60,0,1.6759573746706151,77.95375156402588,0
scenario128,60,left,0.2,100,20,40,60,100,80,60,0,1.4110691894004108,74.50025987625122,0
scenario129,90,left,0.4,0,0,60,60,100,0,80,0,1.3650890824281368,75.37304949760437,0
scenario130,-30,left,0.1,0,100,60,80,40,100,20,0,1.741860032656949,76.26240062713623,0
scenario131,0,left,1.0,0,80,20,0,60,100,100,0,1.3287454721230636,78.442636013031,0
scenario132,-60,right,1.0,60,40,0,40,0,40,0,0,0.8885177275743101,111.14028191566469,0
scenario133,0,left,0.1,40,20,100,100,0,0,60,0,1.4024530618712832,77.63753700256348,0
scenario134,30,right,0.1,40,60,80,80,100,20,60,0,1.5311787530251837,157.04175758361816,0
scenario135,0,left,0.4,60,0,40,20,100,60,60,0,1.4806866950099835,75.95368385314941,0
scenario136,90,right,0.8,100,80,0,100,0,60,20,0,2.4847058257922088,106.73743057250977,0
scenario137,-90,left,0.2,100,80,100,0,20,100,80,0,1.398232635636678,77.81887483596802,0
scenario138,-30,left,0.4,80,20,80,100,20,40,20,0,1.3920216763292723,76.93113112449646,0
scenario139,90,left,0.4,20,100,60,40,0,60,100,0,1.365672701420835,76.33763289451599,0
scenario140,30,right,0.4,0,60,20,60,20,20,0,0,0.8723032105778674,104.49231123924255,0
scenario141,60,left,0.4,0,40,40,100,0,100,100,0,1.394349147206191,75.61944937705994,0
scenario142,90,left,0.1,100,20,40,40,0,100,40,0,1.3528518097470028,75.6190071105957,0
scenario143,-30,left,0.1,20,80,60,20,20,0,20,0,0.9607783589662516,94.618901014328,0
scenario144,60,left,0.6,80,60,40,80,100,20,40,0,1.3324570111965943,74.8812997341156,0
scenario145,0,right,1.0,0,20,80,0,100,20,20,0,0.7966221466792933,108.44361639022829,0
scenario146,60,right,0.6,100,40,80,20,20,40,100,0,0.8283113172048522,148.66163516044617,0
scenario147,30,left,0.1,80,80,100,40,0,80,0,0,1.4281136934056464,76.4019513130188,0
scenario148,30,left,1.0,100,100,20,100,40,40,0,0,1.4175493376295143,76.54773759841919,0
scenario149,30,right,0.6,20,0,20,80,20,60,80,0,0.8717481249810769,102.41573452949524,0
scenario150,0,left,0.2,60,0,40,100,40,20,0,0,1.3568209492555674,77.5573832988739,0
scenario151,30,right,0.6,60,0,0,100,80,0,40,0,0.8218215929079975,97.75669193267822,0
scenario152,30,right,0.4,0,80,100,80,0,60,40,0,0.6434036060107908,81.45350384712219,0
scenario153,30,left,0.4,100,20,0,0,40,80,80,0,1.4577407862330636,74.92040944099426,0
scenario154,60,right,1.0,60,60,0,40,20,100,60,0,1.4573459448377772,149.01921486854553,0
scenario155,-60,right,0.8,100,40,40,60,0,60,80,0,1.612501801142005,153.61370587348938,0
scenario156,-30,left,0.2,80,20,100,40,60,20,100,0,1.415339846000544,78.12245845794678,0
scenario157,-90,left,0.2,40,0,0,0,20,60,20,0,1.3938819913826412,76.76637434959412,0
scenario158,-60,right,1.0,20,60,80,20,80,40,40,0,0.7799108836706917,140.50233554840088,0
scenario159,30,left,1.0,60,40,20,20,80,60,0,0,1.3328509469418406,76.67395448684692,0
scenario160,-30,right,0.1,100,40,0,0,100,100,20,0,1.0847818088763013,97.58811736106873,0
scenario161,90,left,0.4,80,80,40,80,60,100,60,0,1.3259350404780124,75.883309841156,0
scenario162,0,left,0.2,80,60,20,60,80,80,80,0,1.0611404814879637,89.52677965164185,0
scenario163,0,left,0.6,0,80,80,80,80,0,100,0,1.3239202922842832,75.5879282951355,0
scenario164,-90,right,0.2,60,100,60,0,100,80,0,0,1.4938492561878431,184.27388834953308,0
scenario165,-60,left,0.8,0,20,0,20,40,0,0,0,1.362513860428472,76.20735239982605,0
scenario166,60,left,0.8,0,60,100,0,100,40,0,0,1.3562367971557536,74.94347214698792,0
scenario167,-90,right,0.6,40,20,20,40,60,0,60,0,0.8614187732170864,102.09875535964966,0
scenario168,30,left,0.4,20,0,60,80,80,80,60,0,1.454935276470856,76.07132363319397,0
scenario169,-60,right,0.2,0,80,60,0,40,40,100,0,0.8478122393795811,108.59047222137453,0
scenario170,90,left,0.6,60,80,100,20,80,40,60,0,1.0776097047641084,87.31414413452148,0
scenario171,90,left,0.6,40,40,100,60,100,20,100,0,1.3694628575439256,75.1397967338562,0
scenario172,0,right,0.2,40,20,100,80,60,40,80,0,1.755172398559734,161.23547053337097,0
scenario173,-90,left,0.8,40,60,80,0,40,0,40,0,1.098357918505522,103.3851044178009,0
scenario174,60,left,0.1,100,60,60,40,40,20,80,0,1.4028495089180535,73.69827270507812,0
scenario175,-90,left,0.4,40,20,80,60,60,100,20,0,1.1483338538102366,97.24768733978271,0
scenario176,60,right,1.0,40,100,20,0,40,60,80,0,2.3113936138577342,150.15381479263306,0
scenario177,-30,right,1.0,20,100,20,20,60,20,40,0,0.8179955558492672,98.7307107448578,0
scenario178,-60,right,0.2,20,60,20,40,0,0,0,0,0.935264723730156,107.38023924827576,0
scenario179,-30,left,0.8,0,100,100,100,80,60,80,0,1.4509947284559743,77.84512877464294,0
scenario180,0,left,0.6,60,100,40,40,20,100,20,0,0.7857856027784414,90.15317845344543,0
scenario181,30,left,1.0,20,40,40,0,20,0,60,0,1.3620787383506785,75.28095960617065,0
scenario182,-30,right,1.0,20,0,100,60,40,0,80,0,1.745282165009016,160.5120484828949,0
scenario183,-90,left,0.2,20,60,20,80,40,20,20,0,1.383524710524527,77.02576470375061,0
scenario184,-90,right,0.1,0,100,100,60,20,80,100,0,0.867091106337815,106.51732277870178,0
scenario185,90,right,0.2,20,80,80,20,60,80,20,0,1.3810424659256535,149.84989547729492,0
scenario186,30,right,1.0,40,0,40,40,60,80,80,0,1.644361167585702,96.1813485622406,0
scenario187,0,left,0.8,80,100,20,60,0,20,40,0,1.33249259415914,77.33026456832886,0
scenario188,-30,left,0.6,80,0,20,0,0,80,100,0,1.517900356944618,77.70561146736145,0
scenario189,90,right,0.4,80,60,0,0,80,40,0,0,2.4672382130656114,105.21191334724426,0
scenario190,0,left,0.6,80,40,60,0,60,60,0,0,1.3305834884341714,77.12033677101135,0
scenario191,0,right,1.0,20,80,0,80,100,80,0,0,1.4000727295141058,153.11992025375366,0
scenario192,0,right,1.0,80,20,20,20,80,0,20,0,1.0989483417541257,108.22700238227844,0
scenario193,-30,right,0.8,60,80,20,80,0,0,60,0,0.8427297891634759,105.5079653263092,0
scenario194,0,right,0.8,100,80,20,20,40,40,60,0,2.084866190438651,159.46072793006897,0
scenario195,30,left,0.6,100,20,40,80,60,100,0,0,1.3592514637410642,75.57553791999817,0
scenario196,-60,right,0.1,80,0,60,40,20,40,60,0,0.8592964666722627,151.64891743659973,0
scenario197,60,left,0.4,40,80,60,0,20,100,40,0,1.3878842500093684,73.7505190372467,0
scenario198,-90,left,0.4,40,100,80,80,0,20,80,0,1.4303733277187467,76.71134209632874,0
scenario199,-30,right,0.1,20,60,40,100,100,60,0,0,0.8586669363148898,101.9913613796234,0
scenario200,60,left,0.6,60,40,0,60,80,80,80,0,1.5181049057656568,72.88657760620117,0
scenario201,60,left,1.0,100,80,100,60,60,0,40,0,1.0557028698935842,83.925208568573,0
scenario202,-60,left,0.1,40,40,20,20,60,40,20,0,1.193591364517333,99.319096326828,0
scenario203,0,right,0.4,80,0,0,100,20,80,100,0,0.6499989149829771,84.08435225486755,0
scenario204,0,right,0.1,80,80,0,40,80,60,40,0,2.9919624314195885,161.67819166183472,0
scenario205,0,right,0.8,0,40,100,60,40,100,60,0,0.744206374426413,86.46395993232727,0
scenario206,60,right,0.8,60,40,60,60,80,0,20,0,1.804190594056516,156.19349789619446,0
scenario207,90,left,0.4,60,40,60,100,20,20,20,0,1.4481558891621535,75.68700218200684,0
scenario208,-90,left,0.6,100,60,60,60,20,0,0,0,0.8319197605067941,74.27230763435364,0
scenario209,-90,right,0.2,0,20,40,100,80,60,100,0,4.619776290738296,169.10656023025513,0
scenario210,0,left,0.6,60,40,20,100,100,40,80,0,1.5083861012690825,74.52100443840027,0
scenario211,30,left,0.2,40,0,100,100,100,80,20,0,1.394505812735869,74.99513673782349,0
scenario212,30,right,0.8,80,60,60,100,60,100,20,0,1.803267844326852,156.837965965271,0
scenario213,-60,right,0.4,80,20,0,60,0,100,100,0,0.8537082480041072,95.93994855880736,0
scenario214,-60,left,0.8,0,60,80,100,0,80,80,0,1.4940338316436883,77.0740053653717,0
scenario215,0,right,0.6,40,60,60,80,40,60,0,0,0.6337437067313464,119.35436248779295,0
scenario216,-90,left,0.6,80,100,40,100,40,20,60,0,1.0169760899302416,92.66407680511476,0
scenario217,90,left,0.1,100,0,0,80,80,60,0,0,1.323345057907157,76.36577796936035,0
scenario218,0,left,0.8,40,40,40,0,80,80,100,0,1.7500099548383954,75.09181189537048,0
scenario219,-90,left,0.8,80,40,100,40,80,40,20,0,0.8556148925265994,93.00467228889464,0
scenario220,30,left,0.2,40,80,80,40,0,40,40,0,1.0334398670747085,80.2145779132843,0
scenario221,60,right,0.6,40,0,0,0,60,40,60,0,0.9011724620218686,96.00133800506592,0
scenario222,-90,right,1.0,60,20,20,100,20,100,100,0,0.909087618996943,109.66130495071413,0
scenario223,-90,left,0.4,20,80,0,60,100,40,60,0,1.406498839183256,77.4443302154541,0
scenario224,-90,left,0.6,0,60,40,20,80,100,40,0,1.3537931266679044,76.49071335792542,0
scenario225,-90,right,0.4,60,20,40,20,0,40,20,0,0.918948956218568,108.60051465034483,0
scenario226,-60,left,0.1,20,0,40,0,60,0,40,0,1.149520445640008,97.68040871620178,0
scenario227,30,right,0.1,20,40,20,40,40,80,20,0,1.5419451261699653,149.71376776695251,0
scenario228,-60,left,1.0,0,100,0,0,100,60,60,0,1.4383641822218425,78.18912124633789,0
scenario229,90,left,0.1,0,100,20,0,0,0,20,0,1.4462417540630403,75.00887393951416,0
scenario230,-60,right,0.4,80,0,40,0,100,20,0,0,0.8478007239150126,104.17046236991882,0
scenario231,-90,left,1.0,60,60,100,20,100,0,80,0,1.718374005088854,76.24559760093689,0
scenario232,-60,left,0.1,60,80,60,60,60,20,0,0,1.3729769539785464,77.10658574104309,0
scenario233,-60,left,0.2,40,20,40,80,20,20,100,0,1.450197649084695,77.07365536689758,0
scenario234,-30,right,0.8,0,0,60,60,20,60,100,0,0.6224627611939406,87.37363862991333,0
scenario235,60,left,1.0,0,80,20,100,80,80,0,0,1.3574360506607088,75.6604516506195,0
scenario236,-90,left,0.4,100,20,60,100,40,60,40,0,1.5675346838561386,75.94699096679688,0
scenario237,-30,left,0.4,0,0,20,40,100,40,40,0,1.444683123265413,76.98070216178894,0
scenario238,-30,left,0.2,100,0,20,20,0,100,80,0,0.9056849842286104,90.91702842712402,0
scenario239,-90,left,0.4,60,20,100,40,40,60,0,0,0.5692791648044001,176.1709759235382,0
scenario240,0,left,0.6,40,60,80,20,80,20,0,0,1.3670255505505322,76.40875029563904,0
scenario241,0,right,1.0,60,40,80,80,20,0,40,0,2.343537211377016,109.91649079322816,0
scenario242,0,left,0.1,80,100,60,20,60,80,60,0,1.0516886452618457,95.01676082611084,0
