instances,feature_timeofday,feature_direction,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,run_duration,algo_safety
scenario162,0,0,0.2,80,60,20,60,80,80,80,0,1.1125446693701118,23.39962339401245,0
scenario163,0,0,0.6,0,80,80,80,80,0,100,0,1.0867973131738884,22.93014407157898,0
scenario164,-90,1,0.2,60,100,60,0,100,80,0,0,0.8013019372574094,27.594645023345947,0
scenario165,-60,0,0.8,0,20,0,20,40,0,0,0,1.0935821864920978,22.930495738983154,0
scenario166,60,0,0.8,0,60,100,0,100,40,0,0,0.9269496057239588,22.528207302093502,0
scenario167,-90,1,0.6,40,20,20,40,60,0,60,0,0.8330686732316942,27.729246616363525,0
scenario168,30,0,0.4,20,0,60,80,80,80,60,0,1.0043056614751766,22.46573185920716,0
scenario169,-60,1,0.2,0,80,60,0,40,40,100,0,0.8217889193401144,25.9520480632782,0
scenario170,90,0,0.6,60,80,100,20,80,40,60,0,1.1911245230070333,22.4455635547638,0
scenario171,90,0,0.6,40,40,100,60,100,20,100,0,1.1736766592085353,22.524747610092163,0
scenario172,0,1,0.2,40,20,100,80,60,40,80,0,0.9282723759338988,27.7810480594635,0
scenario173,-90,0,0.8,40,60,80,0,40,0,40,0,1.0669390666234937,23.16518831253052,0
scenario174,60,0,0.1,100,60,60,40,40,20,80,0,1.0831482611582015,22.491025924682617,0
scenario175,-90,0,0.4,40,20,80,60,60,100,20,0,1.0655361984629554,22.96579933166504,0
scenario176,60,1,1.0,40,100,20,0,40,60,80,0,0.7970843619854714,27.010507822036743,0
scenario177,-30,1,1.0,20,100,20,20,60,20,40,0,0.7556012473678454,27.87222647666931,0
scenario178,-60,1,0.2,20,60,20,40,0,0,0,0,0.8037407757899084,27.653228044509888,0
scenario179,-30,0,0.8,0,100,100,100,80,60,80,0,1.1293448346143562,23.1940712928772,0
scenario180,0,0,0.6,60,100,40,40,20,100,20,0,1.0564316264045843,23.34299659729004,0
scenario181,30,0,1.0,20,40,40,0,20,0,60,0,1.096257678461069,22.570371627807617,0
scenario182,-30,1,1.0,20,0,100,60,40,0,80,0,0.7896937916231548,27.642093420028687,0
scenario183,-90,0,0.2,20,60,20,80,40,20,20,0,1.0361216830285926,22.62383794784546,0
scenario184,-90,1,0.1,0,100,100,60,20,80,100,0,4.739640525775698,69.6973614692688,0
scenario185,90,1,0.2,20,80,80,20,60,80,20,0,0.854879660834372,26.94107222557068,0
scenario186,30,1,1.0,40,0,40,40,60,80,80,0,0.7980143482194104,27.117756605148315,0
scenario187,0,0,0.8,80,100,20,60,0,20,40,0,1.0789143327255932,23.40708613395691,0
scenario188,-30,0,0.6,80,0,20,0,0,80,100,0,1.0827294293451697,69.99312591552734,0
scenario189,90,1,0.4,80,60,0,0,80,40,0,0,0.7511712111717824,26.94154596328736,0
scenario190,0,0,0.6,80,40,60,0,60,60,0,0,1.1276325409648358,23.39521861076355,0
scenario191,0,1,1.0,20,80,0,80,100,80,0,0,0.8285856937964262,28.096447229385376,0
scenario192,0,1,1.0,80,20,20,20,80,0,20,0,0.9773739618022208,27.948911905288696,0
scenario193,-30,1,0.8,60,80,20,80,0,0,60,0,0.7994078491012216,27.56869673728943,0
scenario194,0,1,0.8,100,80,20,20,40,40,60,0,0.9317669378921708,27.67046618461609,0
scenario195,30,0,0.6,100,20,40,80,60,100,0,0,1.193114885840298,22.79036021232605,0
scenario196,-60,1,0.1,80,0,60,40,20,40,60,0,0.8951602749784446,27.983962774276733,0
scenario197,60,0,0.4,40,80,60,0,20,100,40,0,1.1391410304333092,22.82959294319153,0
scenario198,-90,0,0.4,40,100,80,80,0,20,80,0,1.083108208098957,22.901817798614506,0
scenario199,-30,1,0.1,20,60,40,100,100,60,0,0,0.8428894537806787,27.880747079849243,0
scenario200,60,0,0.6,60,40,0,60,80,80,80,0,1.090366863213863,22.48028874397278,0
scenario201,60,0,1.0,100,80,100,60,60,0,40,0,1.0883215874606074,22.63145542144776,0
scenario202,-60,0,0.1,40,40,20,20,60,40,20,0,1.1588677293929015,23.23207187652588,0
scenario203,0,1,0.4,80,0,0,100,20,80,100,0,0.9499733897401992,27.797784090042114,0
scenario204,0,1,0.1,80,80,0,40,80,60,40,0,0.9635940042701078,27.92169761657715,0
scenario205,0,1,0.8,0,40,100,60,40,100,60,0,0.875995461181051,27.67601227760315,0
scenario206,60,1,0.8,60,40,60,60,80,0,20,0,0.9140614258748216,27.04935908317566,0
scenario207,90,0,0.4,60,40,60,100,20,20,20,0,1.101452808805352,22.562697410583496,0
scenario208,-90,0,0.6,100,60,60,60,20,0,0,0,1.0311007403672052,22.893218994140625,0
scenario209,-90,1,0.2,0,20,40,100,80,60,100,0,0.8191505828631638,27.54476428031921,0
scenario210,0,0,0.6,60,40,20,100,100,40,80,0,1.16723937713266,23.60910654067993,0
scenario211,30,0,0.2,40,0,100,100,100,80,20,0,1.1931185664950068,22.562599658966064,0
scenario212,30,1,0.8,80,60,60,100,60,100,20,0,0.8525565713549996,26.90574359893799,0
scenario213,-60,1,0.4,80,20,0,60,0,100,100,0,4.5965261972260105,70.55174684524536,0
scenario214,-60,0,0.8,0,60,80,100,0,80,80,0,1.0092141218044313,22.999939441680908,0
scenario215,0,1,0.6,40,60,60,80,40,60,0,0,0.7905827634083746,27.6871030330658,0
scenario216,-90,0,0.6,80,100,40,100,40,20,60,0,1.117717262897806,23.114867687225345,0
scenario217,90,0,0.1,100,0,0,80,80,60,0,0,1.113159944776369,22.377880096435547,0
scenario218,0,0,0.8,40,40,40,0,80,80,100,0,1.007684403508609,61.16162037849426,0
scenario219,-90,0,0.8,80,40,100,40,80,40,20,0,1.0294829567956305,22.976089000701904,0
scenario220,30,0,0.2,40,80,80,40,0,40,40,0,1.0998685294058106,22.7792444229126,0
scenario221,60,1,0.6,40,0,0,0,60,40,60,0,0.9387108621694408,26.945866584777832,0
scenario222,-90,1,1.0,60,20,20,100,20,100,100,0,4.57062272766499,71.11990189552307,0
scenario223,-90,0,0.4,20,80,0,60,100,40,60,0,1.0673462286396156,23.33592176437378,0
scenario224,-90,0,0.6,0,60,40,20,80,100,40,0,1.248097766750948,67.73684287071228,0
scenario225,-90,1,0.4,60,20,40,20,0,40,20,0,0.8829246925075471,27.403504371643063,0
scenario226,-60,0,0.1,20,0,40,0,60,0,40,0,1.0870157248478696,23.12660527229309,0
