Row,direction,cloudiness,precipitation,precipitationdeposits,windintensity,timeofday,fogdensity,fogdistance,wetness,roadfriction
scenario200,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario201,0,1.62833745171735,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario202,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.74198504635896,0,0
scenario203,0,1.74458332769159,-0.25645595589108,0,0,0,0,-0.581518984137751,0,0
scenario204,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario205,0,1.73003861988031,0.585275952657141,0,0,0,0,1.69875493647252,0,0
scenario206,0,-0.581513083738736,-0.977920779857446,0,0,0,0,-0.581518984137751,0,0
scenario207,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.69875493647252,0,0
scenario208,0,1.7536633555874,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario209,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario210,0,-0.581513083738736,-0.25645595589108,0,0,0,0,-0.581518984137751,0,0
scenario211,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario212,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.69875493647252,0,0
scenario213,0,-0.581513083738736,-2.21360322365284,0,0,0,0,-0.581518984137751,0,0
scenario214,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario215,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario216,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario217,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario218,0,1.7536633555874,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario219,0,1.73003861988031,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario220,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario221,0,-0.581513083738736,-1.56515003888201,0,0,0,0,-0.581518984137751,0,0
scenario222,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario223,0,-0.581513083738736,-0.977920779857446,0,0,0,0,-0.581518984137751,0,0
scenario224,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario225,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.74198504635896,0,0
scenario226,0,-0.581513083738736,-1.9952891888281,0,0,0,0,-0.581518984137751,0,0
scenario227,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.74198504635896,0,0
scenario228,0,-0.581513083738736,-0.25645595589108,0,0,0,0,-0.581518984137751,0,0
scenario229,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario230,0,-0.581513083738736,-1.56515003888201,0,0,0,0,-0.581518984137751,0,0
scenario231,0,-0.581513083738736,-1.56515003888201,0,0,0,0,-0.581518984137751,0,0
scenario232,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario233,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario234,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario235,0,-0.581513083738736,-1.9952891888281,0,0,0,0,-0.581518984137751,0,0
scenario236,0,-0.581513083738736,-1.9952891888281,0,0,0,0,-0.581518984137751,0,0
scenario237,0,-0.581513083738736,-1.56515003888201,0,0,0,0,1.74198504635896,0,0
scenario238,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario239,0,1.74458332769159,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario240,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario241,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.74198504635896,0,0
scenario242,0,1.7536633555874,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario243,0,1.73003861988031,-0.977920779857446,0,0,0,0,-0.581518984137751,0,0
scenario244,0,-0.581513083738736,-1.9952891888281,0,0,0,0,1.74198504635896,0,0
scenario245,0,1.7536633555874,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario246,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.72698543319673,0,0
scenario247,0,-0.581513083738736,0.585275952657141,0,0,0,0,-0.581518984137751,0,0
scenario248,0,-0.581513083738736,-1.56515003888201,0,0,0,0,-0.581518984137751,0,0
scenario249,0,-0.581513083738736,-1.56515003888201,0,0,0,0,-0.581518984137751,0,0
scenario250,0,-0.581513083738736,-2.21360322365284,0,0,0,0,1.62288709611327,0,0
scenario251,0,-0.581513083738736,0.585275952657141,0,0,0,0,1.62288709611327,0,0
