instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,feature_direction,visibility,roadsurface,vehiclestability,probability,collision,min_ttc,run_duration,algo_safety
scenario89,90,20,40,0,0,0,0.8,0,100,0,40,40,80,0.00406,0,1.1683104833194846,21.948384761810303,0
scenario90,30,40,80,0,0,0,0.8,0,100,1,40,40,100,0.00155,0,0.8036246427799049,26.55135440826416,0
scenario91,-30,20,80,0,0,0,0.8,0,100,1,40,60,0,0.004,0,0.7459265824342317,26.973593950271606,0
scenario92,-60,20,40,0,0,0,0.8,0,100,1,40,60,20,0.00396,0,0.8790023053210819,26.62512922286988,0
scenario93,-30,20,80,0,0,0,0.8,0,100,0,40,60,40,0.00395,0,1.0676872365675176,22.160712718963623,0
scenario94,90,20,40,0,0,0,0.8,0,100,1,40,60,60,0.00438,0,0.8051433888215705,26.18444895744324,0
scenario95,0,20,80,0,0,0,0.8,0,100,0,40,60,80,0.00401,0,1.156218721474245,22.5326623916626,0
scenario96,-30,20,40,0,0,0,0.8,0,100,1,40,60,100,0.00406,0,0.8207760461077116,26.685604572296143,0
scenario97,0,20,40,0,0,0,0.8,0,100,1,40,80,0,0.00385,0,0.818446105538686,27.023927450180054,0
scenario98,-30,20,40,0,0,0,0.8,0,100,0,40,80,20,0.00403,0,1.0959980335134416,22.1026418209076,0
scenario99,60,20,60,0,0,0,0.8,0,100,0,40,80,40,0.00386,0,1.110182800642002,21.91426396369934,0
scenario100,90,60,100,0,0,0,0.8,0,100,0,40,80,60,0.00148,0,1.212694059538216,22.274325132369995,0
scenario101,30,20,80,0,0,0,0.8,0,100,1,40,80,80,0.00353,0,0.8233542436388511,26.511361122131348,0
scenario102,30,20,80,0,0,0,0.8,0,100,0,40,80,100,0.00349,0,1.1024273193224137,22.21290922164917,0
scenario103,60,20,100,0,0,0,0.8,0,100,0,40,100,0,0.0033,0,1.212094972013592,21.80926990509033,0
scenario104,30,40,60,0,0,0,0.8,0,100,0,40,100,20,0.00149,0,1.1634658173150632,21.946908235549927,0
scenario105,-60,20,80,0,0,0,0.8,0,100,1,40,100,40,0.0033,0,0.7402551028283867,26.88700151443481,0
scenario106,60,40,20,0,0,0,0.8,0,100,1,40,100,60,0.00167,0,0.8209481384043759,26.426734685897827,0
scenario107,-60,20,60,0,0,0,0.8,0,100,0,40,100,80,0.0031,0,1.0587628994838891,22.30784559249878,0
scenario108,90,20,80,0,0,0,0.8,0,100,1,40,100,100,0.00303,0,0.8294387793449243,26.31475281715393,0
scenario109,-60,20,100,0,0,0,0.8,0,100,0,60,0,0,0.00351,0,1.0155132103593627,22.593223094940186,0
scenario110,-90,40,60,0,0,0,0.8,0,100,0,60,0,20,0.00304,0,1.0314030699591352,22.317228078842163,0
scenario111,-90,40,40,0,0,0,0.8,0,100,1,60,0,40,0.00311,0,0.8033191198539139,26.54241275787353,0
scenario112,60,20,100,0,0,0,0.8,0,100,1,60,0,60,0.00308,0,0.7432525900815915,26.32835364341736,0
scenario113,90,20,80,0,0,0,0.8,0,100,0,60,0,80,0.00297,0,1.1950181777948388,21.997509717941284,0
scenario114,-30,40,20,0,0,0,0.8,0,100,1,60,0,100,0.00144,0,0.9796379550115022,27.016743421554565,0
scenario115,-90,40,100,0,0,0,0.8,0,100,0,60,20,0,0.00257,0,1.0586144611556816,22.085245847702023,0
scenario116,-90,40,100,0,0,0,0.8,0,100,1,60,20,20,0.00244,0,0.9307501685591788,26.74861192703247,0
scenario117,-90,60,60,0,0,0,0.8,0,100,1,60,20,40,0.00226,0,0.9434292153771652,26.70134830474853,0
scenario118,-90,60,80,0,0,0,0.8,0,100,0,60,20,60,0.00229,0,1.0750185077396623,22.215697765350345,0
scenario119,-90,60,80,0,0,0,0.8,0,100,1,60,20,80,0.00235,0,0.8272674718155382,26.873304843902588,0
scenario120,-90,60,40,0,0,0,0.8,0,100,0,60,20,100,0.0024,0,1.0412232326810262,22.029832363128666,0
scenario121,-90,40,20,0,0,0,0.8,0,100,0,60,40,0,0.00204,0,1.0242864477782407,22.42727255821228,0
scenario122,0,40,60,0,0,0,0.8,0,100,0,60,40,20,0.00164,0,1.1934261408139184,22.513941764831543,0
scenario123,-90,60,20,0,0,0,0.8,0,100,1,60,40,40,0.00158,0,0.9040931542859604,26.942262887954712,0
scenario124,90,60,40,0,0,0,0.8,0,100,0,60,40,60,0.00165,0,1.1785559310930631,22.10257911682129,0
scenario125,30,40,40,0,0,0,0.8,0,100,1,60,40,80,0.0017,0,0.7827766155080247,26.22616410255432,0
scenario126,-90,20,80,0,0,0,0.8,0,100,0,60,40,100,0.00824,0,1.0564062710480724,22.26433181762696,0
scenario127,90,60,40,0,0,0,0.8,0,100,1,60,60,0,0.0016,0,0.882840429072449,26.31076431274414,0
scenario128,60,60,20,0,0,0,0.8,0,100,1,60,60,20,0.00151,0,0.9584937344159944,26.49293565750122,0
scenario129,30,40,40,0,0,0,0.8,0,100,0,60,60,40,0.00176,0,1.1058472756578996,21.907106399536133,0
scenario130,-60,40,20,0,0,0,0.8,0,100,1,60,60,60,0.00157,0,0.8271407758491436,27.121203422546387,0
