instances,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario141,80,20,0,20,40,0.8,20,80,20,20,80,c4,1e-05,1,0,2,0,1,0.0,1
scenario142,20,100,60,0,80,0.4,40,60,20,20,100,c1,1e-05,1,2,0,2,0,6.354381172481581,0
scenario143,60,20,0,0,80,0.1,40,60,20,20,100,c2,1e-05,0,1,2,0,0,2.2154460983614754,0
scenario144,60,60,20,100,60,0.6,60,100,20,20,100,c4,1e-05,1,2,2,0,0,2.342186175350834,0
scenario145,80,20,60,20,40,0.8,20,80,20,40,0,c1,1e-05,0,1,1,2,0,3.855898458710133,0
scenario146,60,20,40,100,60,0.2,100,0,20,40,0,c2,1e-05,0,1,2,1,0,3.128378527253227,0
scenario147,20,20,60,60,40,0.6,0,100,20,40,0,c4,1e-05,2,0,1,2,0,0.998333600977148,0
scenario148,60,100,40,100,60,0.6,100,0,20,40,20,c1,1e-05,1,2,0,1,0,5.798477471025604,0
scenario149,60,60,0,0,80,0.4,100,0,20,40,20,c2,1e-05,2,1,0,1,0,3.298422903586622,0
scenario150,60,40,20,20,0,0.8,20,80,20,40,20,c4,1e-05,2,0,1,0,0,20.2628383011062,0
scenario151,20,60,0,40,80,0.8,0,100,20,40,40,c1,1e-05,0,2,1,2,0,2.709960283999676,0
scenario152,40,20,100,20,40,0.8,80,20,20,40,40,c2,1e-05,2,0,0,1,0,2.938734962962551,0
scenario153,20,20,0,0,60,0.1,100,0,20,40,40,c4,1e-05,1,0,2,0,0,3.616721755978542,0
scenario154,60,40,60,100,0,0.6,40,60,20,40,60,c1,1e-05,1,2,0,2,0,5.250186191380757,0
scenario155,80,100,20,40,40,0.8,0,100,20,40,60,c2,1e-05,0,1,2,0,0,2.343921268754628,0
scenario156,40,100,80,0,60,0.2,40,20,20,40,60,c4,1e-05,1,2,2,0,0,3.542443684327821,0
scenario157,40,40,20,0,40,0.8,60,40,20,40,80,c1,1e-05,0,1,1,2,0,2.537861210200417,0
scenario158,60,100,20,100,0,0.6,100,0,20,40,80,c2,1e-05,0,1,2,1,0,3.189094773676051,0
scenario159,40,20,100,20,40,0.8,20,80,20,40,80,c4,1e-05,2,0,1,2,0,0.7724215204812316,0
scenario160,20,100,60,0,0,0.8,100,0,20,40,100,c1,1e-05,1,2,0,1,0,4.67233746868445,0
scenario161,40,100,0,100,40,0.6,40,60,20,40,100,c2,1e-05,2,1,0,1,0,3.4410557937531694,0
scenario162,0,60,0,20,60,0.8,40,60,20,40,100,c4,1e-05,2,0,1,0,0,262.5443732219516,0
scenario163,60,20,0,100,40,0.4,40,60,20,60,0,c1,1e-05,0,2,1,2,0,3.0404597320016986,0
scenario164,20,100,0,80,0,0.6,0,100,20,60,0,c2,1e-05,2,0,0,1,0,3.0121897174941163,0
scenario165,20,40,60,100,60,0.6,40,60,20,60,0,c4,1e-05,1,0,2,0,0,1.7478211627346187,0
scenario166,20,100,40,100,40,0.4,40,60,20,60,20,c1,1e-05,1,2,0,2,0,5.014350180166095,0
scenario167,40,20,0,80,60,0.6,0,100,20,60,20,c2,1e-05,0,1,2,0,0,1.932878350310719,0
scenario168,20,100,40,0,0,0.8,100,100,20,60,20,c4,1e-05,1,2,2,0,0,3.657321023164383,0
scenario169,60,100,60,0,0,0.8,20,80,20,60,40,c1,1e-05,0,1,1,2,0,2.695186558097622,0
scenario170,60,100,60,0,40,0.8,100,0,20,60,40,c2,1e-05,0,1,2,1,0,3.3412849397938333,0
scenario171,20,20,0,20,40,0.8,80,80,20,60,40,c4,1e-05,2,0,1,2,1,0.0,1
scenario172,60,20,20,60,0,0.8,40,60,20,60,60,c1,1e-05,1,2,0,1,0,6.012863385691493,0
scenario173,80,40,40,60,40,0.6,100,0,20,60,60,c2,1e-05,2,1,0,1,1,0.0,1
scenario174,0,100,0,0,100,0.6,80,20,20,60,60,c4,1e-05,2,0,1,0,0,2.52647250283862,0
scenario175,80,100,0,0,0,0.8,100,0,20,60,80,c1,1e-05,0,2,1,2,0,2.953539298376131,0
scenario176,20,40,20,100,80,0.6,60,40,20,60,80,c2,1e-05,2,0,0,1,0,1.7246483314636898,0
scenario177,20,60,40,80,100,0.6,20,80,20,60,80,c4,1e-05,1,0,2,0,0,2.639996533340307,0
scenario178,60,20,0,0,100,0.8,80,20,20,60,100,c1,1e-05,1,2,0,2,0,5.721586372565522,0
scenario179,60,60,20,100,60,0.6,60,40,20,60,100,c2,1e-05,0,1,2,0,0,2.2115556253448005,0
scenario180,60,100,80,80,40,0.6,100,0,20,60,100,c4,1e-05,1,2,2,0,0,2.8700802980117963,0
scenario181,20,60,20,100,40,0.6,100,100,20,80,0,c1,1e-05,0,1,1,2,0,2.8234841507158595,0
scenario182,60,40,100,0,0,0.8,100,0,20,80,0,c2,1e-05,0,1,2,1,0,2.907940394975701,0
scenario183,0,60,0,60,0,0.6,20,80,20,80,0,c4,1e-05,2,0,1,2,0,1.16077630959144,0
scenario184,60,20,0,0,60,0.1,0,100,20,80,20,c1,1e-05,1,2,0,1,0,6.271687731980169,0
scenario185,80,60,20,40,40,0.8,20,80,20,80,20,c2,1e-05,2,1,0,1,0,3.296697854860025,0
scenario186,0,100,0,0,0,0.8,40,60,20,80,20,c4,1e-05,2,0,1,0,0,25.88547927745159,0
scenario187,60,80,100,0,80,0.4,100,0,20,80,40,c1,1e-05,0,2,1,2,0,2.7058512861750774,0
scenario188,20,60,40,100,40,0.4,100,0,20,80,40,c2,1e-05,2,0,0,1,0,1.8165502615179447,0
scenario189,60,100,20,100,100,0.4,20,80,20,80,40,c4,1e-05,1,0,2,0,0,3.2397943240333,0
scenario190,60,100,40,20,40,0.8,20,80,20,80,60,c1,1e-05,1,2,0,2,0,6.007660246431228,0
scenario191,40,20,40,60,100,0.6,40,60,20,80,60,c2,1e-05,0,1,2,0,0,2.0722131948781723,0
scenario192,20,20,0,0,60,0.6,40,60,20,80,60,c4,1e-05,1,2,2,0,0,4.294815096877061,0
scenario193,0,20,0,0,100,0.6,0,100,20,80,80,c1,1e-05,0,1,1,2,0,2.933156079054565,0
scenario194,80,60,60,0,20,0.8,40,60,20,80,80,c2,1e-05,0,1,2,1,0,3.5120496888367785,0
scenario195,80,20,0,0,100,0.4,0,100,20,80,80,c4,1e-05,2,0,1,2,0,1.0404259909739897,0
scenario196,20,40,0,60,100,0.6,40,60,20,80,100,c1,1e-05,1,2,0,1,0,6.136531618104117,0
scenario197,20,60,0,0,60,0.2,0,100,20,80,100,c2,1e-05,2,1,0,1,0,3.464258196641452,0
scenario198,40,100,0,100,40,0.4,0,100,20,80,100,c4,1e-05,2,0,1,0,0,166.14857633668626,0
scenario199,40,80,0,80,0,0.6,80,20,20,100,0,c1,1e-05,0,2,1,2,0,2.7077363761006725,0
scenario200,80,80,40,100,40,0.6,20,80,20,100,0,c2,1e-05,2,0,0,1,0,2.8887879718876044,0
scenario201,60,60,20,0,100,0.2,60,40,20,100,0,c4,1e-05,1,0,2,0,0,2.933673219845028,0
