instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario173,c1,1,2,0,1,100,60,100,20,-60,100,20,100,0.8,False,0.833,0
scenario174,c1,1,2,0,1,80,20,60,60,-90,60,40,80,0.8,True,0.0,1
scenario175,c1,1,2,0,2,20,60,80,20,-30,40,100,60,0.6,False,9999.0,0
scenario176,c2,0,1,2,1,100,100,100,100,-30,80,100,20,0.8,False,4.339,0
scenario177,c2,0,1,2,1,20,100,100,100,-30,80,100,80,0.6,False,3.881,0
scenario178,c1,0,1,1,2,40,20,80,80,-30,80,100,100,0.8,False,3.204,0
scenario179,c1,1,2,0,2,40,20,60,0,-90,60,20,40,0.8,False,2.46,0
scenario180,c4,2,0,1,0,40,60,100,20,-30,100,100,40,0.6,False,4.066,0
scenario181,c1,1,2,0,1,80,20,60,60,-90,60,40,80,0.8,False,2.513,0
scenario182,c4,2,0,1,0,20,100,100,100,30,100,100,80,0.4,True,0.0,1
scenario183,c2,2,0,0,1,0,40,80,40,-30,80,100,60,0.6,False,4.197,0
scenario184,c1,0,1,1,2,80,40,20,40,-90,40,80,0,0.8,False,2.29,0
scenario185,c2,2,1,0,1,40,40,80,60,-60,80,100,80,0.8,False,1.24,0
scenario186,c4,2,0,1,0,60,80,20,20,-30,60,20,60,0.4,False,2.74,0
scenario187,c1,0,2,1,2,60,60,0,0,-30,60,20,0,0.1,False,2.501,0
scenario188,c4,2,0,1,2,20,0,20,100,60,40,100,100,0.4,False,2.715,0
scenario189,c2,2,0,0,1,100,0,40,0,-30,80,40,60,0.4,False,0.929,0
scenario190,c4,1,2,2,0,80,80,0,60,90,40,0,80,0.4,False,2.554,0
scenario191,c4,1,2,2,0,80,80,20,60,-30,40,0,60,0.2,False,2.002,0
scenario192,c2,2,0,0,1,100,0,40,0,-60,80,20,80,0.4,False,0.632,0
scenario193,c2,0,1,2,0,100,0,40,20,-30,80,40,80,0.4,False,3.467,0
scenario194,c1,0,2,1,2,0,20,0,100,-30,80,100,20,0.4,False,1.905,0
scenario195,c2,0,1,2,1,80,20,20,60,30,100,0,60,1.0,False,4.432,0
scenario196,c4,1,0,2,0,0,60,100,60,-60,80,80,80,0.8,False,2.651,0
scenario197,c2,2,0,0,1,100,0,40,0,-60,80,20,80,0.4,True,0.0,1
scenario198,c1,1,2,0,2,0,20,40,20,-60,0,20,100,0.2,True,0.0,1
scenario199,c1,0,2,1,2,80,0,20,0,-60,0,80,100,0.2,False,2.605,0
scenario200,c2,2,0,0,1,100,20,60,0,-60,0,40,60,0.2,False,0.994,0
scenario201,c2,2,0,0,1,100,0,20,20,-60,60,100,100,0.6,False,1.313,0
scenario202,c2,2,1,0,1,100,20,60,20,-90,80,100,60,0.4,False,1.015,0
scenario203,c2,2,0,0,1,100,0,60,20,0,80,100,80,0.4,True,0.0,1
scenario204,c2,2,0,0,1,80,20,20,0,-60,60,20,0,0.2,True,0.0,1
scenario205,c2,2,0,0,1,100,0,60,0,30,80,80,80,0.4,False,0.965,0
scenario206,c4,1,0,2,0,80,0,60,20,90,80,60,60,0.4,True,0.0,1
scenario207,c1,1,2,0,2,100,20,60,20,-30,40,0,60,0.2,False,2.116,0
scenario208,c2,2,0,0,1,60,80,40,0,-90,80,40,100,0.4,True,0.0,1
scenario209,c2,2,0,0,1,100,0,40,0,-60,80,20,80,0.4,True,0.0,1
scenario210,c4,1,0,2,0,60,0,80,0,60,0,0,80,0.1,False,2928.608,0
scenario211,c2,2,0,0,1,100,40,60,0,60,0,40,60,0.2,False,2.644,0
scenario212,c4,1,0,2,0,100,0,40,0,-60,40,0,100,0.8,False,2.676,0
scenario213,c2,2,0,0,1,0,0,20,40,-90,40,100,100,0.8,False,1.479,0
scenario214,c4,2,0,1,0,60,80,40,0,-60,80,20,80,0.2,False,3.89,0
scenario215,c4,1,0,2,0,80,80,80,20,90,60,60,80,0.8,False,2.45,0
scenario216,c1,1,2,0,1,100,0,60,20,30,60,100,60,0.4,False,0.758,0
scenario217,c1,1,2,0,1,0,40,80,0,-60,40,40,60,0.2,True,0.0,1
scenario218,c1,1,2,0,1,100,20,80,20,0,20,0,20,0.4,False,3.585,0
scenario219,c1,0,2,1,2,80,0,40,20,-60,20,100,20,0.4,False,3.518,0
scenario220,c1,0,2,1,2,0,20,20,40,-60,0,20,100,0.2,False,3.169,0
scenario221,c2,2,0,0,1,100,0,40,0,-60,80,20,80,0.4,False,0.597,0
scenario222,c4,2,0,1,0,40,60,40,0,-30,80,0,80,0.2,False,2.525,0
scenario223,c1,1,2,0,1,100,40,80,20,0,20,0,0,0.6,False,1.972,0
scenario224,c4,1,0,2,0,80,80,60,60,90,60,60,80,1.0,False,2.536,0
scenario225,c1,0,2,1,2,60,0,40,20,-30,20,80,40,0.2,False,2.12,0
scenario226,c4,2,0,1,0,20,20,20,40,-90,20,100,80,0.8,False,2.465,0
scenario227,c1,1,2,0,1,80,40,80,20,-30,40,40,60,0.8,True,0.0,1
scenario228,c2,2,1,0,1,0,20,20,60,-60,60,80,80,1.0,False,0.673,0
scenario229,c2,0,1,2,0,20,20,100,60,-60,20,40,100,0.2,False,3.825,0
scenario230,c1,0,2,1,2,60,100,20,20,-30,0,20,80,0.2,False,2.301,0
scenario231,c1,1,2,0,2,100,20,60,20,30,20,0,40,0.2,False,1.94,0
scenario232,c4,2,0,1,2,100,40,60,0,60,20,40,80,0.2,False,2.628,0
scenario233,c1,1,2,0,1,80,40,80,20,-30,40,40,60,0.8,False,1.759,0
scenario234,c1,0,1,1,2,100,20,80,0,30,20,0,0,0.4,False,1.911,0
scenario235,c1,0,2,1,2,80,100,20,40,-30,0,20,100,0.1,False,2.827,0
scenario236,c4,2,0,1,0,80,80,0,40,-60,20,20,100,0.2,False,2.34,0
scenario237,c2,0,1,2,0,80,60,40,40,60,0,20,80,0.2,False,4.528,0
scenario238,c4,1,0,2,0,100,20,60,100,30,20,0,60,0.2,False,3.103,0
scenario239,c4,2,0,1,0,0,100,0,40,-30,20,100,60,0.2,True,0.0,1
scenario240,c2,2,1,0,1,0,40,0,80,-90,60,80,80,1.0,False,0.672,0
scenario241,c1,1,2,0,1,100,20,60,0,-30,20,40,40,0.8,False,1.816,0
scenario242,c2,0,1,2,0,100,20,40,20,60,0,0,40,0.2,False,4.084,0
scenario243,c2,0,1,2,1,100,40,60,40,0,20,0,40,0.1,False,4.31,0
scenario244,c1,1,2,0,2,100,100,40,80,90,60,20,40,1.0,False,2.21,0
scenario245,c4,2,0,1,0,0,100,0,40,-30,20,100,60,0.2,False,1.732,0
scenario246,c1,0,1,1,2,100,20,60,20,-60,40,40,40,0.8,False,2.943,0
scenario247,c4,1,2,2,0,60,60,60,0,-60,40,20,40,0.8,False,3.429,0
