instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario258,0,100,20,40,20,30,60,100,60,0.4,False,1.106,0
scenario259,0,80,40,40,60,30,60,0,80,0.2,False,1.179,0
scenario260,1,80,60,60,0,-90,80,40,60,0.2,False,0.85,0
scenario261,1,0,80,20,0,-90,40,0,20,0.8,False,5.289,0
scenario262,1,0,20,80,20,-30,0,40,20,1.0,False,0.803,0
scenario263,0,100,40,100,40,0,100,20,80,0.6,False,1.116,0
scenario264,0,80,0,0,80,60,60,100,80,1.0,False,1.085,0
scenario265,0,0,80,80,0,0,20,100,40,0.4,False,1.094,0
scenario266,0,40,20,0,80,30,40,100,100,0.2,False,1.105,0
scenario267,1,100,20,80,60,-30,20,20,80,0.8,False,0.867,0
scenario268,1,40,80,20,100,0,20,40,0,0.1,False,0.782,0
scenario269,0,80,0,40,20,0,0,20,40,0.6,False,1.156,0
scenario270,1,60,0,60,100,60,60,80,20,0.8,False,0.892,0
scenario271,1,100,0,0,80,-60,80,20,20,0.1,False,0.753,0
scenario272,1,40,20,40,0,-90,40,80,100,1.0,False,0.82,0
scenario273,1,80,80,60,40,0,40,0,20,0.2,False,0.87,0
scenario274,0,40,0,100,100,-90,80,100,60,1.0,False,1.168,0
scenario275,0,20,0,0,60,30,80,60,0,0.8,False,1.116,0
scenario276,0,60,20,40,100,-90,20,60,100,0.8,False,1.053,0
scenario277,0,0,60,60,0,30,100,60,20,0.4,False,1.085,0
scenario278,0,20,100,60,60,-60,40,0,0,0.4,False,1.081,0
scenario279,0,80,100,80,100,90,20,100,20,1.0,False,1.184,0
scenario280,1,100,40,20,40,-60,60,20,80,1.0,False,0.734,0
scenario281,1,80,100,100,60,60,100,80,0,0.4,False,1.022,0
scenario282,0,60,60,0,60,-30,80,60,0,0.1,False,1.115,0
scenario283,1,20,60,20,20,-90,100,80,0,0.4,False,6.053,0
scenario284,1,60,0,20,40,-30,100,100,0,0.8,False,0.837,0
scenario285,0,60,100,100,60,-30,40,80,40,0.6,False,1.066,0
scenario286,1,20,20,100,0,-60,40,20,0,0.1,False,0.692,0
scenario287,1,20,100,60,40,-30,60,60,80,0.2,False,0.756,0
scenario288,1,100,100,40,80,-60,40,60,20,0.6,False,0.727,0
scenario289,0,80,20,0,0,90,100,60,60,1.0,False,1.148,0
scenario290,0,60,80,80,0,-90,80,60,40,0.4,False,1.064,0
scenario291,0,60,0,40,60,-30,0,100,40,0.2,False,1.052,0
scenario292,0,0,60,100,20,-60,60,80,100,0.4,False,1.204,0
scenario293,1,60,80,20,40,0,80,100,100,0.8,False,0.987,0
scenario294,1,60,0,60,80,-90,0,80,60,1.0,False,5.02,0
scenario295,0,60,20,80,80,90,0,40,60,0.2,False,1.202,0
scenario296,1,80,60,40,100,60,60,80,100,0.2,False,0.762,0
scenario297,0,20,20,100,100,0,60,80,60,1.0,False,1.137,0
scenario298,1,0,80,80,40,90,0,100,0,0.8,False,0.881,0
scenario299,0,20,60,80,60,90,100,0,60,0.8,False,1.175,0
scenario300,0,80,40,40,0,90,80,0,40,0.2,False,1.168,0
scenario301,1,80,20,80,60,-90,80,100,0,0.6,False,0.778,0
scenario302,1,20,20,20,60,60,20,80,40,0.1,False,0.922,0
scenario303,0,40,80,20,0,30,20,100,80,0.6,False,1.111,0
scenario304,0,40,80,0,20,30,20,40,100,0.1,False,1.12,0
scenario305,1,100,0,40,80,-30,80,40,40,0.4,False,0.911,0
scenario306,0,40,20,20,80,90,100,60,20,0.1,False,1.26,0
scenario307,1,0,60,80,60,60,20,0,100,0.2,False,0.886,0
scenario308,1,60,20,20,60,90,80,100,20,0.2,False,0.962,0
scenario309,1,100,20,60,80,-60,60,40,0,0.6,False,0.865,0
scenario310,0,100,40,100,20,0,60,100,20,0.1,False,1.095,0
scenario311,0,80,100,40,20,30,40,60,0,0.6,False,1.231,0
scenario312,1,20,80,0,20,-60,80,80,0,0.2,False,0.721,0
scenario313,0,20,0,60,80,90,60,60,20,1.0,False,1.205,0
scenario314,1,80,100,60,20,-90,60,80,80,0.6,False,0.879,0
scenario315,0,100,60,60,20,0,40,100,80,0.8,False,0.964,0
scenario316,1,20,60,40,40,-30,60,100,20,1.0,False,0.851,0
scenario317,0,0,20,60,0,0,40,80,20,0.8,False,1.073,0
scenario318,1,20,0,0,0,60,0,60,100,1.0,False,0.897,0
scenario319,0,20,20,20,60,60,60,20,40,1.0,False,1.171,0
scenario320,1,100,100,20,40,0,40,100,100,0.1,False,0.892,0
scenario321,1,40,0,100,80,30,100,80,80,0.4,False,0.764,0
scenario322,0,60,0,80,20,60,0,0,0,0.8,False,1.116,0
scenario323,1,0,0,0,20,-60,100,20,40,0.1,False,0.893,0
scenario324,0,60,20,0,40,0,20,20,100,0.6,False,1.085,0
scenario325,0,40,60,80,80,30,0,40,60,1.0,False,1.144,0
scenario326,1,0,60,0,20,90,0,60,40,0.4,False,0.901,0
scenario327,0,40,40,0,80,30,0,40,60,0.6,False,1.108,0
scenario328,0,0,80,60,100,60,80,80,60,0.2,False,1.143,0
scenario329,1,20,100,100,40,-60,0,20,100,1.0,False,0.86,0
scenario330,0,100,40,60,100,60,0,60,20,0.4,False,1.101,0
scenario331,1,100,60,20,20,-30,20,20,0,0.4,False,0.942,0
scenario332,1,60,80,0,20,30,60,40,0,0.8,False,0.731,0
scenario333,1,0,80,60,80,30,80,80,60,0.1,False,0.784,0
