feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,40,20,60,60,-90,0,60,60,1.0,False,1.453,0
left,80,100,40,60,-90,20,40,80,1.0,False,0.973,0
right,0,100,20,60,60,80,80,100,1.0,False,0.957,0
right,20,100,100,100,90,100,100,80,0.2,False,1.625,0
left,100,0,60,60,-30,40,100,100,0.1,False,1.354,0
right,20,60,100,100,60,20,40,60,0.6,False,0.784,0
right,0,80,60,80,60,100,20,100,0.4,False,0.875,0
left,60,60,0,0,-30,80,20,20,1.0,False,1.375,0
left,80,40,0,80,0,80,20,100,0.6,False,1.356,0
left,100,40,80,40,0,100,60,20,1.0,False,1.349,0
left,60,80,0,100,30,40,100,0,0.4,False,1.444,0
right,60,60,0,0,-90,60,60,100,1.0,False,1.438,0
right,80,40,0,20,-30,100,60,80,0.2,False,1.078,0
right,60,20,20,20,90,0,100,20,0.6,False,0.723,0
left,20,40,100,100,90,60,60,40,0.8,False,1.044,0
left,60,40,20,40,60,60,100,40,0.6,False,1.397,0
left,60,0,100,40,-30,20,100,40,0.4,False,1.187,0
right,60,60,80,100,-90,100,40,20,0.4,False,2.171,0
right,0,0,80,40,90,20,80,40,1.0,False,0.768,0
left,100,0,20,0,60,40,40,80,0.1,False,1.439,0
left,20,20,60,40,90,20,20,60,0.8,False,1.464,0
left,80,100,80,0,60,80,100,40,0.2,False,1.349,0
right,100,20,80,0,60,60,100,0,0.8,False,0.877,0
left,40,60,20,20,0,60,80,0,0.6,False,1.489,0
right,20,100,60,20,0,20,80,80,1.0,False,1.445,0
left,20,40,60,100,30,60,100,40,0.6,False,1.35,0
right,60,60,100,0,-60,100,40,100,1.0,False,0.779,0
left,0,80,0,100,60,40,0,80,0.6,False,1.402,0
right,20,0,20,100,0,100,20,40,0.1,False,1.874,0
right,40,60,80,80,90,20,40,60,0.4,False,0.885,0
right,40,80,0,40,-30,40,60,60,0.4,False,0.955,0
right,80,40,20,100,0,0,40,20,0.4,False,0.821,0
right,20,80,100,0,90,0,60,100,0.8,False,0.849,0
right,80,80,0,60,-30,0,0,0,0.2,False,1.431,0
right,80,100,0,80,30,80,60,80,0.2,False,0.947,0
left,20,0,100,100,0,100,20,0,1.0,False,1.363,0
left,0,60,0,100,-90,40,20,40,0.8,False,0.989,0
right,40,20,60,0,-30,0,60,80,1.0,False,1.289,0
left,60,80,80,0,90,0,60,80,1.0,False,1.37,0
right,60,0,0,100,0,80,80,100,0.2,False,1.877,0
right,60,80,0,0,60,60,20,20,1.0,False,2.224,0
left,60,0,0,100,60,0,0,20,0.1,False,1.952,0
left,60,0,40,100,30,20,60,100,1.0,False,2.039,0
left,0,40,100,100,60,20,100,0,0.4,False,1.353,0
right,60,100,40,0,60,0,0,0,0.1,False,1.949,0
left,60,40,40,100,30,20,60,80,0.1,False,1.605,0
right,40,80,100,60,0,100,20,20,0.1,False,1.81,0
right,100,20,100,60,0,60,60,40,0.8,False,0.843,0
right,40,40,0,80,60,100,80,40,0.8,False,1.216,0
