feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,0,80,80,100,-90,100,0,0,0.2,False,0.539,0
right,100,80,100,0,-30,20,0,40,0.6,False,1.074,0
right,0,0,0,100,-60,20,0,40,0.6,False,0.87,0
right,80,100,40,40,30,0,100,20,1.0,False,1.089,0
right,100,0,20,0,-30,80,40,100,0.2,False,0.899,0
left,20,60,100,80,-90,80,0,40,0.4,False,0.915,0
left,20,100,20,40,-30,40,100,20,0.8,False,1.39,0
right,0,0,0,100,-60,0,0,40,0.6,False,0.736,0
right,100,60,60,20,60,0,20,0,1.0,False,0.734,0
right,20,100,20,60,0,100,0,100,0.6,False,0.838,0
right,80,100,60,40,60,100,100,0,1.0,False,1.966,0
left,20,100,20,40,-30,40,100,60,0.8,False,1.428,0
right,0,0,20,100,0,20,20,40,0.6,False,1.581,0
right,80,100,60,20,30,60,100,0,1.0,False,0.77,0
right,100,60,60,20,60,0,20,0,1.0,False,1.488,0
right,0,40,80,20,90,0,40,0,0.8,False,1.879,0
right,100,60,60,20,60,0,60,0,0.8,False,0.742,0
right,100,60,40,20,-30,20,20,0,1.0,False,2.075,0
left,100,40,0,0,60,0,0,0,1.0,False,1.377,0
right,100,60,60,40,30,0,20,20,0.4,False,1.618,0
left,100,60,100,20,90,0,40,0,0.2,False,1.354,0
right,80,20,60,20,30,0,20,0,1.0,False,0.766,0
right,80,60,40,20,-30,0,40,0,1.0,False,1.77,0
right,100,80,40,40,90,0,20,20,1.0,False,1.479,0
right,80,80,0,0,-90,0,20,0,1.0,False,0.891,0
left,100,100,60,40,-60,0,20,0,1.0,False,1.488,0
right,100,60,60,20,60,0,60,0,0.8,False,0.743,0
right,80,100,0,0,-60,0,20,20,1.0,False,0.851,0
left,20,40,100,40,90,0,40,100,0.4,False,1.416,0
left,60,20,20,0,-90,0,0,0,0.8,False,1.374,0
left,80,60,60,60,30,20,20,40,0.4,False,1.164,0
left,100,100,0,0,-60,0,0,0,0.8,False,1.363,0
right,100,80,20,20,60,100,60,0,1.0,False,2.077,0
right,100,80,20,40,90,0,20,20,1.0,False,0.957,0
right,100,80,60,40,30,20,0,20,0.4,False,0.547,0
right,80,80,20,0,-90,20,40,0,1.0,False,0.831,0
right,0,40,80,40,60,0,60,80,0.8,False,0.794,0
left,80,80,60,20,-30,0,40,20,1.0,False,1.527,0
right,100,80,60,40,30,20,0,20,0.4,False,0.74,0
right,20,80,20,0,90,100,60,40,1.0,False,1.981,0
left,0,40,100,100,60,0,80,80,0.8,False,1.337,0
right,80,100,80,60,90,60,20,20,0.2,False,0.962,0
right,80,80,0,0,-90,0,40,0,0.8,False,1.098,0
right,0,40,80,0,90,0,80,100,0.8,False,1.048,0
right,100,60,80,40,60,0,60,20,1.0,False,1.92,0
left,80,100,0,0,30,0,40,20,0.8,False,1.355,0
right,100,60,40,20,90,100,80,0,1.0,False,1.899,0
right,0,40,0,60,30,20,60,100,0.6,False,0.759,0
right,60,100,60,20,-30,0,60,20,0.1,False,0.76,0
right,80,100,0,20,-90,60,20,20,0.8,False,0.958,0
right,100,80,60,40,30,20,0,20,0.4,False,0.482,1
left,0,20,100,100,90,20,100,60,0.8,False,1.374,0
left,80,60,100,40,60,0,0,40,1.0,False,1.347,0
left,0,0,80,100,30,20,100,100,0.8,False,1.38,0
left,80,80,80,20,-60,20,60,0,0.1,False,1.446,0
left,60,100,20,0,0,0,40,40,0.6,False,1.642,0
right,100,80,0,20,-90,0,60,0,0.8,False,1.144,0
right,40,80,40,60,0,0,0,20,0.4,False,0.827,0
right,0,60,80,0,90,0,80,100,0.6,False,3.162,0
right,20,40,60,60,60,20,60,100,0.6,False,0.829,0
right,80,20,100,60,0,0,60,100,0.6,False,0.808,0
left,20,60,40,0,90,100,60,40,1.0,False,1.425,0
right,100,80,60,40,30,20,0,20,0.4,False,0.715,0
right,80,60,0,0,-90,0,80,0,0.8,False,0.806,0
right,80,60,40,60,60,40,20,20,0.2,False,0.872,0
right,80,100,0,0,-30,20,20,0,0.2,False,0.737,0
left,100,60,0,20,60,60,80,0,0.6,False,1.342,0
left,100,80,80,40,60,0,100,60,0.8,False,1.384,0
left,60,100,100,40,-60,40,80,0,0.1,False,1.395,0
right,40,80,40,60,-30,0,0,40,0.6,False,1.911,0
left,0,80,40,0,-60,40,60,100,0.1,False,1.426,0
left,40,60,40,60,0,100,20,20,0.2,False,1.335,0
left,60,80,80,40,-90,20,60,20,0.2,False,1.389,0
right,40,20,60,80,30,20,0,20,0.6,False,0.677,0
right,0,0,0,100,-60,20,0,40,0.6,False,1.003,0
right,100,100,40,0,0,60,60,100,0.2,False,0.908,0
right,0,100,60,20,-90,40,100,0,1.0,False,0.854,0
right,20,100,0,60,-60,20,20,40,0.6,False,0.774,0
right,40,0,0,40,90,100,40,100,0.8,False,1.015,0
