feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,0,80,20,60,90,0,20,60,0.2,False,1.199,0
right,0,0,0,0,90,40,60,60,0.2,False,0.808,0
right,0,60,0,80,30,80,20,40,0.4,False,0.901,0
left,20,0,0,20,90,20,100,20,1.0,False,1.159,0
left,0,60,0,80,90,20,80,60,0.1,False,1.146,0
left,0,80,20,40,60,20,20,20,0.1,False,1.182,0
right,20,40,0,60,60,40,80,80,0.1,False,0.779,0
left,20,0,20,100,60,0,20,0,1.0,False,1.164,0
right,100,40,0,80,60,40,100,60,0.4,False,0.778,0
left,40,0,100,20,90,40,100,20,0.2,False,1.175,0
right,20,0,20,0,90,100,60,60,0.2,False,0.819,0
left,100,20,0,80,-30,40,80,100,1.0,False,1.132,0
left,40,80,0,100,60,0,20,0,0.8,False,1.2,0
left,20,0,0,20,90,20,80,40,1.0,False,1.222,0
right,60,0,20,40,-30,80,60,60,0.8,False,0.971,0
right,0,0,0,40,-30,60,80,100,1.0,False,0.876,0
right,0,20,20,40,60,60,80,100,0.4,False,0.794,0
left,0,0,0,40,0,0,100,20,1.0,False,1.096,0
left,40,40,20,60,60,40,80,20,0.1,False,1.241,0
left,40,20,0,60,60,20,100,60,0.2,False,1.133,0
right,100,40,0,80,60,40,100,60,0.4,False,0.791,0
right,40,20,0,20,-60,60,100,80,0.8,False,4.764,0
right,0,0,60,20,60,60,60,80,0.4,False,0.873,0
left,40,100,0,100,30,20,20,0,1.0,False,0.947,0
right,0,40,0,80,0,0,80,0,1.0,False,0.973,0
left,20,0,40,40,60,40,100,20,0.2,False,1.112,0
right,20,100,0,60,-30,60,80,100,1.0,False,0.957,0
right,100,40,0,80,-60,60,20,80,0.8,False,1.058,0
left,100,40,20,100,60,40,80,60,1.0,False,1.227,0
right,0,0,0,0,90,0,60,40,1.0,False,0.789,0
left,0,0,80,20,-60,20,100,20,1.0,False,1.041,0
left,40,20,0,0,-60,80,60,60,0.2,False,1.051,0
right,0,20,0,80,90,20,40,60,0.2,False,0.842,0
right,0,20,20,60,30,60,20,20,0.1,False,0.817,0
right,60,20,20,100,90,20,40,20,0.1,False,0.784,0
left,100,100,0,100,90,20,0,0,0.1,False,1.219,0
right,0,20,0,0,0,60,40,80,0.8,False,0.862,0
right,60,20,20,60,90,0,20,40,0.1,False,0.783,0
right,0,60,0,80,-90,0,20,40,0.1,False,0.819,0
left,40,80,60,20,30,60,60,80,1.0,False,1.09,0
right,80,0,0,40,90,0,20,20,0.2,False,0.825,0
right,0,60,20,80,-90,0,0,20,0.1,False,0.925,0
left,20,20,100,40,90,0,20,60,0.1,False,1.188,0
right,20,20,0,60,60,40,60,60,0.2,False,0.968,0
right,60,20,20,60,90,0,20,40,0.1,False,1.047,0
