feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
right,100,40,100,60,30,60,20,40,0.2,False,2.197,0
left,80,80,40,100,60,80,40,80,0.2,False,0.819,0
left,0,80,20,60,-60,20,60,0,0.6,False,1.414,0
right,100,40,80,20,-30,80,0,80,0.6,False,0.992,0
left,0,80,100,60,0,20,40,20,0.4,False,1.715,0
right,40,100,20,60,-60,60,60,40,0.8,False,1.028,0
left,0,60,20,80,90,0,100,100,0.8,False,1.357,0
left,0,20,60,60,-90,60,0,80,0.8,False,1.476,0
right,40,0,0,100,-90,60,20,40,1.0,False,0.765,0
right,0,20,20,40,0,20,100,0,0.2,False,1.793,0
left,40,40,0,60,-90,100,40,0,0.4,False,1.684,0
right,20,100,60,100,0,100,0,0,0.6,False,2.035,0
right,60,20,80,0,-60,100,60,60,0.1,False,0.949,0
left,40,0,40,100,-60,20,60,60,0.6,False,1.539,0
left,80,40,40,20,30,100,80,80,0.4,False,1.487,0
left,100,60,80,60,90,0,0,40,0.4,False,1.42,0
left,60,100,40,100,30,0,0,20,0.4,False,1.403,0
right,80,0,100,0,-30,100,100,60,0.8,False,0.751,0
right,100,0,60,40,0,100,0,100,0.2,False,1.636,0
left,100,20,60,20,0,80,20,100,1.0,False,1.377,0
left,100,80,60,60,60,0,0,60,0.1,False,1.374,0
right,60,60,80,80,-60,60,20,0,0.4,False,1.962,0
left,40,40,60,40,-30,60,60,20,0.6,False,1.479,0
right,60,20,100,60,90,100,100,0,0.2,False,2.523,0
right,0,20,60,40,30,20,100,40,0.6,False,1.825,0
left,40,100,100,60,60,100,40,100,0.8,False,1.372,0
left,0,60,100,100,-60,60,20,0,0.4,False,0.76,0
right,80,0,0,40,90,40,0,60,0.4,False,0.756,0
left,0,0,20,80,30,100,100,40,0.1,False,1.459,0
right,0,100,40,40,-60,80,80,100,0.2,False,0.747,0
right,100,0,100,60,-30,0,80,80,0.1,False,0.82,0
right,80,40,80,20,60,40,100,40,0.6,False,0.658,0
left,40,100,60,80,30,100,60,100,1.0,False,1.371,0
right,20,60,80,40,0,0,0,80,0.1,False,0.779,0
right,80,80,100,80,-60,0,40,0,0.6,False,0.848,0
left,20,80,0,20,-90,0,20,0,0.4,False,1.38,0
left,60,100,40,60,90,0,40,40,0.2,False,1.462,0
