feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
30,right,1.0,40,0,40,40,60,80,80,0,0.908266869806415,101.08577942848206,0
0,left,0.8,80,100,20,60,0,20,40,0,1.3613147891409143,83.60681653022766,0
-30,left,0.6,80,0,20,0,0,80,100,0,1.4100017556882083,83.09682202339172,0
90,right,0.4,80,60,0,0,80,40,0,0,2.3639137024377,111.57659792900084,0
0,left,0.6,80,40,60,0,60,60,0,0,1.3426141291595204,82.18490052223206,0
0,right,1.0,20,80,0,80,100,80,0,0,0.8875021764048294,93.50978541374208,0
0,right,1.0,80,20,20,20,80,0,20,0,1.7424952916402825,171.78804898262024,0
-30,right,0.8,60,80,20,80,0,0,60,0,0.848519781987128,114.38144016265868,0
0,right,0.8,100,80,20,20,40,40,60,0,1.847931280475054,181.4987931251526,0
30,left,0.6,100,20,40,80,60,100,0,0,1.370446628940646,80.35489797592163,0
-60,right,0.1,80,0,60,40,20,40,60,0,1.3693975928953783,157.34514451026917,0
60,left,0.4,40,80,60,0,20,100,40,0,1.4277586615418183,74.77289319038391,0
-90,left,0.4,40,100,80,80,0,20,80,0,1.4500866748929346,85.0650737285614,0
-30,right,0.1,20,60,40,100,100,60,0,0,0.7114771727925254,97.26693153381348,0
60,left,0.6,60,40,0,60,80,80,80,0,1.4596356310836314,75.69902276992798,0
60,left,1.0,100,80,100,60,60,0,40,0,1.3345491817587647,78.02233481407166,0
-60,left,0.1,40,40,20,20,60,40,20,0,0.9214261654162804,102.61658716201782,0
0,right,0.4,80,0,0,100,20,80,100,0,0.6344550246420744,90.99474692344666,0
0,right,0.1,80,80,0,40,80,60,40,0,1.7556640222168225,172.86391687393188,0
0,right,0.8,0,40,100,60,40,100,60,0,0.8425858221372513,109.50134468078612,0
60,right,0.8,60,40,60,60,80,0,20,0,0.8579755896295375,107.52438640594482,0
90,left,0.4,60,40,60,100,20,20,20,0,1.3457495428253632,79.8370885848999,0
-90,left,0.6,100,60,60,60,20,0,0,0,1.2978822468818665,82.26888942718506,0
-90,right,0.2,0,20,40,100,80,60,100,0,0.7727939283607743,90.31145191192628,0
0,left,0.6,60,40,20,100,100,40,80,0,1.480254742502101,80.5736072063446,0
30,left,0.2,40,0,100,100,100,80,20,0,1.3240758986511874,78.1309859752655,0
30,right,0.8,80,60,60,100,60,100,20,0,1.8280004653212596,165.66380953788757,0
-60,right,0.4,80,20,0,60,0,100,100,0,0.8699149768805168,118.73226404190063,0
-60,left,0.8,0,60,80,100,0,80,80,0,1.51243427821594,82.71584129333496,0
0,right,0.6,40,60,60,80,40,60,0,0,1.0688191068951098,105.54409098625185,0
-90,left,0.6,80,100,40,100,40,20,60,0,1.3894550136090809,81.86742758750916,0
