feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
right,60,20,0,20,0,40,60,40,0.6,False,0.811,0
left,40,40,20,100,60,60,80,80,0.2,False,1.201,0
right,0,20,40,0,0,40,80,60,0.4,False,0.78,0
right,40,60,100,80,-60,40,40,80,1.0,False,0.9,0
left,60,40,20,60,-30,40,100,100,1.0,False,2.777,0
right,80,20,40,60,-30,60,40,0,0.8,False,0.741,0
left,80,80,20,100,90,80,0,100,0.6,False,1.254,0
left,60,40,100,0,90,60,100,60,0.2,False,1.117,0
right,20,40,100,20,60,60,60,0,0.6,False,0.78,0
right,80,60,80,80,90,100,60,80,0.1,False,0.893,0
right,100,80,80,100,-90,0,20,100,1.0,False,4.645,0
right,20,100,80,0,30,100,100,100,0.6,False,0.861,0
right,60,0,0,0,-30,20,80,100,0.8,False,0.938,0
left,60,40,60,60,90,100,80,100,0.8,False,1.064,0
left,40,0,60,0,-30,60,0,0,1.0,False,1.089,0
left,40,40,40,60,90,20,80,60,0.4,False,1.13,0
right,0,60,100,100,0,40,0,40,0.1,False,0.949,0
left,0,40,100,0,60,20,100,20,0.8,False,1.198,0
left,80,20,40,80,0,60,20,60,1.0,False,1.136,0
left,20,100,100,60,0,0,100,80,0.2,False,1.079,0
right,80,60,60,0,60,20,20,40,1.0,False,0.726,0
left,80,0,80,20,-30,40,20,60,0.1,False,1.216,0
right,100,60,80,100,-30,80,60,80,0.6,False,0.962,0
left,40,40,60,80,-60,100,100,40,0.8,False,1.051,0
left,100,20,40,0,-60,40,0,20,0.4,False,1.059,0
left,80,60,60,80,-60,80,60,60,0.2,False,1.061,0
right,100,80,100,100,-60,80,20,60,0.4,False,0.847,0
left,20,40,60,80,-90,40,0,60,0.2,False,0.973,0
left,60,80,80,100,0,60,100,60,0.6,False,1.055,0
right,60,20,0,80,-90,20,40,0,0.4,False,0.735,0
left,80,40,20,60,30,100,60,80,0.8,False,1.177,0
