feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,100,40,100,100,-30,0,40,60,0.1,False,1.075,0
left,60,40,20,80,-60,60,20,100,1.0,False,1.041,0
right,60,100,20,0,30,0,40,0,0.6,False,0.84,0
right,80,60,100,40,30,100,100,0,0.4,False,0.98,0
left,100,60,60,100,90,100,100,40,0.8,False,1.061,0
left,40,80,60,80,0,20,0,60,0.8,False,1.11,0
right,0,40,20,80,-90,60,60,60,0.2,False,0.889,0
left,20,60,20,20,60,20,0,40,1.0,False,1.208,0
left,40,60,20,100,-60,60,20,20,0.1,False,11.798,0
right,80,0,0,100,-60,20,40,60,0.4,False,0.889,0
right,80,100,80,80,-90,20,80,20,0.8,False,0.944,0
left,40,0,100,80,-90,80,60,40,0.4,False,1.071,0
left,20,80,60,80,60,40,60,0,1.0,False,1.233,0
right,0,0,40,100,0,80,20,60,0.2,False,0.942,0
right,0,80,0,0,30,80,20,60,1.0,False,0.906,0
left,100,20,40,60,-30,60,0,40,0.6,False,1.057,0
right,80,100,20,0,30,20,80,20,0.6,False,0.892,0
left,80,20,20,20,-30,100,60,80,0.2,False,1.085,0
right,20,80,20,80,-90,0,100,80,1.0,False,4.996,0
left,0,0,100,60,-90,60,40,0,0.4,False,1.166,0
right,100,40,0,0,90,40,100,40,0.8,False,0.844,0
right,0,60,0,80,-90,40,40,40,0.2,False,0.991,0
left,60,100,40,20,90,80,80,20,0.8,False,1.15,0
left,40,80,20,40,-30,20,100,20,0.1,False,1.068,0
right,100,40,80,100,60,20,80,40,0.2,False,0.83,0
right,40,20,100,60,-30,100,0,0,1.0,False,0.897,0
left,20,40,40,80,-60,60,80,80,0.4,False,1.096,0
left,100,40,80,0,-60,40,20,20,0.1,False,1.031,0
right,20,100,60,100,90,100,60,40,0.4,False,0.783,0
right,60,20,60,80,60,100,60,0,0.6,False,0.854,0
left,40,80,60,40,-60,40,60,60,0.6,False,1.119,0
left,80,20,0,0,0,40,20,80,0.4,False,1.136,0
left,0,100,100,100,-30,40,0,40,1.0,False,1.1,0
right,20,60,40,40,-90,40,20,20,0.2,False,0.675,0
right,100,0,0,40,0,60,100,0,0.4,False,0.902,0
left,100,20,60,0,0,20,0,100,1.0,False,1.097,0
right,20,100,60,40,-30,80,60,20,0.2,False,0.994,0
left,20,60,80,0,-30,100,40,0,1.0,False,1.068,0
right,60,20,0,20,90,40,0,80,0.4,False,0.914,0
left,0,20,40,100,60,80,80,100,0.8,False,1.218,0
right,40,60,40,0,-90,80,100,60,0.6,False,0.75,0
left,80,100,0,80,-90,40,40,60,0.8,False,1.025,0
left,80,100,20,40,-60,60,60,80,1.0,False,1.083,0
right,0,100,80,20,60,60,80,20,0.6,False,0.836,0
right,0,20,80,0,0,20,100,20,0.4,False,0.868,0
left,80,80,60,100,-90,0,0,40,1.0,False,1.049,0
right,100,60,100,20,-90,60,80,60,0.6,False,0.893,0
left,0,20,100,0,30,40,40,40,0.8,False,1.184,0
left,40,0,0,80,0,0,100,40,0.8,False,1.2,0
right,60,60,100,20,-30,40,60,80,0.6,False,0.826,0
left,80,0,40,80,30,20,0,0,0.1,False,1.11,0
right,100,40,0,20,-90,0,80,0,1.0,False,0.956,0
right,20,0,80,0,60,20,0,20,0.1,False,0.851,0
right,20,40,40,40,60,80,20,60,0.1,False,0.781,0
left,60,60,20,100,-30,0,100,80,1.0,False,1.118,0
right,60,0,0,60,30,0,80,80,0.1,False,0.781,0
left,20,80,20,100,-30,40,40,80,1.0,False,1.27,0
right,60,0,60,0,60,60,0,60,0.6,False,0.887,0
left,100,40,0,100,-30,60,40,100,0.2,False,1.029,0
left,80,20,100,60,0,100,0,100,0.4,False,1.082,0
right,60,60,40,20,90,100,80,60,0.1,False,0.738,0
left,80,0,80,100,-90,40,40,100,1.0,False,1.017,0
left,100,80,40,60,30,0,0,80,0.8,False,1.073,0
right,20,40,20,60,90,60,40,100,0.4,False,0.759,0
right,100,80,20,80,-30,20,20,20,0.4,False,0.893,0
right,60,40,60,40,60,80,0,20,0.1,False,0.846,0
left,100,20,40,100,-30,60,40,0,0.8,False,1.05,0
right,60,80,40,0,30,60,80,60,0.6,False,0.858,0
left,20,60,20,40,0,0,20,0,0.8,False,1.088,0
right,0,100,0,80,-90,20,100,20,0.4,False,0.827,0
left,0,80,40,20,-90,0,60,80,1.0,False,1.058,0
left,0,60,40,40,-60,40,60,80,0.4,False,1.235,0
right,80,60,40,80,0,20,100,20,1.0,False,0.81,0
right,20,80,60,40,60,80,100,80,0.8,False,0.774,0
left,80,0,0,100,-60,60,20,60,0.2,False,1.081,0
right,0,100,80,80,-30,20,80,0,0.4,False,0.9,0
right,80,40,60,0,90,20,60,0,0.8,False,0.773,0
left,40,60,100,20,90,40,100,60,0.1,False,1.157,0
right,80,100,100,20,30,40,60,80,0.4,False,0.842,0
left,40,0,80,20,30,40,40,60,0.8,False,1.113,0
left,60,100,100,0,-90,20,100,60,0.1,False,1.049,0
left,80,20,20,20,60,60,40,20,0.6,False,1.176,0
right,40,40,20,80,-30,100,60,80,0.6,False,0.74,0
left,20,60,60,60,60,0,100,20,0.6,False,1.082,0
left,40,0,0,40,-60,80,80,40,0.1,False,1.028,0
right,0,80,80,60,60,100,60,100,1.0,False,0.742,0
right,60,20,0,80,-30,60,20,100,1.0,False,0.719,0
right,40,20,80,0,30,0,80,100,0.2,False,0.803,0
right,100,40,100,60,30,60,20,40,0.2,False,0.734,0
left,80,80,40,100,60,80,40,80,0.2,False,1.118,0
left,0,80,20,60,-60,20,60,0,0.6,False,1.146,0
right,100,40,80,20,-30,80,0,80,0.6,False,0.724,0
left,0,80,100,60,0,20,40,20,0.4,False,1.128,0
right,40,100,20,60,-60,60,60,40,0.8,False,0.94,0
left,0,60,20,80,90,0,100,100,0.8,False,1.171,0
left,0,20,60,60,-90,60,0,80,0.8,False,1.047,0
