feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
-30,20,60,40,80,0,0.6,20,80,left,40,20,60,1e-05,0,0.6081361887202038,22.05105996131897,0
-30,20,100,40,0,0,0.8,20,80,right,40,20,80,1e-05,0,0.9452055737033136,27.593276262283325,0
-90,20,80,0,80,60,0.6,80,20,left,40,20,100,1e-05,0,1.1223194477215634,22.680958032608032,0
30,40,40,20,60,100,0.6,40,60,right,40,40,0,1e-05,0,0.7335204442097257,26.8887631893158,0
-90,20,20,0,0,60,0.1,0,100,left,40,40,20,1e-05,0,1.0863759153872208,22.5417058467865,0
-30,0,100,0,0,0,0.8,80,20,right,40,40,40,1e-05,0,0.9358361452151176,27.53848886489868,0
-30,60,100,60,0,80,0.4,100,0,left,40,40,60,1e-05,0,1.061335460220616,22.722295999526978,0
30,20,80,0,40,60,0.6,100,0,left,40,40,80,1e-05,0,1.10279975368625,22.49244785308838,0
-60,80,40,0,0,0,0.8,80,20,left,40,40,100,1e-05,0,1.0154241738791978,22.91813039779663,0
-60,60,80,0,80,100,0.1,0,100,left,40,60,0,1e-05,0,2.798244430010973,62.99388909339905,0
-90,40,100,40,0,80,0.6,0,100,right,40,60,20,1e-05,0,0.8286549711857287,27.286739349365234,0
0,80,20,0,0,0,0.8,80,20,right,40,60,40,1e-05,0,0.7945506901156385,27.423272848129272,0
90,60,100,0,0,80,0.8,0,100,left,40,60,60,1e-05,0,1.1549965972614258,22.412745475769043,0
-60,80,40,0,60,60,0.6,80,20,left,40,60,80,1e-05,0,1.031281849308006,22.907355070114136,0
-30,40,80,40,0,80,0.4,40,60,right,40,60,100,1e-05,0,0.930858536745445,27.53755760192871,0
30,80,60,0,0,80,0.8,80,20,right,40,80,0,1e-05,0,0.8462902206957537,26.680623292922974,0
0,40,20,20,40,40,0.6,0,100,right,40,80,20,1e-05,0,0.7736558517556135,27.45140027999878,0
30,80,100,0,100,40,0.4,80,20,right,40,80,40,1e-05,0,0.9126852744914188,27.126879930496216,0
90,20,40,40,60,40,0.6,100,0,right,40,80,60,1e-05,0,0.8683905193091538,26.760960578918457,0
-30,60,20,100,40,40,0.8,20,80,left,40,80,80,1e-05,0,1.089322509951003,22.89286184310913,0
60,20,100,40,20,40,0.8,40,60,right,40,80,100,1e-05,0,0.9051139327227462,27.222589015960693,0
-90,40,40,0,60,60,0.6,0,100,right,40,100,0,1e-05,0,0.8314889884983154,26.65460848808289,0
