instances,feature_timeofday,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario126,30,c1,0,1,1,2,0.4,60,100,60,100,20,80,60,0,3.17832353680599,0
scenario127,60,c1,1,2,0,2,0.1,20,20,20,40,80,40,20,0,4.452475049018055,0
scenario128,90,c1,0,2,1,2,0.1,60,20,40,20,40,40,20,1,2778.0092976204774,1
scenario129,90,c2,0,1,2,0,0.6,0,60,20,40,100,60,40,0,1.685479780805149,0
scenario130,-30,c2,0,1,2,1,0.4,20,60,100,80,60,80,20,0,3.467039422437731,0
scenario131,0,c1,1,2,0,1,0.6,0,80,80,80,20,60,100,0,4.269094193126836,0
scenario132,60,c1,0,1,1,2,0.2,20,100,100,100,20,60,100,0,2.5905752423267683,0
scenario133,-90,c2,2,1,0,1,0.6,60,40,20,20,80,60,100,0,3.880596743583446,0
scenario134,-30,c2,2,0,0,1,0.4,0,20,100,40,40,100,80,0,3.640290389632568,0
scenario135,90,c2,0,1,2,0,0.4,80,40,40,100,80,60,60,0,1.17562015900706,0
scenario136,0,c1,1,2,0,2,0.1,60,20,20,60,100,20,80,0,3.53590983117267,0
scenario137,0,c2,0,1,2,1,0.4,80,100,20,20,20,40,80,0,2.731574105405856,0
scenario138,30,c1,0,2,1,2,0.2,80,20,20,100,40,80,20,0,2.750389755240401,0
scenario139,30,c4,1,2,2,0,0.1,80,60,40,20,100,20,80,0,4.135280048996773,0
scenario140,60,c4,1,0,2,0,0.1,20,80,20,20,100,20,60,0,2.879376800054287,0
scenario141,90,c2,2,1,0,1,0.4,60,100,100,80,80,40,100,0,3.040726918698383,0
scenario142,0,c4,2,0,1,2,0.6,20,20,40,80,40,60,60,0,1.0184709420108402,0
scenario143,90,c2,2,0,0,1,0.8,0,80,40,60,20,60,100,0,2.496645263850178,0
scenario144,-30,c2,0,1,2,0,0.6,60,100,100,40,100,80,80,0,1.7633819189112232,0
scenario145,90,c4,2,0,1,0,0.6,20,40,20,20,20,20,60,0,3.567523109455655,0
scenario146,0,c4,1,2,2,0,0.4,80,20,40,60,100,20,100,0,5.515399582163197,0
scenario147,-90,c4,1,0,2,0,0.1,20,20,40,60,80,20,60,0,2.6518568260376814,0
scenario148,0,c4,2,0,1,2,0.6,20,60,100,60,20,60,100,0,1.2192295250583198,0
scenario149,0,c1,1,2,0,1,0.1,0,80,60,80,40,80,20,0,3.4144539957271856,0
scenario150,30,c4,2,0,1,0,0.6,20,80,40,60,80,80,60,0,2.737449271581644,0
scenario151,60,c4,1,2,2,0,0.6,80,100,20,60,80,20,80,0,3.5881061176936377,0
scenario152,-90,c2,0,1,2,1,0.6,0,60,20,40,40,40,100,0,2.755586116540669,0
scenario153,-90,c4,1,0,2,0,0.4,0,80,100,100,60,80,80,0,2.357457039836042,0
scenario154,60,c4,2,0,1,2,0.2,0,60,100,20,100,80,100,0,1.0097437573107624,0
scenario155,0,c4,2,0,1,0,0.4,80,40,100,60,80,80,100,0,2.3595334599115256,0
scenario156,30,c4,1,2,2,0,0.4,80,40,100,20,40,20,60,0,4.121337312438325,0
scenario157,60,c4,1,0,2,0,0.4,20,100,100,60,40,80,60,0,2.71780346639678,0
scenario158,90,c4,2,0,1,2,0.4,80,20,100,60,20,80,80,0,0.9084821284212932,0
scenario159,90,c4,2,0,1,0,0.1,0,60,100,20,80,60,60,0,2.8472065045140647,0
scenario160,90,c4,1,2,2,0,0.4,80,80,20,0,40,80,80,0,2.765129853952637,0
scenario161,-30,c4,1,0,2,0,0.4,0,60,40,60,40,20,0,0,2.802581975509891,0
scenario162,-60,c4,2,0,1,2,1.0,20,0,0,0,0,0,80,0,1.0192886343422582,0
scenario163,0,c4,2,0,1,0,0.6,0,20,20,0,20,0,0,0,2.8493406675663056,0
scenario164,30,c4,1,2,2,0,1.0,0,40,0,0,0,0,0,0,4.121953270008937,0
scenario165,-60,c4,1,0,2,0,1.0,0,100,0,0,0,0,0,0,2.512366058015644,0
