PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,StartEgo,Min_TTC,Collision_Occurred
c2,left,40,1.0,60,right,0,40,40,base,60,100,base,2.272733702128353,False
c4,base,40,0.4,80,right,60,100,60,base,20,80,left,3.7560555036351,False
c1,left,0,0.2,40,left,0,80,20,right,0,40,base,2.807308016418592,False
c2,base,80,0.1,0,base_left_lane,20,100,40,left,80,100,right,2.7605180525392656,False
c4,base,60,0.4,60,left,100,80,80,right,40,0,right,1.0656589450175329,False
c1,right,80,0.8,20,left,20,0,20,right,40,60,base,3.1297904106526073,False
c1,right,0,1.0,80,base_left_lane,100,100,80,left,60,0,left,0.7713655525353137,False
c4,base,100,0.6,60,left,20,80,40,base,60,40,right,3.345710031668768,False
c4,base,100,0.6,40,left,40,100,100,base,40,20,right,2.536546038738193,False
c4,base,80,0.1,100,left,0,100,40,base,0,80,right,82.40090520935306,False
c1,right,0,0.6,100,base_left_lane,100,60,20,left,80,60,left,0.8135555596286447,False
c2,left,100,0.1,80,right,20,0,40,left,60,80,base,3.197407569615907,False
c2,left,40,0.8,0,base_left_lane,20,80,100,left,60,80,right,3.484997272912333,False
c4,base,40,1.0,40,right,20,100,80,base,40,0,left,2.43238554401236,False
c1,right,20,0.1,20,left,0,80,0,right,100,100,base,2.2182340025306826,False
c2,base,0,0.4,0,base_left_lane,60,80,60,left,60,0,right,2.5673435890537806,False
c4,base,80,0.6,40,right,60,0,20,base,40,40,left,0.0,True
c4,base,60,1.0,60,left,80,100,0,right,0,40,right,1.0163055815787634,False
c1,left,80,0.8,20,left,0,80,100,right,60,40,base,2.5011420779639923,False
c4,right,100,0.6,20,right,80,20,100,base,0,60,left,4.33944156704164,False
c1,right,100,0.8,20,base,20,60,40,right,0,20,left,5.403263912137525,False
c4,base,40,0.4,60,left,100,0,0,base,20,60,right,33.81119566411808,False
c4,base,40,0.2,80,left,0,20,40,base,60,20,right,22.595815353691105,False
c1,right,100,0.6,60,base_left_lane,80,40,80,left,40,60,left,0.9986098804162399,False
c2,left,60,0.2,20,right,60,60,60,base,80,20,base,2.086452555428518,False
c1,left,40,0.4,80,left,20,40,40,right,100,60,base,2.597005890113968,False
c1,right,0,0.1,20,left,80,40,0,right,0,20,base,3.2074893848198176,False
c2,left,100,0.2,60,right,0,0,60,left,80,40,base,3.4560717454768,False
c1,right,0,1.0,0,left,100,0,20,right,80,40,base,2.9093130686016226,False
c1,left,20,0.1,100,left,40,40,40,right,40,0,base,3.3615970068253995,False
c4,base,20,1.0,40,left,80,60,100,base,40,80,right,3.6091431278666932,False
c4,base,100,1.0,60,left,60,100,60,right,40,100,right,1.1326317138333881,False
c2,left,40,0.8,40,right,40,60,0,base,20,20,base,1.710096939445036,False
c4,right,60,1.0,40,right,40,20,100,base,20,40,left,0.0,True
c4,base,60,0.6,60,left,0,20,20,right,0,0,right,0.9067979604468102,False
c4,right,80,0.1,0,right,40,40,40,base,80,60,left,4.763380190786365,False
c2,base,80,0.2,100,base_left_lane,40,20,80,left,100,100,right,2.533512000075765,False
c2,base,100,0.6,100,base_left_lane,80,60,60,left,60,100,right,4.760468940659758,False
c2,left,0,0.4,80,right,100,100,20,base,20,100,base,2.021998623431128,False
c4,base,0,0.1,80,left,60,80,60,base,100,60,right,5.601677245437461,False
c1,right,20,0.6,100,base,80,80,80,right,40,60,left,5.471755314262322,False
c4,base,80,0.4,80,left,40,80,80,right,100,100,right,0.0,True
c2,left,80,1.0,0,right,0,0,80,base,100,20,base,1.9617411330150591,False
c4,base,20,0.1,40,right,40,100,20,base,20,40,left,3.5588690620935792,False
c1,right,40,0.8,0,left,0,80,0,right,80,80,base,1.201277844058603,False
c1,right,60,0.2,60,base_left_lane,100,0,80,left,60,60,left,0.9563145095335983,False
c4,base,80,0.1,0,right,0,40,80,base,80,20,left,3.372493655805577,False
c1,right,40,0.1,0,base,40,20,40,right,20,100,left,6.0260895371343555,False
c1,left,20,1.0,60,left,100,40,100,right,60,100,base,2.372062169954768,False
c4,base,100,0.8,60,left,80,100,100,base,100,80,right,25.367622267614863,False
c4,base,40,0.6,20,left,100,80,80,right,20,60,right,1.3268206301819974,False
c1,right,0,0.8,20,left,100,60,40,right,40,20,base,3.3591768579644574,False
c2,left,0,0.4,20,right,20,0,0,base,0,0,base,1.816159352276788,False
c2,base,40,0.4,80,base_left_lane,40,0,40,left,20,100,right,2.609319549872598,False
c1,right,0,0.6,40,base_left_lane,40,100,80,left,60,20,left,0.9493108172502599,False
c2,left,20,1.0,80,right,0,20,100,left,40,0,base,3.6557418321356625,False
c4,base,100,0.2,20,right,0,100,60,base,40,100,left,2.5538111550136784,False
c4,base,0,0.6,0,left,0,100,60,base,80,0,right,3.4953150070107575,False
c1,right,80,0.1,80,left,20,40,80,right,100,100,base,3.0906758900006293,False
c1,right,0,0.8,80,base,80,40,60,right,80,80,left,4.167006854266759,False
c1,left,100,0.1,0,left,0,60,0,right,60,80,base,2.813241770802297,False
c4,base,80,0.2,20,left,80,80,20,base,40,40,right,2.601202298304838,False
c1,left,20,0.2,80,left,0,0,20,right,0,80,base,2.588351411853714,False
c2,left,40,0.4,60,right,80,100,40,base,20,40,base,1.6203498035926633,False
c2,left,40,0.8,40,right,80,0,100,base,20,0,base,2.0638267576817793,False
c4,right,60,0.6,20,right,40,80,100,base,80,80,left,0.0,True
c2,left,40,0.1,80,base_left_lane,80,40,80,left,100,0,right,3.4441223058123627,False
c2,base,0,0.6,100,base_left_lane,20,80,60,left,100,60,right,4.260690335135327,False
c4,right,60,0.2,0,right,60,60,80,base,60,60,left,4.861464807078982,False
c2,left,20,1.0,20,right,100,0,0,left,40,100,base,3.407696536554028,False
c4,base,80,0.8,100,left,100,40,20,right,80,100,right,1.0126985789846905,False
c2,base,20,1.0,60,base_left_lane,80,40,0,left,0,60,right,3.717163677984289,False
c1,right,80,0.6,60,left,100,20,20,right,100,20,base,3.1510999762655856,False
c4,base,100,0.4,100,right,80,100,60,base,100,20,left,1.644445639520954,False
c1,right,60,0.2,60,base,40,60,60,right,40,100,left,3.891449879556929,False
c2,left,80,0.8,0,right,0,0,0,left,60,60,base,3.405231606865662,False
c4,right,20,0.2,80,right,60,40,0,base,100,80,left,0.0,True
c2,base,0,1.0,100,base_left_lane,100,40,40,left,100,0,right,4.016607524605182,False
c1,left,0,0.1,60,left,20,100,80,right,0,60,base,3.169487074236254,False
c4,base,40,1.0,100,left,20,60,60,right,0,20,right,1.2356162812394023,False
c1,left,20,0.6,0,left,20,100,40,right,60,80,base,1.9390961818006445,False
c1,right,60,0.4,80,left,0,40,20,right,60,40,base,2.064880690376331,False
c2,left,0,1.0,40,base_left_lane,60,100,80,left,40,40,right,2.700769704619895,False
c1,right,80,0.2,100,left,60,20,100,right,40,0,base,2.585145065315063,False
c4,base,0,0.2,0,left,40,80,60,base,20,80,right,2.422413368628837,False
c2,base,100,0.4,0,base_left_lane,40,80,80,left,40,100,right,2.8251192360335566,False
c4,base,20,0.4,80,right,60,0,100,base,20,0,left,2.3990978679556854,False
c1,right,0,0.6,20,base_left_lane,80,100,60,left,80,100,left,0.7765612473224348,False
c2,base,100,0.2,60,base_left_lane,0,60,0,left,60,80,right,4.371019599498308,False
c1,right,80,0.6,80,base,100,20,20,right,80,40,left,5.758748472461353,False
c2,left,0,1.0,20,right,0,20,80,left,40,0,base,3.113589176089305,False
c2,base,60,0.6,80,base_left_lane,40,100,20,left,0,100,right,4.32278441808359,False
c4,base,0,0.8,0,left,40,20,40,right,80,0,right,0.0,True
c1,left,80,0.1,60,left,80,0,100,right,40,60,base,2.5353169968445965,False
c1,right,40,0.4,60,base_left_lane,20,60,0,left,0,40,left,1.0608001910208624,False
c2,left,100,0.1,100,right,80,0,20,left,100,20,base,3.9031397464298676,False
c1,right,100,0.2,100,base,40,0,60,right,80,20,left,5.519910563930268,False
c4,base,60,0.4,0,right,100,80,80,base,0,0,left,2.9534905547071606,False
c2,left,80,0.8,80,right,60,60,100,base,20,0,base,2.41200960842236,False
c4,base,20,0.1,60,left,0,80,40,right,20,60,right,0.0,True
c4,right,60,1.0,20,right,60,40,20,base,40,80,left,4.785067320811936,False
c4,base,60,0.6,40,left,100,80,80,base,0,20,right,3.540834602779282,False
c1,right,40,0.2,20,base,40,100,0,right,60,100,left,6.251777130312664,False
c4,base,40,0.4,20,left,60,20,20,right,0,40,right,1.2840817195041012,False
c1,right,20,0.8,0,base_left_lane,0,80,60,left,80,60,left,0.7397952201845593,False
c1,right,60,1.0,80,left,100,20,80,right,60,100,base,2.762145972824612,False
