Row,startego,goalego,startother,goalother,cloudiness,precipitation,precipitationdeposits,windintensity,fogdensity,fogdistance,wetness,roadfriction
scenario246,2,0,1,2,0,60,100,80,60,100,80,1
scenario247,2,0,1,2,0,80,100,0,60,60,60,0.4
scenario248,2,0,1,2,0,60,40,60,60,80,80,0.8
scenario249,1,0,2,0,20,100,80,0,80,0,100,0.2
scenario250,2,0,1,2,0,100,80,20,80,0,100,0.1
scenario251,2,0,1,2,40,100,80,0,100,0,100,0.2
scenario252,2,0,1,2,0,60,100,80,60,80,100,1
scenario253,2,0,1,2,0,100,80,0,80,20,100,0.4
scenario254,1,2,2,0,0,80,100,80,20,100,80,1
scenario255,0,1,2,0,0,0,20,40,60,40,0,1
scenario256,0,1,2,0,60,0,20,60,80,20,20,0.8
scenario257,0,1,2,0,0,0,20,40,60,20,0,0.8
scenario258,2,0,1,2,0,60,40,60,60,80,80,0.8
scenario259,0,1,2,1,0,60,20,80,60,80,100,0.8
scenario260,2,0,1,2,0,80,60,60,60,80,100,0.6
scenario261,0,1,1,2,0,60,20,40,80,80,0,0.8
scenario262,2,0,1,0,0,40,40,60,80,80,100,0.8
scenario263,2,0,1,2,20,80,0,40,20,20,100,1
scenario264,0,1,2,0,0,80,40,40,100,80,80,0.2
scenario265,0,1,2,1,0,40,40,80,80,80,80,1
scenario266,2,0,1,2,0,40,40,60,60,80,80,0.8
scenario267,0,1,1,2,20,60,40,80,40,60,100,0.8
scenario268,1,2,0,1,20,80,20,100,80,80,100,0.8
scenario269,2,0,1,2,0,80,20,80,80,80,80,0.8
scenario270,2,0,1,2,0,60,40,60,60,80,80,0.8
scenario271,1,2,2,0,20,100,0,40,40,0,0,1
scenario272,2,0,1,2,40,0,20,100,60,80,100,0.1
scenario273,0,1,2,0,20,80,40,40,100,100,80,0.2
scenario274,2,0,1,0,20,80,20,60,60,100,0,0.6
scenario275,1,2,0,1,0,40,40,80,60,100,20,0.8
scenario276,2,0,1,2,40,60,20,60,60,80,60,0.8
scenario277,2,1,0,1,0,80,20,80,40,60,100,0.8
scenario278,0,1,2,1,0,80,80,40,40,40,100,0.6
scenario279,0,1,1,2,0,40,60,40,60,60,80,0.6
scenario280,1,2,0,1,0,100,0,100,80,80,100,1
scenario281,0,1,1,2,40,20,0,60,20,20,60,0.6
scenario282,1,2,2,0,20,100,0,40,40,0,0,1
scenario283,1,2,0,1,0,20,20,40,80,100,40,1
scenario284,1,2,2,0,0,100,20,100,40,60,100,1
scenario285,0,1,2,0,20,60,40,20,100,80,80,0.2
scenario286,2,0,1,2,0,40,40,20,40,60,80,0.6
scenario287,0,1,2,0,20,0,60,60,60,80,100,0.1
scenario288,2,0,1,0,20,80,0,60,40,80,0,0.8
scenario289,0,1,1,2,40,80,20,60,80,80,80,0.8
scenario290,2,1,0,1,0,60,20,100,40,60,100,0.6
scenario291,0,2,1,2,0,80,100,40,40,20,100,0.6
scenario292,2,0,1,2,0,40,60,40,60,60,100,0.6
scenario293,1,2,2,0,20,0,80,100,60,100,80,0.2
scenario294,1,2,2,0,20,100,0,40,40,0,0,1
scenario295,0,1,2,0,20,0,60,80,60,60,60,0.6
scenario296,0,1,1,2,0,100,40,60,100,100,60,1
scenario297,0,1,2,0,0,100,0,100,40,60,100,1
scenario298,1,0,2,0,0,40,60,60,40,40,100,0.4
scenario299,0,1,2,1,20,80,40,100,40,60,80,0.6
scenario300,1,2,0,2,0,100,100,60,20,40,80,0.8
scenario301,2,0,1,0,0,100,20,80,40,60,0,0.8
scenario302,1,2,0,2,0,60,100,20,40,20,100,0.8
scenario303,1,2,2,0,0,60,40,0,100,80,60,0.2
