Visibility,VehicleStability,RoadSurface,PathInteraction,PrecipitationDeposits,RoadFriction,WindIntensity,StartEgo,GoalEgo,GoalOther,Wetness,Precipitation,FogDistance,StartOther,FogDensity,Cloudiness,Min_TTC,Collision_Occurred
40,0,40,1,20,1.0,0,left,right,base,20,40,20,right,60,80,3.0588151340825083,False
40,0,40,2,60,0.2,0,base,right,left,20,60,20,right,60,80,2.724701681338719,False
40,0,40,4,80,0.1,20,right,base,left,80,80,40,base,60,100,2.673745148156176,False
40,0,60,1,60,0.1,20,left,base,left,60,40,20,right,40,80,1.3891547798108166,False
40,0,60,2,40,0.2,100,left,right,left,40,40,60,right,40,80,0.8020533931860336,False
40,0,60,4,0,1.0,40,left,base,base,20,20,100,right,0,40,4.845099088571227,False
40,0,80,1,20,0.6,20,left,base,left,20,40,20,right,40,40,1.4050567431212826,False
40,0,80,2,60,0.6,0,right,left,right,0,40,80,left,20,60,2.15191507378947,False
40,0,80,4,40,0.1,0,left,base,right,60,40,20,base,40,100,4.403650817131611,False
40,0,100,1,60,0.1,80,right,left,base,40,60,60,left,40,60,3.7777962175401054,False
40,0,100,2,40,0.8,40,left,right,right,20,20,40,base,40,0,5.874480340580519,False
40,0,100,4,40,0.8,20,left,right,left,20,20,60,base,60,40,8.873779585701842,False
40,20,0,1,0,1.0,60,left,base,right,20,20,80,base,60,40,5.354656832715061,False
40,20,0,2,40,0.4,80,right,left,right,40,40,80,base,0,100,0.0,True
40,20,0,4,40,0.8,80,base,right,base,20,60,80,left,20,40,2.607177896891248,False
40,20,20,1,60,0.2,60,base,left,right,40,60,80,left,0,80,1.395827130292892,False
40,20,20,2,60,0.4,40,right,left,base,40,40,20,left,80,60,3.542947678112267,False
40,20,20,4,20,0.8,40,right,left,right,20,20,20,base,80,20,0.0,True
40,20,40,1,40,0.8,60,right,left,right,0,40,80,left,40,100,3.7590644086490412,False
40,20,40,2,40,1.0,60,right,base,base,20,40,60,left,40,60,2.688747843043193,False
40,20,40,4,40,0.1,0,base,right,base,60,60,40,left,20,40,2.6065069189801613,False
40,20,60,1,80,0.1,40,right,left,base,40,80,80,left,0,80,3.9452770664456014,False
40,20,60,2,20,1.0,60,left,base,left,40,40,40,right,40,80,2.078107572710737,False
40,20,60,4,0,0.6,80,base,right,left,20,20,60,right,60,60,3.7408362318493658,False
40,20,80,1,60,0.4,60,base,right,right,20,60,100,left,20,60,3.1232857766395226,False
40,20,80,2,60,0.1,0,left,base,base,60,60,100,right,0,60,0.0,True
40,20,80,4,60,0.6,80,base,right,base,0,40,80,right,20,60,2.1996557078001686,False
40,20,100,1,40,0.6,40,base,right,base,20,40,100,left,20,100,2.728262396182977,False
40,20,100,2,40,0.2,0,right,left,base,80,60,40,left,40,80,2.3115215665329334,False
40,20,100,4,20,0.4,20,base,right,right,20,20,40,left,40,60,0.0,True
40,40,0,1,0,1.0,0,left,right,base,20,20,80,right,40,20,2.4049814900744853,False
40,40,0,2,0,1.0,60,base,left,left,20,0,20,right,60,60,3.7884697168254466,False
40,40,0,4,40,0.6,60,left,base,base,40,40,100,right,20,60,3.730708408429081,False
40,40,20,1,0,0.8,100,right,base,right,20,0,80,base,40,0,0.7603816304737528,False
40,40,20,2,40,0.8,20,right,left,right,20,40,20,base,20,40,0.0,True
40,40,20,4,60,0.1,60,left,right,left,40,40,100,base,0,100,9.57046550625056,False
40,40,40,1,20,0.4,100,left,base,left,60,40,80,right,20,60,2.0038671455569483,False
40,40,40,2,20,1.0,20,base,left,right,0,20,60,left,60,100,3.2459139247415574,False
40,40,40,4,0,1.0,40,base,right,right,0,0,60,left,20,60,0.0,True
40,40,60,1,20,1.0,100,left,right,left,0,0,40,base,60,0,5.067059216269925,False
40,40,60,2,60,0.6,60,right,base,base,20,40,80,left,20,60,0.0,True
40,40,60,4,0,1.0,80,right,base,left,0,0,80,base,0,60,3.009712773466559,False
40,40,80,1,40,0.8,20,base,right,left,20,20,40,right,40,0,3.444126007175109,False
40,40,80,2,40,0.8,20,right,left,right,0,20,20,base,60,0,0.0,True
40,40,80,4,40,0.4,40,base,right,left,0,20,80,right,20,20,4.333303678706943,False
40,40,100,1,0,0.8,60,left,base,base,20,20,80,right,40,80,2.252779236977681,False
40,40,100,2,40,0.1,20,base,left,left,60,40,100,right,20,80,4.013078464643676,False
40,40,100,4,40,0.6,60,left,base,base,0,40,60,right,40,100,3.5540015452799585,False
40,60,0,1,20,0.6,40,right,left,right,20,40,80,left,20,20,3.5977190586009886,False
40,60,0,2,80,0.2,100,left,base,right,60,60,100,base,0,40,6.237746383177349,False
40,60,0,4,0,1.0,0,right,left,right,20,20,40,left,40,80,0.7550522537749237,False
40,60,20,1,20,0.6,40,base,right,base,20,20,0,right,80,80,1.9861687148789184,False
40,60,20,2,0,0.8,60,left,base,left,20,20,20,right,60,40,2.2178987607862006,False
40,60,20,4,80,0.4,20,left,base,left,40,80,40,base,20,100,4.668229657783674,False
40,60,40,1,80,0.4,20,base,right,base,20,80,40,right,20,100,2.082767742057733,False
40,60,40,2,60,0.1,20,base,right,right,80,80,100,left,20,100,3.4876234095831316,False
40,60,40,4,20,0.4,20,right,left,right,20,20,60,left,20,20,0.872453237105883,False
40,60,60,1,60,0.2,20,left,base,left,60,60,60,right,40,80,1.3012947064781435,False
40,60,60,2,40,0.2,80,base,right,left,20,40,80,right,20,60,3.287289468921505,False
40,60,60,4,0,1.0,80,right,left,right,20,0,80,base,40,60,1.9115747407748618,False
40,60,80,1,20,0.8,0,right,base,base,0,40,40,left,40,80,1.9536968598303202,False
40,60,80,2,20,0.8,80,base,right,left,40,20,40,right,40,20,2.7688259866624336,False
40,60,80,4,40,0.6,80,right,left,right,60,60,100,left,0,100,0.8411067260183518,False
40,60,100,1,0,1.0,40,base,right,base,20,0,40,left,60,80,2.3331169917809604,False
40,60,100,2,0,1.0,60,base,right,right,20,20,100,left,20,100,2.5150626590840406,False
40,60,100,4,80,0.1,60,left,right,base,60,60,40,right,40,80,4.210876108262267,False
40,80,0,1,40,0.4,40,base,right,base,60,40,60,right,40,20,2.0913136135395565,False
40,80,0,2,60,0.1,40,base,left,base,40,80,80,left,0,80,1.611352326027277,False
40,80,0,4,20,0.6,0,base,left,base,20,40,20,left,40,40,2.7017626080719386,False
40,80,20,1,40,0.1,0,right,base,base,60,40,40,left,20,40,0.0,True
40,80,20,2,60,0.2,20,base,left,right,40,40,40,left,60,80,2.3544840912333127,False
40,80,20,4,40,0.8,20,right,base,left,20,40,60,base,20,100,2.756900944149835,False
