Visibility,VehicleStability,RoadSurface,PathInteraction,StartEgo,RoadFriction,StartOther,Cloudiness,WindIntensity,Wetness,FogDistance,GoalEgo,FogDensity,PrecipitationDeposits,GoalOther,Precipitation,Collision_Occurred,Min_TTC
20,60,100,2,right,0.6,base,0,0,0,0,left,60,20,left,0,False,2.1673628627199806
20,60,100,4,left,0.6,right,0,0,0,0,right,60,20,base,0,False,2.981865936999175
20,80,0,1,left,0.4,base,80,0,20,0,right,60,20,left,0,False,4.683206632573997
20,80,0,2,right,0.4,base,80,0,20,0,left,60,20,left,0,False,3.0812442275402665
20,80,0,4,left,0.4,right,80,0,20,0,right,60,20,base,0,True,3134.0219346882614
20,80,20,1,left,0.4,base,0,0,40,80,right,20,0,left,20,False,6.26875169108011
20,80,20,2,right,0.4,base,0,0,40,80,left,20,0,left,20,False,4.543522925015915
20,80,20,4,left,0.4,right,0,0,40,80,right,20,0,base,20,False,3.387383514930801
20,80,40,1,left,0.6,base,100,40,20,0,right,60,80,left,80,False,6.281135478249996
20,80,40,2,right,0.6,base,100,40,20,0,left,60,80,left,80,False,2.8821209854057246
20,80,40,4,left,0.6,right,100,40,20,0,right,60,80,base,80,False,3.675696303008911
20,80,60,1,left,1.0,base,40,60,40,0,right,60,20,left,20,False,6.576867533562979
20,80,60,2,right,1.0,base,40,60,40,0,left,60,20,left,20,False,2.973964264336707
20,80,60,4,left,1.0,right,40,60,40,0,right,60,20,base,20,False,3.1351819000426193
20,80,80,1,left,0.4,base,20,0,0,20,right,20,40,left,20,False,5.830026090231553
20,80,80,2,right,0.4,base,20,0,0,20,left,20,40,left,20,False,2.9196818206738264
20,80,80,4,left,0.4,right,20,0,0,20,right,20,40,base,20,False,3.580226760594698
20,80,100,1,left,0.6,base,60,20,40,40,right,80,60,left,60,False,6.724553966057153
20,80,100,2,right,0.6,base,60,20,40,40,left,80,60,left,60,False,2.231509651410841
20,80,100,4,left,0.6,right,60,20,40,40,right,80,60,base,60,False,4.476286593139288
20,100,0,1,left,0.1,left,0,0,0,0,left,0,0,left,0,False,1.16879368222476
20,100,0,2,left,0.1,left,0,0,0,0,left,0,0,left,0,False,1.1934116899992373
20,100,0,4,left,0.1,left,0,0,0,0,left,0,0,left,0,False,2.933103690848833
20,100,20,1,left,0.1,left,0,0,0,0,left,0,0,left,0,False,1.1718121814370723
20,100,20,2,left,0.1,left,0,0,0,0,left,0,0,left,0,False,1.0729619038150886
20,100,20,4,left,0.1,left,0,0,0,0,left,0,0,left,0,False,2.684333037525074
20,100,40,1,left,0.8,base,20,20,60,60,right,0,20,left,40,False,6.594508841343793
20,100,40,2,right,0.8,base,20,20,60,60,left,0,20,left,40,False,3.259905628510485
20,100,40,4,left,0.8,right,20,20,60,60,right,0,20,base,40,False,4.134556408924766
20,100,60,1,left,1.0,base,40,40,20,0,right,60,20,left,0,False,5.82734131134573
20,100,60,2,right,1.0,base,40,40,20,0,left,60,20,left,0,False,3.8287678839018846
20,100,60,4,left,1.0,right,40,40,20,0,right,60,20,base,0,False,3.5710503247645278
20,100,80,1,left,0.8,base,60,20,20,60,right,0,60,left,80,False,5.762015677553909
20,100,80,2,right,0.8,base,60,20,20,60,left,0,60,left,80,False,3.7392126478633805
20,100,80,4,left,0.8,right,60,20,20,60,right,0,60,base,80,False,4.7913431285395545
20,100,100,1,left,0.8,base,80,0,0,60,right,60,20,left,0,False,5.394258648175176
20,100,100,2,right,0.8,base,80,0,0,60,left,60,20,left,0,False,3.2924982680711303
20,100,100,4,left,0.8,right,80,0,0,60,right,60,20,base,0,False,2.6693419009054327
40,0,0,1,left,0.1,base,20,20,60,40,right,0,20,left,40,False,5.958968623592973
40,0,0,2,right,0.1,base,20,20,60,40,left,0,20,left,40,False,3.208706185504009
40,0,0,4,left,0.1,right,20,20,60,40,right,0,20,base,40,False,4.230780160479228
40,0,20,1,left,0.2,base,60,0,40,100,right,20,100,left,80,False,7.0509660450709415
40,0,20,2,right,0.2,base,60,0,40,100,left,20,100,left,80,False,3.4358236034577887
40,0,20,4,left,0.2,right,60,0,40,100,right,20,100,base,80,False,4.1168968283810266
40,0,40,1,left,0.1,base,20,20,20,40,right,80,60,left,40,False,6.60275894733345
40,0,40,2,right,0.1,base,0,20,40,40,left,80,40,left,20,False,2.2655520873224986
40,0,40,4,left,0.1,right,20,20,20,40,right,80,60,base,40,False,4.51846170725746
40,0,60,1,left,0.4,base,0,0,20,40,right,60,20,left,0,False,5.543351392887282
40,0,60,2,right,0.4,base,0,0,20,40,left,60,20,left,0,False,2.355651251705507
40,0,60,4,left,0.4,right,0,0,20,40,right,60,20,base,0,False,3.0452136003178536
40,0,80,1,left,0.6,base,80,40,0,40,right,20,20,left,0,False,5.713764153263347
40,0,80,2,right,0.6,base,80,40,0,40,left,20,20,left,0,False,3.3364478116799354
40,0,80,4,left,0.6,right,80,40,0,40,right,20,20,base,0,False,4.624386631870524
40,0,100,1,left,0.6,base,60,20,20,60,right,40,80,left,80,False,6.338738130281848
40,0,100,2,right,0.6,base,60,20,20,60,left,40,80,left,80,False,3.2203558501655447
40,0,100,4,left,0.6,right,60,20,20,60,right,40,80,base,80,False,4.361297556100358
40,20,0,1,left,0.4,base,40,20,40,20,right,60,80,left,60,False,6.119325716183287
40,20,0,2,right,0.4,base,40,20,40,20,left,60,80,left,60,False,3.0428450185429146
40,20,0,4,left,0.4,right,40,20,40,20,right,60,80,base,60,False,4.548013997124345
40,20,20,1,left,0.6,base,80,20,20,100,right,20,80,left,60,False,6.352150398884189
40,20,20,2,right,0.6,base,80,20,20,100,left,20,80,left,60,False,3.410619336944796
40,20,20,4,left,0.6,right,80,20,20,100,right,20,80,base,60,False,4.819171223354216
40,20,40,1,left,0.1,base,20,20,60,60,right,60,20,left,40,False,6.133116836462559
40,20,40,2,right,0.1,base,20,20,60,60,left,60,20,left,40,False,3.334102768288936
40,20,40,4,left,0.1,right,20,20,60,60,right,60,20,base,40,False,2.8982919336176773
