Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario151,c4,left,right,right,base,60,0,0,20,60,0,0,0.6,True,0.0,1
scenario152,c4,left,base,right,base,40,0,0,0,80,20,20,0.2,False,1.871,0
scenario153,c4,left,base,right,base,40,0,0,40,40,20,0,0.2,False,1.976,0
scenario154,c4,right,base,left,right,100,20,80,20,80,20,0,1.0,False,1.095,0
scenario155,c2,base,left,right,base,60,0,0,20,0,100,20,1.0,False,2.076,0
scenario156,c1,left,right,base,left,60,0,0,20,60,40,20,0.2,False,5.141,0
scenario157,c4,right,base,left,right,100,20,80,20,80,20,0,1.0,False,1.274,0
scenario158,c2,base,left,right,left,100,20,40,20,100,20,0,1.0,False,4.021,0
scenario159,c4,right,base,left,right,100,0,60,20,20,40,20,1.0,False,0.985,0
scenario160,c4,right,base,left,right,100,20,60,100,80,20,20,0.8,False,1.246,0
scenario161,c4,left,base,right,base,100,40,100,20,80,40,0,0.8,False,3.361,0
scenario162,c1,base,left,left,right,80,20,80,0,100,20,0,1.0,False,2.76,0
scenario163,c1,base,left,left,right,80,40,80,80,60,40,20,1.0,False,2.167,0
scenario164,c4,right,base,left,base,80,40,80,20,80,40,0,1.0,False,2.625,0
scenario165,c4,right,base,left,right,80,20,100,20,80,40,0,1.0,False,1.184,0
scenario166,c1,base,left,left,right,0,0,80,20,60,40,0,0.2,False,2.789,0
scenario167,c4,left,base,right,base,100,40,0,0,100,20,0,1.0,False,2.936,0
scenario168,c4,right,base,left,base,80,0,100,40,80,40,0,1.0,False,3350.724,0
scenario169,c4,right,base,left,right,100,0,60,20,20,40,20,1.0,False,1.303,0
scenario170,c2,base,left,right,base,0,0,100,0,60,60,0,0.8,False,2.268,0
scenario171,c2,base,left,right,left,20,20,60,40,100,0,0,1.0,False,2.685,0
scenario172,c2,right,left,base,left,100,40,0,0,0,20,0,0.8,False,8.69,0
scenario173,c1,base,left,left,right,100,0,80,40,60,0,40,1.0,False,3.22,0
scenario174,c4,left,base,right,base,80,0,40,40,40,40,0,0.8,False,3.769,0
scenario175,c1,base,left,left,right,0,0,100,0,60,40,0,0.2,False,2.373,0
scenario176,c1,base,left,left,right,0,40,20,0,100,20,0,0.6,False,2.789,0
scenario177,c4,right,base,left,base,100,0,60,0,0,20,40,1.0,False,4179.24,0
scenario178,c4,left,base,right,base,100,80,0,0,100,20,0,1.0,False,5.774,0
scenario179,c4,right,base,left,base,100,60,60,20,60,40,20,1.0,False,26.405,0
scenario180,c4,right,base,left,base,100,40,80,20,100,0,0,0.8,False,2.671,0
scenario181,c4,right,base,left,right,100,0,60,20,20,40,20,1.0,False,1.289,0
scenario182,c2,base,left,right,base,60,0,100,60,60,60,0,1.0,False,2.018,0
scenario183,c4,right,base,left,right,100,0,80,20,40,0,60,1.0,False,1.24,0
scenario184,c2,base,left,right,base,0,20,100,0,80,60,20,0.8,False,2.014,0
scenario185,c1,left,right,base,left,0,20,20,20,100,20,0,0.4,False,4.869,0
scenario186,c1,base,right,left,right,100,0,100,0,0,20,40,1.0,False,6.801,0
scenario187,c4,left,base,right,base,100,80,0,0,100,20,20,1.0,False,6.954,0
scenario188,c2,right,left,base,left,0,20,80,60,100,20,0,1.0,False,2.247,0
scenario189,c4,left,base,right,base,80,0,40,60,40,20,60,0.6,True,0.0,1
scenario190,c2,base,left,right,left,0,100,100,20,80,60,20,0.8,False,5.793,0
scenario191,c2,base,left,right,base,0,40,0,60,100,0,100,1.0,False,1.613,0
scenario192,c4,left,base,right,base,100,60,60,40,40,20,20,0.4,False,2.782,0
scenario193,c4,left,base,right,base,80,0,40,60,40,20,60,0.6,False,4.094,0
scenario194,c2,right,left,base,left,20,80,20,100,100,60,0,0.4,False,3.173,0
scenario195,c1,left,right,base,right,0,100,100,40,60,80,0,0.8,False,9.147,0
scenario196,c4,left,base,right,base,80,100,20,20,100,0,20,1.0,False,2.32,0
scenario197,c2,right,base,base,left,0,80,100,0,80,60,20,1.0,False,2.119,0
scenario198,c4,left,right,right,base,0,20,100,0,80,60,0,0.8,False,4.79,0
scenario199,c4,right,base,left,base,0,60,100,20,80,40,20,0.8,False,58.066,0
scenario200,c2,base,left,right,base,20,20,100,0,100,60,20,1.0,False,2.012,0
scenario201,c4,left,right,right,base,20,40,80,60,80,40,60,0.8,False,4.387,0
scenario202,c4,right,base,left,base,80,20,40,40,20,20,0,0.6,False,9.829,0
scenario203,c4,right,base,left,base,40,20,100,0,60,40,40,1.0,False,52.186,0
scenario204,c4,left,base,right,base,80,0,100,60,40,20,20,0.4,False,5.689,0
scenario205,c2,base,left,right,base,20,20,100,0,100,60,20,1.0,False,1.631,0
scenario206,c2,right,left,base,left,100,20,40,80,40,0,40,0.6,True,0.0,1
scenario207,c1,left,right,base,right,80,80,20,20,100,0,40,0.2,False,40.119,0
scenario208,c1,left,right,base,right,0,80,80,0,80,80,0,0.8,False,7.976,0
scenario209,c1,left,right,base,left,0,20,20,0,100,60,0,0.2,False,5.484,0
scenario210,c4,right,base,left,base,20,0,100,0,60,40,40,0.2,False,32.682,0
scenario211,c4,left,base,right,base,60,0,40,60,40,20,40,0.6,True,0.0,1
scenario212,c4,right,base,left,right,20,40,0,60,80,40,80,0.6,False,1.202,0
scenario213,c4,right,base,left,right,20,100,100,20,60,80,0,0.8,False,4931.267,0
scenario214,c4,left,right,right,base,40,40,60,60,80,60,60,0.8,False,4.48,0
scenario215,c2,right,base,base,left,0,100,80,0,80,40,20,0.8,False,2.372,0
scenario216,c1,left,right,base,right,80,20,100,60,40,20,40,1.0,False,10.074,0
scenario217,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,False,4786.072,0
scenario218,c4,left,base,right,base,80,0,40,60,40,60,60,0.6,False,4.616,0
scenario219,c4,left,base,right,base,40,0,0,0,100,0,20,0.2,False,3.913,0
scenario220,c1,base,right,left,right,40,0,0,0,80,20,0,0.2,False,3.557,0
scenario221,c4,right,base,left,right,80,0,40,40,40,20,0,0.6,True,0.0,1
scenario222,c4,left,base,right,base,80,0,20,0,40,20,20,0.2,False,2.666,0
scenario223,c1,left,right,base,right,40,0,40,80,40,20,60,0.6,False,36.177,0
scenario224,c4,right,base,left,base,60,20,0,20,60,40,60,0.6,False,4177.664,0
scenario225,c4,left,base,right,base,80,0,40,60,40,20,0,0.8,False,2.577,0
scenario226,c4,left,base,right,base,80,20,60,60,40,20,60,0.6,False,2.873,0
scenario227,c1,left,right,base,right,40,0,20,0,80,0,20,0.4,False,8.45,0
scenario228,c4,left,right,right,base,20,0,0,20,60,0,0,0.6,False,4.681,0
scenario229,c4,left,base,right,base,80,0,40,60,40,20,0,0.8,True,0.0,1
scenario230,c4,right,base,left,base,20,0,40,60,80,20,20,0.4,False,35.63,0
scenario231,c4,right,base,left,right,60,0,0,60,40,20,0,0.8,False,1.157,0
scenario232,c4,left,base,right,base,100,0,40,40,60,20,20,0.8,False,7.316,0
scenario233,c4,left,right,right,base,80,0,40,60,40,40,20,0.8,False,3.12,0
scenario234,c4,right,base,left,right,80,0,0,60,40,20,0,0.8,True,0.0,1
scenario235,c2,right,left,base,left,100,0,40,40,40,0,0,0.8,True,0.0,1
scenario236,c4,left,base,right,base,60,0,40,40,60,20,0,1.0,False,4.433,0
scenario237,c4,left,base,right,base,80,20,40,40,40,20,0,1.0,False,2.513,0
scenario238,c1,left,right,base,right,80,20,20,60,40,20,0,1.0,False,94.808,0
scenario239,c2,right,base,base,left,60,0,20,60,60,60,100,0.8,False,2.072,0
scenario240,c1,base,right,left,right,0,0,60,20,60,20,20,0.8,False,2.785,0
scenario241,c4,left,base,right,base,80,0,40,60,40,20,0,0.8,False,3.354,0
scenario242,c4,right,base,left,right,60,0,60,40,60,20,60,0.8,False,1.069,0
scenario243,c1,left,right,base,left,80,0,20,60,40,60,20,0.8,False,9.876,0
scenario244,c1,left,right,base,left,20,0,0,40,80,20,0,0.4,False,6.039,0
scenario245,c4,left,base,right,base,80,0,40,40,40,20,20,0.4,True,0.0,1
scenario246,c4,left,base,right,base,80,20,40,60,60,20,40,0.8,True,0.0,1
scenario247,c4,right,base,left,right,60,0,0,40,20,20,0,0.8,False,4532.99,0
scenario248,c1,base,left,left,right,80,0,40,60,40,40,40,0.8,False,2.484,0
scenario249,c2,right,base,base,left,80,20,40,60,60,80,100,0.8,False,2.679,0
scenario250,c1,base,left,left,right,0,0,0,60,40,20,0,0.6,False,1.794,0
scenario251,c4,left,base,right,base,80,20,60,20,40,20,0,1.0,False,2.822,0
scenario252,c2,right,base,base,left,80,0,20,80,60,60,100,0.8,False,2.358,0
scenario253,c4,left,base,right,base,80,0,40,40,40,20,20,0.4,False,2.604,0
scenario254,c4,right,base,left,right,60,20,60,60,60,40,60,1.0,False,1.147,0
