Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario117,c2,right,left,base,left,0.1,60,0,0,20,80,60,0,0,2.086912666707219,0
scenario118,c2,right,left,base,left,0.4,80,60,20,100,0,20,100,0,3.930359566259887,0
scenario119,c1,left,right,base,left,0.2,20,20,60,80,40,80,80,0,5.705892530066541,0
scenario120,c1,base,right,left,right,0.8,100,60,40,40,100,100,20,0,3.1017717586561493,0
scenario121,c2,base,left,right,base,0.6,0,60,100,80,20,0,60,0,1.7022290655975354,0
scenario122,c4,right,base,left,base,0.4,20,40,60,0,80,0,80,0,3.476674499232784,0
scenario123,c4,right,base,left,base,1.0,40,100,20,60,40,80,40,0,2.244950727726178,0
scenario124,c2,base,left,right,left,0.4,80,0,60,20,80,40,100,0,8.119684467965577,0
scenario125,c4,left,base,right,base,0.8,40,0,0,60,20,0,80,0,2.378855016885815,0
scenario126,c2,right,base,base,left,0.1,20,60,0,20,20,100,100,0,2.7142339876779507,0
scenario127,c1,left,right,base,left,0.4,40,20,0,20,20,40,60,0,7.001946142982067,0
scenario128,c1,left,right,base,right,0.1,60,0,80,0,40,80,100,0,5.949120104988659,0
scenario129,c1,base,left,left,right,0.4,0,80,40,40,20,60,20,0,3.296210322213565,0
scenario130,c2,base,left,right,base,1.0,60,100,80,100,0,100,40,0,1.7651769093453424,0
scenario131,c4,left,right,right,base,0.6,0,20,100,80,80,40,100,1,0.0,1
scenario132,c4,right,base,left,base,0.1,60,80,80,100,60,20,60,0,9.669834509538155,0
scenario133,c4,right,base,left,base,0.6,60,0,60,100,0,40,80,0,28.68046572596414,0
scenario134,c4,right,base,left,right,0.1,100,0,0,40,100,40,100,0,1.2749186159765271,0
scenario135,c2,base,left,right,left,0.1,0,60,20,20,100,80,20,0,4.152208482014695,0
scenario136,c2,base,left,right,left,0.4,40,100,0,100,0,80,0,0,2.859578557328138,0
scenario137,c1,base,right,left,right,1.0,40,100,60,80,80,60,0,0,3.046376010307281,0
scenario138,c2,right,left,base,left,0.6,100,0,0,0,60,20,40,0,3.0185540671083904,0
scenario139,c2,base,left,right,left,0.6,60,100,80,20,80,80,60,0,3.601601403191792,0
scenario140,c4,right,base,left,base,0.1,80,20,80,60,80,20,80,0,24.690557155789698,0
scenario141,c4,left,base,right,base,0.1,80,40,100,100,20,60,0,0,2.683762848385638,0
scenario142,c4,left,base,right,base,1.0,40,100,100,60,60,100,60,0,2.7528530165387832,0
scenario143,c2,right,left,base,left,1.0,80,0,80,80,0,0,60,0,3.0373400862828905,0
scenario144,c2,right,base,base,left,0.2,0,100,100,0,80,20,0,0,2.3172107850388777,0
scenario145,c4,right,base,left,right,0.4,0,40,20,60,40,0,100,0,1.253589941105698,0
scenario146,c4,right,base,left,right,0.4,60,40,100,60,20,20,20,0,1.2796762081165212,0
scenario147,c1,left,right,base,left,0.8,0,60,100,60,40,80,0,0,6.338728842942362,0
scenario148,c4,left,base,right,base,0.8,100,80,40,60,80,40,0,0,3.484924981020988,0
scenario149,c2,base,left,right,left,0.1,100,80,20,40,40,20,20,0,4.309901389801228,0
scenario150,c2,right,left,base,left,0.2,20,60,20,60,60,60,0,0,3.4897285769148585,0
scenario151,c2,right,base,base,left,0.8,60,80,0,80,60,40,20,0,2.7082046433158857,0
scenario152,c4,left,right,right,base,0.6,80,40,60,80,60,20,40,0,4.309523095643209,0
scenario153,c2,right,left,base,left,0.6,0,100,60,60,20,100,80,0,3.278915601505708,0
scenario154,c4,right,base,left,base,0.6,60,80,20,0,0,60,100,0,24.57957626292912,0
scenario155,c1,base,left,left,right,0.8,80,20,60,80,40,60,20,0,2.729673888956678,0
scenario156,c1,left,right,base,right,0.2,60,100,0,40,100,100,40,0,4.4220645589628615,0
scenario157,c1,base,right,left,right,1.0,40,80,40,100,80,0,60,0,3.092425634244274,0
scenario158,c1,left,right,base,right,0.2,20,0,100,20,100,100,80,0,5.347120906086863,0
scenario159,c1,left,right,base,left,0.8,60,60,40,100,0,0,0,0,6.18449703470061,0
scenario160,c1,base,left,left,right,0.1,100,40,100,0,0,80,60,0,2.8110967038934254,0
scenario161,c4,left,right,right,base,1.0,0,60,100,0,0,60,80,0,4.653576359957689,0
scenario162,c1,left,right,base,left,0.1,0,60,60,40,60,60,100,0,5.294120366683428,0
scenario163,c4,right,base,left,base,0.1,40,0,20,0,80,100,40,0,2.670237596576236,0
scenario164,c1,base,left,left,right,1.0,60,0,20,40,100,20,0,0,2.497924788520652,0
scenario165,c1,left,right,base,right,0.1,80,0,100,40,80,100,20,0,6.599019660233467,0
scenario166,c2,right,base,base,left,1.0,80,60,0,100,80,100,0,0,2.128643390488301,0
scenario167,c4,right,base,left,base,0.6,100,80,0,100,40,80,80,0,2.7992455886836383,0
scenario168,c1,base,right,left,right,0.8,40,60,0,80,0,80,100,0,2.216167279814794,0
scenario169,c2,right,base,base,left,0.2,60,40,60,0,100,100,20,0,2.3694123424623226,0
scenario170,c4,left,right,right,base,0.4,0,0,40,80,80,0,20,0,2.886580807172154,0
scenario171,c2,base,left,right,left,0.4,20,20,100,40,20,40,0,0,3.093543905782644,0
scenario172,c2,base,left,right,left,0.8,20,0,80,40,20,100,40,0,3.3150708814931185,0
scenario173,c4,right,base,left,right,0.6,80,20,0,40,100,60,60,1,0.0,1
scenario174,c4,right,base,left,base,0.4,100,100,100,80,100,0,0,0,2.479440748745722,0
scenario175,c1,left,right,base,right,0.8,0,40,80,20,20,20,60,0,5.6657791737446095,0
scenario176,c4,right,base,left,base,0.1,100,100,0,60,60,0,20,0,3.400603529659468,0
scenario177,c1,base,left,left,right,1.0,40,100,80,20,60,20,0,0,2.2577754123510445,0
scenario178,c4,left,base,right,base,1.0,100,60,100,100,100,20,40,0,3.5157431852390943,0
scenario179,c2,base,left,right,left,0.1,0,80,100,20,0,0,100,0,3.8011503433060527,0
scenario180,c1,left,right,base,right,0.4,20,60,60,0,0,20,20,0,5.563653342250079,0
scenario181,c4,right,base,left,base,0.2,100,0,20,40,20,80,40,0,2.5954292529903795,0
scenario182,c1,left,right,base,right,0.4,20,80,40,80,40,60,40,0,6.3528132463704265,0
scenario183,c1,left,right,base,right,0.2,80,80,20,20,40,100,40,0,5.0251033294496095,0
scenario184,c4,left,right,right,base,0.4,40,80,40,0,20,20,40,1,0.0,1
scenario185,c4,left,base,right,base,0.2,60,100,80,80,20,60,100,0,2.5196658024088703,0
scenario186,c2,base,left,right,left,0.6,100,20,40,60,0,100,100,0,3.3711825174064227,0
scenario187,c2,base,left,right,base,0.2,100,20,100,0,60,40,20,0,1.4017849760547378,0
scenario188,c4,right,base,left,base,0.2,40,40,20,60,0,20,80,0,18.147584575334847,0
scenario189,c2,base,left,right,base,0.1,20,80,60,100,100,100,20,0,2.039173582147848,0
scenario190,c2,right,base,base,left,0.8,20,40,60,100,60,40,40,0,2.185207771494691,0
scenario191,c2,base,left,right,left,0.6,20,40,80,0,40,60,0,0,4.124284731790111,0
scenario192,c1,left,right,base,right,0.4,40,20,100,40,40,20,100,0,6.189631674447029,0
scenario193,c4,right,base,left,right,1.0,20,20,0,80,0,0,40,0,1.299485284188252,0
scenario194,c4,left,right,right,base,0.8,80,100,0,0,40,0,60,0,4.922098616189079,0
scenario195,c4,right,base,left,base,0.4,40,100,100,100,40,100,80,0,24.70165746476183,0
scenario196,c4,right,base,left,base,0.6,80,20,40,20,80,0,0,0,3.747130010050316,0
scenario197,c1,left,right,base,right,0.6,60,40,0,100,60,0,100,0,5.917029814813588,0
scenario198,c2,base,left,right,left,1.0,80,0,60,100,40,80,60,0,4.011806791414558,0
scenario199,c4,right,base,left,base,0.1,80,60,0,20,20,20,80,0,3.71459930740916,0
scenario200,c1,left,right,base,right,0.4,80,80,0,60,0,40,80,0,5.780659514752083,0
scenario201,c4,left,right,right,base,0.6,80,60,60,40,0,100,0,0,4.432187739801393,0
scenario202,c1,left,right,base,right,0.1,60,80,100,60,100,80,80,0,5.609067090819714,0
scenario203,c1,left,right,base,left,0.2,20,80,80,100,80,40,100,0,6.273784246811082,0
scenario204,c4,right,base,left,right,0.2,40,0,40,20,60,80,20,0,1.3251121609556118,0
scenario205,c4,left,base,right,base,0.2,60,60,20,20,100,0,60,1,0.0,1
scenario206,c1,left,right,base,right,0.8,100,0,60,60,80,20,60,0,5.052321121011249,0
scenario207,c4,right,base,left,base,0.1,20,80,20,0,20,100,60,0,3.364774672900764,0
scenario208,c1,left,right,base,right,0.6,40,80,60,20,80,60,80,0,5.506083011076635,0
scenario209,c2,base,left,right,left,1.0,60,40,40,40,60,40,20,0,3.42190206958194,0
scenario210,c1,left,right,base,left,0.4,60,20,40,100,100,60,80,0,5.369938826692621,0
