Instances,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario108,20,80,0,40,40,0.8,0,100,0,100,100,c4,0.00236,right,base,left,base,0,14.398858135456727,0
scenario109,20,60,0,40,40,0.6,0,100,20,0,0,c1,0.00146,left,right,base,left,0,6.50029797492243,0
scenario110,20,20,0,40,40,0.6,0,100,20,0,0,c2,0.00149,base,left,right,base,0,2.250258121151433,0
scenario111,20,100,0,40,40,0.6,0,100,20,0,0,c4,0.00135,right,base,left,right,0,1.3429564600896269,0
scenario112,20,20,0,100,40,0.6,0,100,20,0,20,c1,0.00132,left,right,base,right,0,5.531638948989247,0
scenario113,20,40,0,0,100,0.4,0,100,20,0,20,c2,0.00135,right,base,base,left,0,3.573415247083297,0
scenario114,20,20,0,0,100,0.4,0,100,20,0,20,c4,0.00142,left,base,right,base,1,0.0,1
scenario115,20,40,0,0,0,0.8,0,100,20,0,40,c1,0.05996,base,right,left,right,0,1.1509001614598706,0
scenario116,20,40,0,0,0,0.8,0,100,20,0,40,c2,0.05925,base,left,right,left,0,3.31525549761748,0
scenario117,20,40,0,0,0,0.8,0,100,20,0,40,c4,0.06,left,right,right,base,1,0.0,1
scenario118,20,40,0,0,0,0.8,0,100,20,0,60,c1,0.05824,base,left,left,right,0,3.6335519912199423,0
scenario119,20,40,0,0,0,0.8,0,100,20,0,60,c2,0.06067,right,left,base,left,0,3.872427726169192,0
scenario120,20,40,0,0,0,0.8,0,100,20,0,60,c4,0.05977,right,base,left,base,0,21.39448646151984,0
scenario121,20,40,0,0,0,0.8,0,100,20,0,80,c1,0.06031,left,right,base,left,0,5.988023038347491,0
scenario122,20,40,0,0,0,0.8,0,100,20,0,80,c2,0.05964,base,left,right,base,0,2.2852471646583603,0
scenario123,20,40,0,0,0,0.8,0,100,20,0,80,c4,0.05912,right,base,left,right,0,0.8688684006626866,0
scenario124,20,40,0,0,0,0.8,0,100,20,0,100,c1,0.05824,left,right,base,right,0,5.671797789702681,0
scenario125,20,60,0,0,100,0.4,0,100,20,0,100,c2,0.00132,right,base,base,left,0,2.8905137413988395,0
scenario126,20,40,0,0,0,0.8,0,100,20,0,100,c4,0.06057,left,base,right,base,1,0.0,1
scenario127,20,80,0,0,100,0.4,0,100,20,20,0,c1,0.0014,base,right,left,right,0,2.78653093308757,0
scenario128,20,40,0,0,0,0.8,0,100,20,20,0,c2,0.06063,base,left,right,left,0,3.482825578015264,0
scenario129,20,40,0,0,0,0.8,0,100,20,20,0,c4,0.05829,left,right,right,base,0,1.9775467366751465,0
scenario130,20,40,0,0,0,0.8,0,100,20,20,20,c1,0.05981,base,left,left,right,0,2.588776855550724,0
scenario131,20,40,0,0,0,0.8,0,100,20,20,20,c2,0.05953,right,left,base,left,0,3.918050735766412,0
scenario132,20,40,0,0,0,0.8,0,100,20,20,20,c4,0.0601,right,base,left,base,0,59.51671784322649,0
scenario133,20,40,0,0,0,0.8,0,100,20,20,40,c1,0.05917,left,right,base,left,0,6.257255086276885,0
scenario134,20,40,0,0,0,0.8,0,100,20,20,40,c2,0.06044,base,left,right,base,0,2.194925995918914,0
scenario135,20,40,0,0,0,0.8,0,100,20,20,40,c4,0.0594,right,base,left,right,0,1.2708800948647694,0
scenario136,20,40,0,0,0,0.8,0,100,20,20,60,c1,0.06079,left,right,base,right,0,6.09302683073097,0
scenario137,20,40,0,0,0,0.8,0,100,20,20,60,c2,0.05947,right,base,base,left,0,2.8975518231575146,0
scenario138,20,40,0,0,0,0.8,0,100,20,20,60,c4,0.05944,left,base,right,base,0,1.865526237632653,0
scenario139,20,40,0,0,0,0.8,0,100,20,20,80,c1,0.06128,base,right,left,right,0,2.658324764044817,0
scenario140,20,40,0,0,0,0.8,0,100,20,20,80,c2,0.05891,base,left,right,left,0,3.204239402830367,0
scenario141,20,40,0,0,0,0.8,0,100,20,20,80,c4,0.05893,left,right,right,base,0,1.831439052023452,0
scenario142,20,40,0,0,0,0.8,0,100,20,20,100,c1,0.05967,base,left,left,right,0,3.682342226270032,0
scenario143,20,40,0,0,0,0.8,0,100,20,20,100,c2,0.05954,right,left,base,left,0,3.518539086564328,0
scenario144,20,40,0,0,0,0.8,0,100,20,20,100,c4,0.0594,right,base,left,base,0,88.59640054559114,0
scenario145,20,40,0,0,0,0.8,0,100,20,40,0,c1,0.05965,left,right,base,left,0,6.163957549027291,0
scenario146,20,40,0,0,0,0.8,0,100,20,40,0,c2,0.05954,base,left,right,base,0,2.2702914622765995,0
scenario147,20,40,0,0,0,0.8,0,100,20,40,0,c4,0.05969,right,base,left,right,0,1.192788037479288,0
scenario148,20,40,0,0,0,0.8,0,100,20,40,20,c1,0.05921,left,right,base,right,0,6.890798972426318,0
scenario149,20,40,0,0,0,0.8,0,100,20,40,20,c2,0.05971,right,base,base,left,0,2.700308353766101,0
scenario150,20,40,0,0,0,0.8,0,100,20,40,20,c4,0.05956,left,base,right,base,0,2.0269718001883783,0
scenario151,20,40,0,0,0,0.8,0,100,20,40,40,c1,0.05932,base,right,left,right,0,3.344755383915347,0
scenario152,20,40,0,0,0,0.8,0,100,20,40,40,c2,0.05965,base,left,right,left,0,6.15968392167957,0
scenario153,60,40,0,40,40,0.8,0,100,20,40,40,c4,0.00122,left,right,right,base,0,4.593140735665526,0
scenario154,20,40,0,0,0,0.8,0,100,20,40,60,c1,0.05945,base,left,left,right,0,3.6062153720151886,0
