instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario132,0,60,80,0,0,100,0.4,0,100,20,20,20,c4,1e-05,1,0,2,0,0,2.3685411492122017,0
scenario133,-30,20,80,40,20,40,0.8,0,100,20,20,40,c1,1e-05,0,1,1,2,0,2.839600532494054,0
scenario134,0,20,100,60,0,80,0.4,40,60,20,20,40,c2,1e-05,0,1,2,0,0,3.832838169919904,0
scenario135,90,40,100,0,20,40,0.8,40,60,20,20,40,c4,1e-05,2,0,1,0,0,2.923027640415415,0
scenario136,-60,60,100,60,60,40,0.6,100,0,20,20,60,c1,1e-05,0,2,1,2,0,2.569422159623823,0
scenario137,-60,40,40,0,100,60,0.6,0,100,20,20,60,c2,1e-05,2,1,0,1,0,0.7030331156421429,0
scenario138,-60,40,80,40,0,100,0.2,100,0,20,20,60,c4,1e-05,1,2,2,0,0,2.0462384776459,0
scenario139,90,40,100,0,40,60,0.8,80,20,20,20,80,c1,1e-05,1,2,0,2,0,2.323427283532093,0
scenario140,60,0,80,0,100,40,0.6,0,100,20,20,80,c2,1e-05,2,0,0,1,0,0.9656940962712742,0
scenario141,-60,20,60,60,40,0,0.8,100,0,20,20,80,c4,1e-05,2,0,1,2,0,1.3690299244428097,0
scenario142,-60,80,60,0,0,0,0.8,0,20,20,20,100,c1,1e-05,1,2,0,1,0,1509.1771765483163,0
scenario143,-60,20,20,0,0,20,0.8,40,60,20,20,100,c2,1e-05,0,1,2,1,0,4.661165097952666,0
scenario144,0,20,80,0,100,40,0.6,40,60,20,20,100,c4,1e-05,1,0,2,0,0,2.3140359480815293,0
scenario145,-60,80,80,0,0,100,0.6,0,100,20,40,0,c1,1e-05,0,1,1,2,0,2.651146203817073,0
scenario146,-30,20,20,20,0,0,0.4,0,100,20,40,0,c2,1e-05,0,1,2,0,0,4.003799418561979,0
scenario147,90,60,20,0,40,40,0.8,40,60,20,40,0,c4,1e-05,2,0,1,0,0,2.361448141185068,0
scenario148,90,80,60,0,0,0,0.8,80,20,20,40,20,c1,1e-05,0,2,1,2,0,2.828271027229369,0
scenario149,60,20,60,20,0,80,0.2,100,0,20,40,20,c2,1e-05,2,1,0,1,0,0.7613228887206657,0
scenario150,0,60,20,0,20,40,0.8,80,20,20,40,20,c4,1e-05,1,2,2,0,0,2.770416415815683,0
scenario151,-60,20,60,0,40,60,0.8,80,20,20,40,40,c1,1e-05,1,2,0,2,0,1.9555556679712447,0
scenario152,60,20,40,60,0,40,0.8,40,60,20,40,40,c2,1e-05,2,0,0,1,1,1.1310248925899635,1
scenario153,30,20,20,0,80,0,0.6,0,100,20,40,40,c4,1e-05,2,0,1,2,0,2.721642717017563,0
scenario154,-30,40,80,0,100,0,0.6,0,100,20,40,60,c1,1e-05,1,2,0,1,0,9999.0,0
scenario155,30,20,60,0,80,40,0.6,80,20,20,40,60,c2,1e-05,0,1,2,1,0,4.416967827114808,0
scenario156,0,20,40,60,100,40,0.6,100,0,20,40,60,c4,1e-05,1,0,2,0,0,2.489257344662356,0
scenario157,-30,60,60,0,40,0,0.8,0,100,20,40,80,c1,1e-05,0,1,1,2,0,3.0144720605758724,0
scenario158,-90,40,80,100,100,60,0.6,100,0,20,40,80,c2,1e-05,0,1,2,0,0,4.131286845085824,0
scenario159,-30,40,40,40,100,100,0.1,100,0,20,40,80,c4,1e-05,2,0,1,0,0,3.629502286048063,0
scenario160,30,40,40,20,20,60,0.2,60,40,20,40,100,c1,1e-05,0,2,1,2,0,3.2272057201853936,0
scenario161,30,60,20,40,0,0,0.8,40,60,20,40,100,c2,1e-05,2,1,0,1,0,1.2013927207973132,0
scenario162,-60,20,100,0,40,60,0.6,0,100,20,40,100,c4,1e-05,1,2,2,0,0,9999.0,0
scenario163,-60,40,100,20,80,60,0.6,40,60,20,60,0,c1,1e-05,1,2,0,2,0,1.6351171766598738,0
scenario164,-30,20,60,40,100,60,0.6,60,40,20,60,0,c2,1e-05,2,0,0,1,0,2.8029347435903955,0
scenario165,-30,60,80,60,0,0,0.8,40,60,20,60,0,c4,1e-05,2,0,1,2,0,1.563849051729672,0
scenario166,30,80,40,0,0,0,0.8,80,20,20,60,20,c1,1e-05,1,2,0,1,0,1.9278957429330617,0
scenario167,-30,20,100,40,100,0,0.6,60,40,20,60,20,c2,1e-05,0,1,2,1,0,4.105366505690727,0
scenario168,30,60,100,0,0,100,0.2,80,20,20,60,20,c4,1e-05,1,0,2,0,0,2.538252191513757,0
scenario169,-90,0,40,0,0,80,0.4,40,60,20,60,40,c1,1e-05,0,1,1,2,0,1.791496863043105,0
scenario170,-90,60,60,40,100,100,0.1,40,60,20,60,40,c2,1e-05,0,1,2,0,0,4.152559347265137,0
scenario171,-60,20,20,40,100,0,0.6,40,60,20,60,40,c4,1e-05,2,0,1,0,0,2.894618826315565,0
scenario172,-60,40,20,60,40,40,0.6,40,60,20,60,60,c1,1e-05,0,2,1,2,0,2.12431186068816,0
scenario173,60,40,20,60,80,40,0.6,0,100,20,60,60,c2,1e-05,2,1,0,1,0,2.848168914344107,0
