instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario157,1,0,20,0,80,90,20,40,60,0.2,False,0.816,0
scenario158,1,0,20,20,60,60,0,20,60,0.2,False,0.944,0
scenario159,1,20,20,0,100,60,0,20,60,1.0,False,0.826,0
scenario160,0,0,0,0,100,60,0,60,60,0.4,False,0.969,0
scenario161,0,0,60,0,80,60,0,20,40,0.2,False,0.974,0
scenario162,1,0,60,0,80,-90,20,20,40,0.1,False,0.717,0
scenario163,1,0,20,0,60,90,60,60,60,0.1,False,0.829,0
scenario164,1,0,0,100,0,90,40,40,60,0.2,False,0.757,0
scenario165,0,0,20,40,60,90,20,40,60,0.2,False,1.078,0
scenario166,1,0,40,0,60,90,20,20,60,1.0,False,0.819,0
scenario167,1,0,20,0,80,90,20,40,80,0.1,False,0.836,0
scenario168,1,20,0,20,80,90,60,40,60,0.1,False,0.896,0
scenario169,1,0,60,0,80,-90,20,20,40,0.1,False,0.852,0
scenario170,1,0,40,0,60,90,40,80,60,0.1,False,0.79,0
scenario171,0,0,20,40,60,90,40,40,60,0.1,False,1.124,0
scenario172,1,0,100,20,80,90,20,40,60,0.4,False,0.911,0
scenario173,0,20,40,0,0,60,100,100,40,0.8,False,1.237,0
scenario174,0,0,20,40,60,90,20,40,80,0.4,False,1.078,0
scenario175,1,20,40,0,60,90,60,60,80,0.8,False,0.926,0
scenario176,0,0,80,20,60,60,20,20,40,0.2,False,1.183,0
scenario177,1,20,20,0,100,60,0,40,40,1.0,False,0.8,0
scenario178,0,20,0,20,100,60,0,0,0,1.0,False,0.852,0
scenario179,1,100,100,20,80,90,0,20,20,0.1,False,0.861,0
scenario180,0,0,0,0,20,90,20,80,40,0.4,False,1.203,0
scenario181,1,0,40,0,60,90,40,80,60,0.1,False,0.786,0
scenario182,1,0,40,0,60,90,0,40,100,0.2,False,0.765,0
scenario183,0,0,20,0,40,90,60,60,80,0.8,False,1.095,0
scenario184,1,100,40,0,80,60,40,100,60,0.4,False,0.747,0
scenario185,0,0,80,20,60,90,0,20,60,0.2,False,1.199,0
scenario186,1,0,0,0,0,90,40,60,60,0.2,False,0.808,0
scenario187,1,0,60,0,80,30,80,20,40,0.4,False,0.901,0
scenario188,0,20,0,0,20,90,20,100,20,1.0,False,1.159,0
scenario189,0,0,60,0,80,90,20,80,60,0.1,False,1.146,0
scenario190,0,0,80,20,40,60,20,20,20,0.1,False,1.182,0
scenario191,1,20,40,0,60,60,40,80,80,0.1,False,0.779,0
scenario192,0,20,0,20,100,60,0,20,0,1.0,False,1.164,0
scenario193,1,100,40,0,80,60,40,100,60,0.4,False,0.778,0
scenario194,0,40,0,100,20,90,40,100,20,0.2,False,1.175,0
scenario195,1,20,0,20,0,90,100,60,60,0.2,False,0.819,0
scenario196,0,100,20,0,80,-30,40,80,100,1.0,False,1.132,0
scenario197,0,40,80,0,100,60,0,20,0,0.8,False,1.2,0
scenario198,0,20,0,0,20,90,20,80,40,1.0,False,1.222,0
scenario199,1,60,0,20,40,-30,80,60,60,0.8,False,0.971,0
scenario200,1,0,0,0,40,-30,60,80,100,1.0,False,0.876,0
scenario201,1,0,20,20,40,60,60,80,100,0.4,False,0.794,0
scenario202,0,0,0,0,40,0,0,100,20,1.0,False,1.096,0
scenario203,0,40,40,20,60,60,40,80,20,0.1,False,1.241,0
scenario204,0,40,20,0,60,60,20,100,60,0.2,False,1.133,0
scenario205,1,100,40,0,80,60,40,100,60,0.4,False,0.791,0
scenario206,1,40,20,0,20,-60,60,100,80,0.8,False,4.764,0
scenario207,1,0,0,60,20,60,60,60,80,0.4,False,0.873,0
scenario208,0,40,100,0,100,30,20,20,0,1.0,False,0.947,0
scenario209,1,0,40,0,80,0,0,80,0,1.0,False,0.973,0
scenario210,0,20,0,40,40,60,40,100,20,0.2,False,1.112,0
scenario211,1,20,100,0,60,-30,60,80,100,1.0,False,0.957,0
scenario212,1,100,40,0,80,-60,60,20,80,0.8,False,1.058,0
scenario213,0,100,40,20,100,60,40,80,60,1.0,False,1.227,0
scenario214,1,0,0,0,0,90,0,60,40,1.0,False,0.789,0
scenario215,0,0,0,80,20,-60,20,100,20,1.0,False,1.041,0
scenario216,0,40,20,0,0,-60,80,60,60,0.2,False,1.051,0
scenario217,1,0,20,0,80,90,20,40,60,0.2,False,0.842,0
scenario218,1,0,20,20,60,30,60,20,20,0.1,False,0.817,0
