Row,startego,goalego,startother,goalother,cloudiness,precipitation,precipitationdeposits,windintensity,fogdensity,fogdistance,wetness,roadfriction
scenario173,2,0,1,2,80,60,60,0,0,60,20,0.2
scenario174,1,2,0,1,100,0,0,20,60,60,40,0.8
scenario175,0,2,1,2,20,80,80,20,0,40,20,1
scenario176,2,1,0,1,60,40,40,0,40,100,40,1
scenario177,1,2,0,2,100,100,100,40,80,100,0,1
scenario178,0,2,1,2,40,60,60,20,80,60,20,0.8
scenario179,1,2,0,1,40,80,80,20,60,60,20,0.8
scenario180,0,1,2,1,100,0,60,20,0,80,40,0.8
scenario181,0,2,1,2,40,60,60,20,80,60,20,0.8
scenario182,1,2,0,1,60,60,20,0,20,60,60,0.8
scenario183,2,0,1,0,20,80,100,40,0,60,0,0.6
scenario184,2,0,1,0,40,40,60,60,60,80,20,1
scenario185,2,1,0,1,40,80,100,80,40,80,0,1
scenario186,2,1,0,1,100,100,60,20,40,80,20,1
scenario187,1,2,2,0,40,0,60,0,0,60,40,0.8
scenario188,1,0,2,0,80,0,80,20,80,40,80,0.8
scenario189,0,1,2,1,40,80,60,20,100,40,20,0.8
scenario190,0,2,1,2,20,60,80,20,60,60,20,1
scenario191,0,1,1,2,100,20,0,0,40,80,100,0.8
scenario192,0,2,1,2,60,80,60,80,20,80,20,1
scenario193,0,1,2,1,40,80,60,20,100,40,20,0.8
scenario194,1,2,2,0,100,40,60,0,40,80,20,0.6
scenario195,0,2,1,2,80,40,0,0,60,100,100,0.4
scenario196,1,2,0,1,20,0,60,40,20,40,100,0.8
scenario197,2,0,1,2,80,40,80,0,60,40,80,0.8
scenario198,1,2,0,2,40,100,100,80,40,60,0,1
scenario199,0,2,1,2,40,40,60,40,100,60,0,1
scenario200,1,2,2,0,60,80,100,80,80,80,0,1
scenario201,2,1,0,1,60,40,0,100,40,60,80,0.2
scenario202,1,2,2,0,100,0,80,20,100,60,80,0.8
scenario203,2,0,1,2,60,20,60,0,100,60,80,1
scenario204,0,1,1,2,100,20,20,100,20,40,100,0.8
scenario205,1,2,2,0,60,100,40,20,40,60,60,0.8
scenario206,2,0,1,2,80,100,60,0,40,60,40,1
scenario207,0,1,2,0,0,20,40,20,80,20,100,0.1
scenario208,2,0,0,1,20,0,80,20,40,0,20,0.6
scenario209,2,0,1,2,80,80,40,20,20,40,0,0.1
scenario210,0,1,2,1,40,0,80,20,60,40,0,0.2
scenario211,0,1,2,0,20,0,80,20,60,20,20,0.2
scenario212,2,0,1,2,80,80,40,40,20,60,20,0.8
scenario213,1,2,2,0,60,100,40,20,20,60,60,0.8
scenario214,0,1,2,0,60,0,0,20,60,20,20,0.2
scenario215,0,1,2,0,20,0,0,40,60,20,20,0.6
scenario216,0,1,2,0,60,0,0,20,60,20,0,0.6
scenario217,2,0,1,2,80,100,60,0,40,60,40,1
scenario218,0,1,2,1,60,100,40,20,60,60,60,1
scenario219,2,0,1,2,80,80,80,0,40,60,60,0.8
scenario220,0,1,1,2,80,100,40,0,60,60,0,1
scenario221,2,0,1,0,60,40,60,0,60,60,100,1
scenario222,2,0,1,2,100,100,0,0,20,20,60,1
scenario223,0,1,2,0,80,100,60,0,100,60,40,0.2
scenario224,0,1,2,1,80,80,40,20,60,60,40,1
scenario225,2,0,1,2,60,80,60,0,40,60,40,1
