instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,min_ttc,algo_safety
scenario225,0,0,100,60,80,30,40,80,20,0.4,0,0.7837434055219163,0
scenario226,0,0,20,20,80,30,40,0,20,0.2,0,1.402243648254357,0
scenario227,0,0,100,20,80,30,20,80,20,0.4,0,1.0527234203041296,0
scenario228,0,0,80,20,80,30,40,0,40,0.4,0,1.3377015430033463,0
scenario229,0,0,100,80,80,30,80,0,20,0.4,0,1.3471165039354285,0
scenario230,1,0,40,20,80,30,40,0,20,0.4,0,0.90975972045668,0
scenario231,0,0,40,20,80,30,40,0,60,0.4,0,1.4048932255123463,0
scenario232,0,0,100,80,80,30,40,0,80,0.4,0,0.9951896492965828,0
scenario233,1,0,100,20,80,30,40,0,20,1.0,0,0.9847051071566386,0
scenario234,0,0,100,20,80,30,40,0,60,1.0,0,1.3245313698576482,0
scenario235,1,0,20,20,80,30,40,0,20,0.4,0,0.8140548927996053,0
scenario236,0,0,20,20,80,30,40,0,60,0.4,0,1.4162054475145318,0
scenario237,0,0,40,20,80,30,40,80,20,0.4,0,1.4345246363522646,0
scenario238,0,0,100,60,80,30,20,0,20,0.4,0,1.5814361349602797,0
scenario239,0,80,100,80,80,30,40,0,20,0.4,0,0.9923038380740812,0
scenario240,0,0,100,100,80,30,40,0,20,0.2,0,1.774372781390492,0
scenario241,0,0,100,20,80,30,40,80,20,1.0,0,1.4454890463625374,0
scenario242,0,100,100,20,80,30,80,0,20,0.4,0,1.4754001461425206,0
scenario243,0,60,60,20,80,30,40,0,20,0.4,0,1.4379624470158694,0
scenario244,0,0,20,20,80,30,40,80,20,0.4,0,1.4238272464225077,0
scenario245,0,100,100,20,80,30,40,0,80,0.4,0,1.3512948963599414,0
scenario246,0,0,100,20,80,0,40,60,20,0.4,0,0.993463903496368,0
scenario247,0,0,100,80,60,30,40,0,20,0.4,0,1.206598105814042,0
scenario248,0,0,40,60,80,30,40,0,20,0.4,0,0.9827607312247554,0
scenario249,0,0,40,20,80,30,20,0,20,0.4,0,1.5753762668190268,0
scenario250,0,0,0,20,80,30,40,20,20,0.4,0,1.394777262056319,0
scenario251,0,0,100,20,0,30,40,20,20,0.4,0,1.3527626108577893,0
scenario252,0,0,100,20,80,30,40,20,20,0.0,0,1.3097582266825465,0
scenario253,0,0,100,40,80,30,40,20,20,0.4,0,1.1272482359705347,0
scenario254,0,0,100,20,80,60,40,20,20,0.4,0,1.3732340878939762,0
scenario255,0,0,100,20,80,90,40,20,20,0.4,0,1.355788874072028,0
scenario256,0,0,60,20,80,30,40,0,20,0.6,0,1.3964035012569576,0
scenario257,1,0,100,100,80,30,40,0,20,0.4,0,1.5318066306701097,0
scenario258,0,0,100,100,80,30,40,0,60,0.4,0,1.8083536448584496,0
scenario259,0,0,100,20,80,-30,40,60,20,0.4,0,1.4169688537370355,0
scenario260,0,0,100,60,80,30,40,0,20,1.0,0,0.6054472844937094,0
scenario261,0,0,100,20,80,30,20,0,20,1.0,0,1.332484734886682,0
scenario262,0,0,60,20,100,30,40,0,20,0.4,0,1.35938695288822,0
scenario263,0,0,20,60,80,30,40,0,20,0.4,0,0.9440693761393608,0
scenario264,0,0,20,20,80,30,20,0,20,0.4,0,1.415342201662422,0
scenario265,0,0,100,100,80,30,40,80,20,0.4,0,0.9710721659058535,0
scenario266,0,100,100,20,60,30,40,0,20,0.4,0,1.3422281157033862,0
scenario267,0,60,100,20,80,30,40,0,20,0.2,0,1.4228151829323412,0
scenario268,0,0,40,20,80,30,40,0,20,1.0,0,1.354770599672685,0
scenario269,0,0,100,80,80,30,40,0,40,0.4,0,1.127018775653955,0
scenario270,0,0,0,20,80,30,40,0,0,0.4,0,1.4663790891427533,0
scenario271,0,0,100,20,0,30,40,0,0,0.4,0,1.4003779733062904,0
scenario272,0,0,100,20,80,30,40,0,0,0.0,0,1.2917951244631438,0
scenario273,0,0,100,40,80,30,40,0,0,0.4,0,0.6160265691495729,0
scenario274,0,0,100,20,80,60,40,0,0,0.4,0,1.3642767967893683,0
scenario275,0,0,100,20,80,90,40,0,0,0.4,0,1.3703547584616569,0
scenario276,0,0,100,100,80,30,20,0,20,0.4,0,1.1779823320391205,0
scenario277,0,0,20,20,80,30,40,0,20,1.0,0,1.3598356308890722,0
scenario278,1,60,100,20,80,30,40,0,20,0.4,0,2.1522494961066543,0
scenario279,0,60,100,20,80,30,40,0,60,0.4,0,1.3688759762213725,0
scenario280,0,0,100,20,100,30,40,0,20,0.2,0,1.3085083607130374,0
scenario281,1,0,100,20,80,30,40,0,20,0.6,0,1.7996674943841098,0
scenario282,0,0,100,20,80,30,40,0,60,0.6,0,1.342432728503404,0
scenario283,0,0,100,20,80,30,80,60,20,0.4,0,1.3476667122684811,0
scenario284,0,0,40,100,80,30,40,0,20,0.4,0,1.0352389457296198,0
scenario285,0,60,100,20,80,30,40,80,20,0.4,0,1.406462259922122,0
scenario286,0,100,100,20,80,30,40,0,40,0.4,0,1.302864041631103,0
scenario287,1,0,100,20,100,30,40,0,20,0.4,0,1.0859281140221015,0
scenario288,0,0,100,20,100,30,40,0,60,0.4,0,1.4566401540589606,0
scenario289,0,0,100,20,80,30,40,60,80,0.4,0,1.0161503831005867,0
scenario290,0,0,100,100,80,30,40,0,20,1.0,0,1.6603154499185746,0
scenario291,0,40,100,20,80,0,40,0,20,0.4,0,1.3228445253139525,0
scenario292,0,0,100,20,80,30,40,80,20,0.6,0,1.1639667138390075,0
scenario293,0,0,20,100,80,30,40,0,20,0.4,0,1.0179246920613954,0
scenario294,0,0,0,20,80,30,40,0,100,0.4,0,0.8750896695963422,0
scenario295,0,0,100,20,0,30,40,0,100,0.4,0,1.0881037573405246,0
scenario296,0,0,100,40,80,30,40,0,100,0.4,0,0.7947839690129257,0
scenario297,0,0,100,20,80,30,40,0,100,0.0,0,0.6181109037263509,0
scenario298,0,0,100,20,80,60,40,0,100,0.4,0,1.6470671419195697,0
scenario299,0,0,100,20,80,90,40,0,100,0.4,0,1.466553829904106,0
scenario300,0,80,100,20,80,30,40,60,20,0.4,0,1.340849508378334,0
scenario301,0,0,100,20,100,30,40,80,20,0.4,0,1.137025042392076,0
scenario302,0,60,100,60,80,30,40,0,20,0.4,0,0.5592155280007198,0
scenario303,0,60,100,20,80,30,20,0,20,0.4,0,1.3937442808877043,0
scenario304,0,40,100,20,80,-30,40,0,20,0.4,0,0.8617546193295559,0
scenario305,0,0,100,60,80,30,40,0,20,0.6,0,1.015292450205113,0
scenario306,0,0,100,20,80,30,20,0,20,0.6,0,1.4653972639459871,0
scenario307,0,0,100,20,60,30,40,60,20,0.4,0,1.5108514740313,0
scenario308,0,0,80,20,80,30,40,0,20,0.8,0,1.4107742465709097,0
scenario309,0,60,40,20,80,30,40,0,20,0.4,0,1.473748985650453,0
scenario310,0,0,100,60,100,30,40,0,20,0.4,0,0.9175021812726492,0
scenario311,0,0,100,20,100,30,20,0,20,0.4,0,1.0155883766025506,0
scenario312,0,60,100,20,80,30,40,0,20,1.0,0,1.350084689711663,0
scenario313,0,0,40,20,80,30,40,0,20,0.6,0,1.440287315947009,0
scenario314,0,60,20,20,80,30,40,0,20,0.4,0,1.38292179008203,0
scenario315,0,0,80,20,80,30,40,100,20,0.4,0,1.5676531494536612,0
scenario316,0,0,40,20,100,30,40,0,20,0.4,0,1.4379484014263135,0
scenario317,0,0,20,20,80,30,40,0,20,0.6,0,1.437339941199905,0
scenario318,0,0,80,20,80,30,0,0,20,0.4,0,1.6617015981467649,0
scenario319,0,0,100,20,100,30,40,0,20,1.0,0,1.325954861150334,0
scenario320,0,0,100,20,80,30,40,60,40,0.4,0,1.007324777325695,0
scenario321,0,0,20,20,100,30,40,0,20,0.4,0,1.43426858220237,0
scenario322,0,40,100,20,80,30,80,0,20,0.4,0,1.423416366929435,0
scenario323,0,40,100,20,80,30,40,0,80,0.4,0,1.0173283288816155,0
scenario324,0,60,100,100,80,30,40,0,20,0.4,0,1.978595825881436,0
scenario325,0,0,0,20,80,30,40,0,20,0.4,0,1.36571951169218,0
scenario326,0,0,100,20,80,30,40,0,20,0.0,0,1.3202834404813222,0
scenario327,0,0,100,40,80,30,40,0,20,0.4,0,0.8919480781331585,0
scenario328,0,0,100,20,80,60,40,0,20,0.4,0,1.39145743177665,0
scenario329,0,0,100,20,80,90,40,0,20,0.4,0,1.369447265554183,0
scenario330,0,0,100,100,80,30,40,0,20,0.6,0,1.070553206716578,0
scenario331,0,0,100,100,100,30,40,0,20,0.4,0,1.9884231032115047,0
scenario332,0,0,100,80,80,30,40,0,20,0.8,0,0.9879966367597086,0
scenario333,0,40,100,20,60,30,40,0,20,0.4,0,1.4018142170421055,0
scenario334,0,0,100,80,80,30,40,100,20,0.4,0,0.919307127992652,0
scenario335,0,60,100,20,80,30,40,0,20,0.6,0,1.4575247089835788,0
scenario336,0,100,100,20,80,30,40,0,20,0.8,0,1.3440423020691306,0
