instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_timeofday,feature_startego,collision,min_ttc,algo_safety
scenario180,c1,2,80,0.1,40,2,0,60,0,2,20,40,60,0,0,2.872899928025024,0
scenario181,c1,2,60,0.8,100,2,20,60,60,2,80,20,90,0,0,3.016289604032093,0
scenario182,c4,0,20,0.6,60,2,0,80,100,0,60,60,0,2,0,2.6924545333798933,0
scenario183,c4,0,60,0.8,0,3,80,100,60,0,20,0,-90,1,0,2.674280097530364,0
scenario184,c4,0,0,0.6,60,2,20,40,60,0,0,20,30,2,0,3.42688055446316,0
scenario185,c1,1,40,0.2,80,2,60,100,80,2,60,20,60,0,0,2.3453262818279152,0
scenario186,c2,0,100,0.2,0,1,80,100,0,1,80,40,0,2,0,2.0825771461464364,0
scenario187,c1,2,0,0.2,20,2,80,0,40,2,80,100,90,0,0,3.9438802953423417,0
scenario188,c1,2,0,1.0,60,2,20,20,20,2,40,20,30,0,0,2.6936297802548688,0
scenario189,c1,2,100,0.2,100,2,80,100,60,2,100,100,0,0,0,3.178991913665572,0
scenario190,c4,0,0,1.0,80,3,100,0,60,0,100,60,-60,1,0,2.5286322993453973,0
scenario191,c4,0,40,1.0,60,2,0,60,40,0,0,60,-30,2,0,2.5885804675704103,0
scenario192,c1,2,40,1.0,100,2,80,80,60,2,60,40,0,0,0,2.617463083100355,0
scenario193,c2,1,60,1.0,80,3,80,60,100,1,60,100,-90,0,0,4.318095534093385,0
scenario194,c1,2,0,1.0,100,2,40,80,40,2,100,40,30,0,0,2.8493272438011936,0
scenario195,c2,1,20,0.2,0,1,20,40,40,1,80,80,-60,2,0,2.8768839637036763,0
scenario196,c2,1,80,0.4,0,1,80,60,80,1,20,60,0,2,0,3.0702099539561285,0
scenario197,c1,2,0,0.8,80,2,40,80,100,2,80,0,60,0,0,2.977721486315366,0
scenario198,c1,2,20,0.2,0,1,100,40,20,1,80,80,90,1,0,0.4307841526369938,1
scenario199,c2,0,0,0.6,100,1,40,60,60,1,80,60,-60,2,0,3.867738043467279,0
scenario200,c2,1,80,0.6,60,1,40,40,60,1,60,20,30,2,0,3.677497083155723,0
scenario201,c4,0,100,0.6,60,3,100,0,80,0,20,40,-60,1,0,2.309462907963604,0
scenario202,c1,2,0,0.4,0,1,20,20,20,1,40,100,30,1,0,0.6163998409708252,0
scenario203,c2,1,60,0.6,20,1,60,60,80,1,80,20,30,2,0,2.954662081898061,0
scenario204,c1,2,20,0.8,100,2,40,0,80,2,60,100,-90,0,0,2.5528219927186293,0
scenario205,c4,0,100,0.1,0,3,80,100,80,0,100,80,-60,1,0,2.1675291786627424,0
scenario206,c4,0,60,0.2,80,2,0,20,60,2,80,20,-30,2,0,2.4861298706911725,0
scenario207,c2,1,100,0.4,80,3,60,100,60,1,0,0,-30,0,0,4.548042129986098,0
scenario208,c4,0,60,1.0,60,3,0,0,40,0,80,0,-90,1,0,2.4527743049763,0
scenario209,c4,2,60,1.0,60,3,60,20,60,0,0,0,60,1,1,9999.0,1
scenario210,c4,0,0,0.1,20,3,40,0,0,0,40,20,0,1,0,9999.0,0
